source,target,weight
DG Granule,DG Mossy,1548576.206
DG Granule,DG AIPRIM,896639.199
DG Granule,DG Axo Axonic,708529.9461
DG Granule,DG Basket,381384.7396
DG Granule,DG HICAP,418316.0675
DG Granule,DG HIPP,826561.1954
DG Granule,DG HIPROM,1008478.407
DG Granule,DG MOLAX,627179.0249
DG Granule,DG Total Molecular Layer,601011.362
DG Granule,CA3 Pyramidal,19094.65916
DG Granule,CA3c Pyramidal,105286.8854
DG Granule,CA3 Axo Axonic,84424.968
DG Granule,CA3 Basket,93333.19129
DG Granule,CA3 LMR Targeting,31784.51386
DG Granule,CA3 Lucidum ORAX,30282.85445
DG Granule,CA3 Spiny Lucidum,176486.3056
DG Granule,CA3 Mossy Fiber Associated ORDEN,57172.64004
DG Granule,CA2 Basket,520440.6142
DG Granule,CA2 Wide Arbor Basket,228861.1305
DG Granule,CA2 Bistratified,234548.9368
DG Semilunar Granule,DG Granule,10939.47786
DG Semilunar Granule,DG Semilunar Granule,10125.85885
DG Semilunar Granule,DG Mossy,177762.2689
DG Semilunar Granule,DG AIPRIM,175502.8501
DG Semilunar Granule,DG Axo Axonic,128067.623
DG Semilunar Granule,DG Basket,90708.45106
DG Semilunar Granule,DG HICAP,98020.43648
DG Semilunar Granule,DG HIPP,92711.44971
DG Semilunar Granule,DG HIPROM,245668.8032
DG Semilunar Granule,DG MOLAX,118054.7648
DG Semilunar Granule,DG Total Molecular Layer,68942.98489
DG Semilunar Granule,CA3 Pyramidal,5221.038912
DG Semilunar Granule,CA3c Pyramidal,11545.9177
DG Semilunar Granule,CA3 Axo Axonic,10268.82631
DG Semilunar Granule,CA3 Basket,8954.535216
DG Semilunar Granule,CA3 LMR Targeting,3374.756006
DG Semilunar Granule,CA3 Lucidum ORAX,11783.98657
DG Semilunar Granule,CA3 Spiny Lucidum,39516.72579
DG Semilunar Granule,CA3 Mossy Fiber Associated ORDEN,5552.233678
DG Mossy,DG Granule,21695.05487
DG Mossy,DG Semilunar Granule,12630.59149
DG Mossy,DG Mossy,60388.29841
