node_name,degree,in_degree,out_degree,strength,in_strength,out_strength
DG Axo Axonic,23,23,23,1463798.666236985,1463798.666236985,1463798.666236985
DG Semilunar Granule,37,37,37,1705663.3069850618,1705663.3069850618,1705663.3069850618
DG MOPP,24,24,24,150361.68574623598,150361.68574623598,150361.68574623598
EC LI II Pyramidal Fan,40,40,40,1688038.3463083,1688038.3463083,1688038.3463083
CA1 Perforant Path Associated QuadD,37,37,37,3555596.3251862507,3555596.3251862507,3555596.3251862507
MEC LV Pyramidal,46,46,46,1429949.7205988,1429949.7205988,1429949.7205988
CA3 LMR Targeting,20,20,20,167578.268728942,167578.268728942,167578.268728942
CA1 Oriens Bistratified,36,36,36,606816.4886019403,606816.4886019403,606816.4886019403
CA2 Wide Arbor Basket,35,35,35,942194.7341544367,942194.7341544367,942194.7341544367
DG Mossy,20,20,20,2332536.6080061505,2332536.6080061505,2332536.6080061505
EC LIII V Bipolar Pyramidal,38,38,38,1103909.6688436996,1103909.6688436996,1103909.6688436996
CA1 Horizontal Axo Axonic,16,16,16,398877.450426324,398877.450426324,398877.450426324
MEC LV VI Pyramidal Polymorphic,14,14,14,448933.16701399995,448933.16701399995,448933.16701399995
CA1 LMR,37,37,37,918802.465532848,918802.465532848,918802.465532848
CA1 OR LM,35,35,35,3573651.1568139195,3573651.1568139195,3573651.1568139195
EC LIV VI Deep Multipolar Principal,28,28,28,967833.5247887002,967833.5247887002,967833.5247887002
MEC LII III Pyramidal Multiform,33,33,33,711255.2078563998,711255.2078563998,711255.2078563998
EC LI II Multipolar Pyramidal,29,29,29,5214628.4056328,5214628.4056328,5214628.4056328
CA3 Lucidum ORAX,22,22,22,148834.47981580097,148834.47981580097,148834.47981580097
CA2 Bistratified,32,32,32,1685115.0948732987,1685115.0948732987,1685115.0948732987
CA1 Axo Axonic,30,30,30,2368142.8576768036,2368142.8576768036,2368142.8576768036
DG HICAP,30,30,30,693217.44438792,693217.44438792,693217.44438792
EC LV Deep Pyramidal,29,29,29,777789.5599514999,777789.5599514999,777789.5599514999
CA3 Axo Axonic,16,16,16,382870.56793579203,382870.56793579203,382870.56793579203
