variant,cell,ei,response,abs_response,source_population
with_self,CA1 Trilaminar,i,149.20492529538905,149.20492529538905,E
with_self,MEC LIII Superficial Multipolar Interneuron,i,123.17718687167628,123.17718687167628,E
with_self,CA1 Perforant Path Associated QuadD,i,103.45208823078617,103.45208823078617,E
with_self,CA1 Perforant Path Associated,i,78.53257879348352,78.53257879348352,E
with_self,CA1 R Receiving Apical Targeting,i,51.76554583665666,51.76554583665666,E
with_self,DG Axo Axonic,i,50.86692948018401,50.86692948018401,E
with_self,DG AIPRIM,i,40.411084144901146,40.411084144901146,E
with_self,CA1 OR LM,i,36.22382495916573,36.22382495916573,E
with_self,CA1 LMR,i,30.815505431316115,30.815505431316115,E
with_self,CA1 Basket CCK+,i,30.69680411015154,30.69680411015154,E
with_self,CA1 Basket,i,30.25379023123684,30.25379023123684,E
with_self,CA1 Oriens Alveus,i,25.841872938708562,25.841872938708562,E
with_self,CA1 SO SO,i,22.93669098694661,22.93669098694661,E
with_self,CA2 Basket,i,22.237990414403736,22.237990414403736,E
with_self,CA1 Back Projection,i,19.775595795426167,19.775595795426167,E
no_self,CA1 Trilaminar,i,536.9654886724745,536.9654886724745,E
no_self,CA1 Perforant Path Associated QuadD,i,373.57729507878304,373.57729507878304,E
no_self,CA1 Perforant Path Associated,i,292.18923085476354,292.18923085476354,E
no_self,MEC LIII Superficial Multipolar Interneuron,i,256.66150981431485,256.66150981431485,E
no_self,CA1 R Receiving Apical Targeting,i,204.6317092853822,204.6317092853822,E
no_self,DG AIPRIM,i,192.18654773843792,192.18654773843792,E
no_self,DG Axo Axonic,i,188.97767220687058,188.97767220687058,E
no_self,CA1 OR LM,i,138.9505907304978,138.9505907304978,E
no_self,CA1 Basket CCK+,i,112.86180631622544,112.86180631622544,E
no_self,CA1 Basket,i,109.36270441345415,109.36270441345415,E
no_self,CA1 LMR,i,105.52496037578832,105.52496037578832,E
no_self,CA1 Oriens Alveus,i,93.84351201185113,93.84351201185113,E
no_self,CA2 Basket,i,84.88105336079165,84.88105336079165,E
no_self,CA1 SO SO,i,82.58908739447301,82.58908739447301,E
no_self,CA1 Back Projection,i,69.37499227902832,69.37499227902832,E
