variant,cell,ei,response,abs_response,source_population
with_self,CA1 Trilaminar,i,-1.7261178815082905,1.7261178815082905,I
with_self,CA1 Perforant Path Associated QuadD,i,-1.0669885630171738,1.0669885630171738,I
with_self,DG Neurogliaform,i,0.9970979085615961,0.9970979085615961,I
with_self,CA3 Trilaminar,i,0.9948725315233109,0.9948725315233109,I
with_self,DG MOPP,i,0.9947385601465613,0.9947385601465613,I
with_self,CA3 Spiny Lucidum,i,0.9943488803870412,0.9943488803870412,I
with_self,CA1 Neurogliaform Projecting,i,0.9876557777032454,0.9876557777032454,I
with_self,CA1 Oriens Bistratified,i,0.9777612129832953,0.9777612129832953,I
with_self,CA3 Horizontal Axo Axonic,i,0.9770101124186594,0.9770101124186594,I
with_self,DG HIPP,i,0.9642601018877632,0.9642601018877632,I
with_self,CA1 Neurogliaform,i,0.9601687168578007,0.9601687168578007,I
with_self,CA2 SP SR,i,0.9567912772113673,0.9567912772113673,I
with_self,CA3 LMR Targeting,i,0.9521066032199691,0.9521066032199691,I
with_self,MEC LIII Superficial Trilayered Interneuron,i,0.9492928522586218,0.9492928522586218,I
with_self,CA3 O LM,i,0.9477511826279097,0.9477511826279097,I
no_self,CA1 Trilaminar,i,-11.600739287192864,11.600739287192864,I
no_self,CA1 Perforant Path Associated QuadD,i,-8.434043209812224,8.434043209812224,I
no_self,CA1 Perforant Path Associated,i,-6.043869121213593,6.043869121213593,I
no_self,CA1 R Receiving Apical Targeting,i,-4.151667729088662,4.151667729088662,I
no_self,DG AIPRIM,i,-3.0183380646666773,3.0183380646666773,I
no_self,DG Axo Axonic,i,-2.814266096822961,2.814266096822961,I
no_self,CA1 OR LM,i,-2.631282413250257,2.631282413250257,I
no_self,MEC LIII Superficial Multipolar Interneuron,i,-2.164714467611186,2.164714467611186,I
no_self,CA1 Basket,i,-2.0048308444498133,2.0048308444498133,I
no_self,CA1 Basket CCK+,i,-1.9495200187225739,1.9495200187225739,I
no_self,CA1 LMR,i,-1.6794519714191374,1.6794519714191374,I
no_self,CA1 Oriens Alveus,i,-1.411877553149488,1.411877553149488,I
no_self,DG Neurogliaform,i,0.9950350857893678,0.9950350857893678,I
no_self,DG MOPP,i,0.9879574252660481,0.9879574252660481,I
no_self,CA3 Trilaminar,i,0.9806983516052598,0.9806983516052598,I
