variant,ii_chain_order,motif_length,fro_norm,signed_sum,positive_sum,negative_sum,max_abs,spectral_bound,relative_contribution,cumulative_energy,passes_decay_rule,passes_cumulative_energy_rule,passes_spectral_radius_rule,null_mean_fro,null_sd_fro,null_z,passes_null_significance_rule
with_self,0,E->I->E,2.2342044639020893,-5.574129209806146,0.0,-5.574129209806146,2.135652629471085,1.0,0.955788601995407,0.955788601995407,True,False,True,2.2342044639020844,4.8947806788980506e-15,0.997997995989972,False
with_self,1,E->I->I->E,0.09093412194617477,0.45852588486850765,0.45852588486850765,0.0,0.04456405585147148,0.15487476104777592,0.03890145181109222,0.9946900538064992,True,False,True,0.08559055700910431,0.05132054538788338,0.10412135912982828,False
with_self,2,E->I->I->I->E,0.01060087166364972,-0.05372050683749102,0.0,-0.05372050683749102,0.005875142986017555,0.02398619160960569,0.004535033597433775,0.999225087403933,False,False,True,0.006540812597008142,0.004643703815601694,0.8743148202089862,False
with_self,3,E->I->I->I->I->E,0.001536675866488266,0.007175062825325476,0.007175062825325476,0.0,0.0009099114049502361,0.003714855693983849,0.0006573871379639612,0.9998824745418969,False,False,False,0.0005482821891924138,0.0004444457051293384,2.223879465790359,True
with_self,4,E->I->I->I->I->I->E,0.0002325225975387092,-0.0010112593560206579,0.0,-0.0010112593560206579,0.00014092231142789213,0.0005753373879327184,9.947274388921058e-05,0.9999819472857862,False,False,False,4.88829852805984e-05,5.2970251239332835e-05,3.466844275070192,True
with_self,5,E->I->I->I->I->I->I->E,3.5685472265639276e-05,0.00014697409674399922,0.00014697409674399922,0.0,2.1825309308698505e-05,8.910524047793132e-05,1.5266180065163435e-05,0.9999972134658514,False,False,False,4.474299884390327e-06,6.373737635931381e-06,4.8968398393587345,True
with_self,6,E->I->I->I->I->I->I->I->E,5.506303655227711e-06,-2.1805832250912682e-05,0.0,-2.1805832250912682e-05,3.3801895639784812e-06,1.3800152827124225e-05,2.355586678759286e-06,0.9999995690525301,False,False,False,4.2690796167729624e-07,7.778712516493876e-07,6.529866842077186,True
with_self,7,E->I->I->I->I->I->I->I->I->E,8.514546563112901e-07,3.281165085682954e-06,3.281165085682954e-06,0.0,5.235060510173531e-07,2.1372953715236537e-06,3.642507517852277e-07,0.9999999333032819,False,False,False,4.24472386486839e-08,9.525951459570664e-08,8.492667856813416,True
with_self,8,E->I->I->I->I->I->I->I->I->I->E,1.3177929180055215e-07,-4.984576426479454e-07,0.0,-4.984576426479454e-07,8.107787455837735e-08,3.310131099532433e-07,5.6374941110812435e-08,0.999999989678223,False,False,False,4.389465946957627e-09,1.1732989291688712e-08,10.857405788636791,True
with_self,9,E->I->I->I->I->I->I->I->I->I->I->E,2.0403113126614717e-08,7.620920536309059e-08,7.620920536309059e-08,0.0,1.2556916448490242e-08,5.1265576307689735e-08,8.728414649025526e-09,0.9999999984066377,False,False,False,4.717459472864301e-10,1.4532147038344007e-09,13.715362999519677,True
with_self,10,E->I->I->I->I->I->I->I->I->I->I->I->E,3.159493162271612e-09,-1.1701480530677179e-08,0.0,-1.1701480530677179e-08,1.944749434456813e-09,7.939743880629971e-09,1.3516254225486008e-09,0.999999999758263,False,False,False,5.259686431752663e-11,1.813980262637681e-10,17.127508837590078,True
with_self,11,E->I->I->I->I->I->I->I->I->I->I->I->I->E,4.892947720364245e-10,1.8018129222385608e-09,1.8018129222385608e-09,0.0,3.0119260395929625e-10,1.2296659362931078e-09,2.0931941265195243e-10,0.9999999999675825,False,False,False,6.083583159403477e-12,2.2870348814883078e-11,21.128282423159508,True
with_self,12,E->I->I->I->I->I->I->I->I->I->I->I->I->I->E,7.577717728567696e-11,-2.779729460279473e-10,0.0,-2.779729460279473e-10,4.6647132567553415e-11,1.9044421805198472e-10,3.241733848053457e-11,0.9999999999999998,False,False,False,7.27046589903601e-13,2.920924496117939e-12,25.69396463192352,True
no_self,0,E->I->E,6.9729699947439885,-17.39690183006796,0.0,-17.39690183006796,6.66538893154346,1.0,0.9613612594228255,0.9613612594228255,True,False,True,6.97296999474401,2.135904296246422e-14,-0.997997995989972,False
no_self,1,E->I->I->E,0.2530079365359489,0.9184769912711286,0.9184769912711286,0.0,0.14181977377750127,0.11637084502575927,0.03488212751460439,0.9962433869374299,True,False,True,0.38499296858010434,0.2451001309880759,-0.5384943349972201,False
no_self,2,E->I->I->I->E,0.024193992421664128,-0.09178299444988337,0.0,-0.09178299444988337,0.014502802616233582,0.013542173572009281,0.003335618401124538,0.9995790053385544,False,False,False,0.04733519655084245,0.03316056566661909,-0.6978531175200456,False
no_self,3,E->I->I->I->I->E,0.0026986986188278893,0.009456403817934453,0.009456403817934453,0.0,0.0016706684273046276,0.0015759141820602248,0.0003720687605073042,0.9999510740990617,False,False,False,0.005864996293065512,0.003374477292449527,-0.9383075954673894,False
no_self,4,E->I->I->I->I->I->E,0.0003136776270265419,-0.001072518853293925,0.0,-0.001072518853293925,0.00019508265671918819,0.0001833904650544266,4.324663935142478e-05,0.9999943207384131,False,False,False,0.0007569857550086533,0.0005673322827924144,-0.7813906266714543,False
no_self,5,E->I->I->I->I->I->I->E,3.6403304281007004e-05,0.00012127989128697036,0.00012127989128697036,0.0,2.2670000043212373e-05,2.13413033880506e-05,5.018912526100168e-06,0.9999993396509392,False,False,False,9.865779278795024e-05,7.545347698887693e-05,-0.8250711695647976,False
no_self,6,E->I->I->I->I->I->I->I->E,4.232650298061607e-06,-1.3877365995148067e-05,0.0,-1.3877365995148067e-05,2.63938048753181e-06,2.4835055092185476e-06,5.835542135285355e-07,0.9999999232051527,False,False,False,1.3306228008122319e-05,1.3483742416308006e-05,-0.6729272504558237,False
