variant,cell,ei,response,abs_response,source_population
with_self,CA1 Trilaminar,i,87.79987003644548,87.79987003644548,E
with_self,CA1 Perforant Path Associated QuadD,i,64.39650109067348,64.39650109067348,E
with_self,MEC LIII Superficial Multipolar Interneuron,i,56.583491124997366,56.583491124997366,E
with_self,CA1 Perforant Path Associated,i,48.24802761062232,48.24802761062232,E
with_self,CA1 R Receiving Apical Targeting,i,32.87524528959987,32.87524528959987,E
with_self,DG Axo Axonic,i,28.109635015041544,28.109635015041544,E
with_self,DG AIPRIM,i,23.229893344214,23.229893344214,E
with_self,CA1 OR LM,i,23.09127447262282,23.09127447262282,E
with_self,CA1 Basket,i,19.50331871864445,19.50331871864445,E
with_self,CA1 Basket CCK+,i,19.361481201514664,19.361481201514664,E
with_self,CA1 LMR,i,19.20970314679901,19.20970314679901,E
with_self,CA1 Oriens Alveus,i,16.194565702366187,16.194565702366187,E
with_self,CA1 SO SO,i,13.489919356455136,13.489919356455136,E
with_self,CA2 Basket,i,12.833925444737414,12.833925444737414,E
with_self,CA1 Back Projection,i,11.713338108478176,11.713338108478176,E
no_self,CA1 Trilaminar,i,253.68159476431265,253.68159476431265,E
no_self,CA1 Perforant Path Associated QuadD,i,183.30359614346295,183.30359614346295,E
no_self,CA1 Perforant Path Associated,i,141.4738782352712,141.4738782352712,E
no_self,MEC LIII Superficial Multipolar Interneuron,i,114.6949451727675,114.6949451727675,E
no_self,CA1 R Receiving Apical Targeting,i,99.29738121641411,99.29738121641411,E
no_self,DG Axo Axonic,i,86.25918695263175,86.25918695263175,E
no_self,DG AIPRIM,i,86.0184765657941,86.0184765657941,E
no_self,CA1 OR LM,i,68.03055849208691,68.03055849208691,E
no_self,CA1 Basket CCK+,i,55.93346851696431,55.93346851696431,E
no_self,CA1 Basket,i,54.95093297619159,54.95093297619159,E
no_self,CA1 LMR,i,52.582457182765985,52.582457182765985,E
no_self,CA1 Oriens Alveus,i,46.2532424349238,46.2532424349238,E
no_self,CA2 Basket,i,39.49269218135597,39.49269218135597,E
no_self,CA1 SO SO,i,39.00896953596454,39.00896953596454,E
no_self,CA1 Back Projection,i,33.13847606007343,33.13847606007343,E
