variant,ii_chain_order,motif_length,fro_norm,signed_sum,positive_sum,negative_sum,max_abs,spectral_bound,relative_contribution,cumulative_energy,passes_decay_rule,passes_cumulative_energy_rule,passes_spectral_radius_rule,null_mean_fro,null_sd_fro,null_z,passes_null_significance_rule
with_self,0,E->I->E,1.61421272516926,-4.0273083540849415,0.0,-4.0273083540849415,1.5430090247928592,1.0,0.9629191748321643,0.9629191748321643,True,False,True,1.6142127251692613,1.3457935360146643e-15,-0.9899494936611666,False
with_self,1,E->I->I->E,0.05584491764019457,0.28159220904487225,0.28159220904487225,0.0,0.027367900799784923,0.1316435468906095,0.033312921633069016,0.9962320964652333,True,False,True,0.04832719909238865,0.021466994469707477,0.35019893252473394,False
with_self,2,E->I->I->I->E,0.005533721263873049,-0.028042440322338047,0.0,-0.028042440322338047,0.0030668613583448253,0.017330023437940104,0.00330100626148955,0.9995331027267228,False,False,False,0.0032041562727272836,0.0017793011493435853,1.309258408564049,False
with_self,3,E->I->I->I->I->E,0.0006818312455513842,0.0031836134931181722,0.0031836134931181722,0.0,0.0004037325242807584,0.00228138575306783,0.00040672977613423445,0.999939832502857,False,False,False,0.0002099460188156482,8.267276247654203e-05,5.7078681369771695,True
with_self,4,E->I->I->I->I->I->E,8.769578503359096e-05,-0.0003813959762944404,0.0,-0.0003813959762944404,5.31487814957849e-05,0.0003003297123595533,5.2312778634519684e-05,0.9999921452814915,False,False,False,1.5530092096150607e-05,6.7805818204321524e-06,10.64299419261944,True
with_self,5,E->I->I->I->I->I->I->E,1.1439944792859931e-05,4.711652798695799e-05,4.711652798695799e-05,0.0,6.996694109020224e-06,3.953646857164812e-05,6.824219651044525e-06,0.9999989695011425,False,False,False,1.1347161734868292e-06,6.051543683039448e-07,17.029090690124868,True
with_self,6,E->I->I->I->I->I->I->I->E,1.5004155740375075e-06,-5.941882678964915e-06,0.0,-5.941882678964915e-06,9.210696290200555e-07,5.2047209543008685e-06,8.950362637650691e-07,0.9999998645374063,False,False,False,8.574783015191761e-08,5.5970289409074867e-08,25.275333731903476,True
with_self,7,E->I->I->I->I->I->I->I->I->E,1.972113273934351e-07,7.599734373969497e-07,7.599734373969497e-07,0.0,1.2125287289741798e-07,6.851679270000442e-07,1.176416005649629e-07,0.9999999821790069,False,False,False,6.7028519877036216e-09,5.43648662803953e-09,35.04257224199803,True
with_self,8,E->I->I->I->I->I->I->I->I->I->E,2.594396957767595e-08,-9.813355148539497e-08,0.0,-9.813355148539497e-08,1.596215825889236e-08,9.019793612597203e-08,1.5476241382613924e-08,0.9999999976552483,False,False,False,5.42079324132823e-10,5.301545033313878e-10,47.91412709676631,True
with_self,9,E->I->I->I->I->I->I->I->I->I->I->E,3.4143231319738506e-09,1.2753095624467514e-08,1.2753095624467514e-08,0.0,2.1013151292298257e-09,1.18739762338356e-08,2.0367310711826374e-09,0.9999999996919794,False,False,False,4.47638090289209e-11,5.141500956911467e-11,65.53649121499038,True
with_self,10,E->I->I->I->I->I->I->I->I->I->I->I->E,4.4941185906123455e-10,-1.6644391517782278e-09,0.0,-1.6644391517782278e-09,2.7662457674671375e-10,1.5631323471169195e-09,2.680856678549952e-10,0.9999999999600651,False,False,False,3.795915643904156e-12,4.977501985794305e-12,89.52602021839665,True
with_self,11,E->I->I->I->I->I->I->I->I->I->I->I->I->E,5.915842591220315e-11,2.178490806763926e-10,2.178490806763926e-10,0.0,3.641584044005102e-11,2.0577628643391468e-10,3.5289514061893724e-11,0.9999999999953546,False,False,False,3.307019425245021e-13,4.846946963946079e-13,121.3706780933803,True
with_self,12,E->I->I->I->I->I->I->I->I->I->I->I->I->I->E,7.787595467632248e-12,-2.856718780181845e-11,0.0,-2.856718780181845e-11,4.793910398530811e-12,2.708912021213854e-11,4.645499867951325e-12,1.0,False,False,False,2.9539528258398574e-14,4.7433979445964416e-14,163.55481935079112,True
no_self,0,E->I->E,5.03797082120253,-12.569261572224102,0.0,-12.569261572224102,4.815743503040148,1.0,0.967480968381673,0.967480968381673,True,False,True,5.037970821202526,3.588782762705772e-15,0.9899494936611665,False
no_self,1,E->I->I->E,0.1553784990251396,0.5640596822643817,0.5640596822643817,0.0,0.08709506857110798,0.09891521827189537,0.029838549296450897,0.9973195176781239,True,False,True,0.2921496525852268,0.20183589254801737,-0.6776354385409866,False
no_self,2,E->I->I->I->E,0.012629415256561303,-0.0479112967465544,0.0,-0.0479112967465544,0.0075705536081902775,0.009784220405776704,0.0024253254606178285,0.9997448431387417,False,False,False,0.024637049753085064,0.011069064685490427,-1.0847921516136438,False
no_self,3,E->I->I->I->I->E,0.0011974269140103467,0.004195856611162799,0.004195856611162799,0.0,0.0007412844566210833,0.0009678082970577352,0.00022995126241252928,0.9999747944011542,False,False,False,0.002878814629656665,0.0016219959877864793,-1.0366164456059415,False
no_self,4,E->I->I->I->I->I->E,0.00011830336509545969,-0.00040449996601848434,0.0,-0.00040449996601848434,7.357532948847997e-05,9.573096894881723e-05,2.2718721145361066e-05,0.9999975131222996,False,False,False,0.0003136269757627647,0.0001944294128622378,-1.004599087102633,False
no_self,5,E->I->I->I->I->I->I->E,1.1670065290221585e-05,3.8879554415843494e-05,3.8879554415843494e-05,0.0,7.267482605188834e-06,9.469249688952294e-06,2.241093977865864e-06,0.9999997542162774,False,False,False,3.5726105234703225e-05,2.609740825189053e-05,-0.9217788874778011,False
no_self,6,E->I->I->I->I->I->I->I->E,1.1533571020255515e-06,-3.781450746177128e-06,0.0,-3.781450746177128e-06,7.192061748253999e-07,9.366528998537934e-07,2.2148819148801947e-07,0.9999999757044689,False,False,False,4.077958634667667e-06,3.342470245486816e-06,-0.8749820695011634,False
no_self,7,E->I->I->I->I->I->I->I->I->E,1.1400173332218222e-07,3.6880616007379285e-07,3.6880616007379285e-07,0.0,7.112118445947192e-08,9.264922603404174e-08,2.1892645127588797e-08,0.999999997597114,False,False,False,4.764125403912059e-07,4.457429336971002e-07,-0.8130489115398878,False
no_self,8,E->I->I->I->I->I->I->I->I->I->E,1.1274952692999742e-08,-3.610333507050084e-08,0.0,-3.610333507050084e-08,7.0352858401108076e-09,9.164418415879409e-09,2.1652174133230103e-09,0.9999999997623314,False,False,False,5.57812537525389e-08,5.8832299800221446e-08,-0.7564943272772015,False
no_self,9,E->I->I->I->I->I->I->I->I->I->I->E,1.1152790260399778e-09,3.542430951735357e-09,3.542430951735357e-09,0.0,6.958437855835367e-10,9.065004479416893e-10,2.1417576052403061e-10,0.9999999999765072,False,False,False,6.678334830550955e-09,7.925899970544691e-09,-0.7018831710197155,False
no_self,10,E->I->I->I->I->I->I->I->I->I->I->I->E,1.103374367217211e-10,-3.482298497702154e-10,0.0,-3.482298497702154e-10,6.882851181071478e-11,8.966668967172311e-11,2.1188961571397498e-11,0.9999999999976962,False,False,False,8.010876279356976e-10,1.0612785889952858e-09,-0.6508660387353248,False
no_self,11,E->I->I->I->I->I->I->I->I->I->I->I->I->E,1.09163451146153e-11,3.428190836189253e-11,3.428190836189253e-11,0.0,6.807962487162181e-12,8.869400180596799e-12,2.0963511932678544e-12,0.9999999999997925,False,False,False,9.767692335845018e-11,1.4364749401906238e-10,-0.6039825395932179,False
no_self,12,E->I->I->I->I->I->I->I->I->I->I->I->I->I->E,1.0800464569159729e-12,-3.3785343560298965e-12,0.0,-3.3785343560298965e-12,6.733987547060783e-13,8.773186548045204e-13,2.0740977451410565e-13,0.9999999999999999,False,False,False,1.1969866932895746e-11,1.9424799974324625e-11,-0.5606142915434782,False
