variant,motif,E_source,I_middle,E_receiver,E_to_I,I_to_E,signed_contribution,abs_contribution
with_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,25.08928565500643,-0.061375639797058665,-1.5398709591271857,1.5398709591271857
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,13.234782334439368,-0.013035349849420352,-0.17252001791034535,0.17252001791034535
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,13.234782334439368,-0.012507705738984071,-0.16553676295867228,0.16553676295867228
with_self,E-I-E,CA2 Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,1.909896300244069,-0.061375639797058665,-0.11722110737351499,0.11722110737351499
with_self,E-I-E,EC LIII Pyramidal Stellate,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,1.8830176189050785,-0.061375639797058665,-0.11557141110943318,0.11557141110943318
with_self,E-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Pyramidal,11.316976304427397,-0.010140342216864662,-0.11475801258704216,0.11475801258704216
with_self,E-I-E,CA3 Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,1.4826007284347278,-0.061375639797058665,-0.09099556827126665,0.09099556827126665
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,13.234782334439368,-0.0067705547371927815,-0.0896068182301538,0.0896068182301538
with_self,E-I-E,DG Granule,DG AIPRIM,DG Hilar Ectopic Granule,7.271624687645919,-0.010254334713925395,-0.07456567346116445,0.07456567346116445
with_self,E-I-E,CA3c Pyramidal,CA1 Basket,CA1 Pyramidal,11.431332471317027,-0.0061098123379083455,-0.06984329617198508,0.06984329617198508
with_self,E-I-E,DG Granule,DG AIPRIM,DG Mossy,7.271624687645919,-0.007804651040738215,-0.05675249318629342,0.05675249318629342
with_self,E-I-E,DG Granule,DG AIPRIM,DG Granule,7.271624687645919,-0.007523541454112084,-0.054708369776248905,0.054708369776248905
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII Stellate,13.234782334439368,-0.00410495098457326,-0.054328132774369674,0.054328132774369674
with_self,E-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Pyramidal,39.800376997915315,-0.0013063471881066956,-0.05199311057681308,0.05199311057681308
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII Stellate,13.234782334439368,-0.0034747654995225894,-0.04598776504940095,0.04598776504940095
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal,13.234782334439368,-0.002491827293316112,-0.03297879184205395,0.03297879184205395
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII Oblique Pyramidal,13.234782334439368,-0.0023800961066701527,-0.03150005390682605,0.03150005390682605
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal Stellate,13.234782334439368,-0.0021956126575470836,-0.029058455613375615,0.029058455613375615
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LV Superficial Pyramidal,13.234782334439368,-0.002079190292674729,-0.02751763095542932,0.02751763095542932
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LII III Pyramidal Tripolar,13.234782334439368,-0.0018085153566236723,-0.023935307093405293,0.023935307093405293
with_self,E-I-E,CA3 Pyramidal,CA1 Trilaminar,SUB CA1 Projecting Pyramidal,39.800376997915315,-0.0005834130844365677,-0.023220060706091995,0.023220060706091995
with_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA3 Pyramidal,5.3015671606927155,-0.003809555611353719,-0.020196614925985536,0.020196614925985536
with_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,1.4271033955535422,-0.013035349849420352,-0.018602792032336137,0.018602792032336137
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LI II Multipolar Pyramidal,13.234782334439368,-0.0013645008114124449,-0.018058871234209607,0.018058871234209607
with_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,1.4271033955535422,-0.012507705738984071,-0.017849789330688693,0.017849789330688693
with_self,E-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,1.2996836906946427,-0.013035349849420352,-0.016941831601790497,0.016941831601790497
with_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA3 Granule,5.3015671606927155,-0.003149225458529233,-0.016695830272556042,0.016695830272556042
with_self,E-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,1.2996836906946427,-0.012507705738984071,-0.01625606115696538,0.01625606115696538
with_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,CA1 Pyramidal,25.08928565500643,-0.0006457558897955245,-0.016201553982482766,0.016201553982482766
with_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA3c Pyramidal,5.3015671606927155,-0.0029194863984020516,-0.015477853215857366,0.015477853215857366
with_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,DG Granule,25.08928565500643,-0.0005935847983224432,-0.01489261856558116,0.01489261856558116
with_self,E-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,1.1333615607770118,-0.013035349849420352,-0.014773764450613435,0.014773764450613435
with_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Hilar Ectopic Granule,1.4233047794925173,-0.010254334713925395,-0.01459504360884605,0.01459504360884605
with_self,E-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,1.1333615607770118,-0.012507705738984071,-0.014175752898074575,0.014175752898074575
with_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA1 Pyramidal,5.3015671606927155,-0.002592428749073167,-0.013743935122521998,0.013743935122521998
with_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,DG Mossy,5.3015671606927155,-0.0022481042024518312,-0.011918475413533917,0.011918475413533917
with_self,E-I-E,CA3c Pyramidal,CA1 Bistratified,CA1 Pyramidal,6.304776742651969,-0.001876527458943936,-0.011831086680097525,0.011831086680097525
with_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Mossy,1.4233047794925173,-0.007804651040738215,-0.011108397128553951,0.011108397128553951
with_self,E-I-E,CA3 Pyramidal,CA1 Horizontal Basket,CA1 Pyramidal,3.8661904704050953,-0.0027713232733972758,-0.010714463630020403,0.010714463630020403
with_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Granule,1.4233047794925173,-0.007523541454112084,-0.010708292510347812,0.010708292510347812
with_self,E-I-E,DG Granule,DG Total Molecular Layer,DG Hilar Ectopic Granule,1.4499587939471257,-0.007010367091328636,-0.010164743412869487,0.010164743412869487
with_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,1.4271033955535422,-0.0067705547371927815,-0.009662281655228939,0.009662281655228939
with_self,E-I-E,CA3c Pyramidal,DG AIPRIM,DG Hilar Ectopic Granule,0.876974877207179,-0.010254334713925395,-0.008992793926586036,0.008992793926586036
with_self,E-I-E,CA2 Pyramidal,DG AIPRIM,DG Hilar Ectopic Granule,0.8708195630835671,-0.010254334713925395,-0.008929675275293168,0.008929675275293168
with_self,E-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,1.2996836906946427,-0.0067705547371927815,-0.008799579568884811,0.008799579568884811
with_self,E-I-E,DG Granule,DG Basket,DG Granule,1.129722831049605,-0.007695462289682242,-0.008693739444135299,0.008693739444135299
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII V Bipolar Pyramidal,13.234782334439368,-0.0006559120416112984,-0.008680853101263273,0.008680853101263273
with_self,E-I-E,EC LIII Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,0.14021097316548756,-0.061375639797058665,-0.008605538184600022,0.008605538184600022
with_self,E-I-E,DG Granule,DG Total Molecular Layer,DG Granule,1.4499587939471257,-0.00591681263401222,-0.008579134510823474,0.008579134510823474
with_self,E-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Radiatum Giant,11.316976304427397,-0.000741930069171354,-0.008396405012354393,0.008396405012354393
no_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,44.32367245171054,-0.10842850578873132,-4.805949575008127,4.805949575008127
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,23.381062547084515,-0.02302873764378661,-0.5384363552297744,0.5384363552297744
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,23.381062547084515,-0.022096581780776416,-0.5166415606931015,0.5166415606931015
no_self,E-I-E,CA2 Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,3.374094392036218,-0.10842850578873132,-0.365848013318625,0.365848013318625
no_self,E-I-E,EC LIII Pyramidal Stellate,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,3.326609506097842,-0.10842850578873132,-0.3606992980887785,0.3606992980887785
no_self,E-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Pyramidal,19.99299452996248,-0.017914308647479366,-0.3581606747971145,0.3581606747971145
no_self,E-I-E,CA3 Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,2.619218018696176,-0.10842850578873132,-0.2839978961021477,0.2839978961021477
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,23.381062547084515,-0.011961115777237265,-0.2796635961205039,0.2796635961205039
no_self,E-I-E,DG Granule,DG AIPRIM,DG Hilar Ectopic Granule,12.846324733150603,-0.018115692065530736,-0.23272006303956763,0.23272006303956763
no_self,E-I-E,CA3c Pyramidal,CA1 Basket,CA1 Pyramidal,20.1950204207649,-0.010793823488267823,-0.21798148576370052,0.21798148576370052
no_self,E-I-E,DG Granule,DG AIPRIM,DG Mossy,12.846324733150603,-0.013787989067777777,-0.17712498498180376,0.17712498498180376
no_self,E-I-E,DG Granule,DG AIPRIM,DG Granule,12.846324733150603,-0.013291370335304377,-0.17074525947588484,0.17074525947588484
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII Stellate,23.381062547084515,-0.007251960273896657,-0.16955853675294988,0.16955853675294988
no_self,E-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Pyramidal,70.31283782917018,-0.002307841907898252,-0.16227091380541248,0.16227091380541248
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII Stellate,23.381062547084515,-0.006138650974967512,-0.14352818240043674,0.14352818240043674
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal,23.381062547084515,-0.00440215549672841,-0.10292707301099885,0.10292707301099885
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII Oblique Pyramidal,23.381062547084515,-0.004204766994415742,-0.09831192009235103,0.09831192009235103
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal Stellate,23.381062547084515,-0.0038788516182614967,-0.09069167229743204,0.09069167229743204
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LV Superficial Pyramidal,23.381062547084515,-0.003673175504656163,-0.08588274622078447,0.08588274622078447
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LII III Pyramidal Tripolar,23.381062547084515,-0.003194991017007319,-0.07470228480602129,0.07470228480602129
no_self,E-I-E,CA3 Pyramidal,CA1 Trilaminar,SUB CA1 Projecting Pyramidal,70.31283782917018,-0.0010306794228495124,-0.07246999511268049,0.07246999511268049
no_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA3 Pyramidal,9.365947263006232,-0.006730103735357821,-0.0630337966599226,0.0630337966599226
no_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,2.521174350239702,-0.02302873764378661,-0.058059462665914274,0.058059462665914274
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LI II Multipolar Pyramidal,23.381062547084515,-0.002410578278583634,-0.056361881506207266,0.056361881506207266
no_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,2.521174350239702,-0.022096581780776416,-0.055709335213667416,0.055709335213667416
no_self,E-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,2.2960699236044015,-0.02302873764378661,-0.05287559188247493,0.05287559188247493
no_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA3 Granule,9.365947263006232,-0.005563539736436625,-0.052107819767105025,0.052107819767105025
