variant,motif,E_source,I_first,I_second,E_receiver,E_to_I,I_to_I,I_to_E,signed_contribution,abs_contribution
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,13.234782334439368,-0.15214480083416443,-0.013035349849420352,0.02624802376487597,0.02624802376487597
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,13.234782334439368,-0.15214480083416443,-0.012507705738984071,0.025185557831079484,0.025185557831079484
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,13.234782334439368,-0.15214480083416443,-0.0067705547371927815,0.013633211513009924,0.013633211513009924
with_self,E-I-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,25.08928565500643,-0.008822736515287389,-0.061375639797058665,0.013585875739922036,0.013585875739922036
with_self,E-I-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,39.800376997915315,-0.00391443100061747,-0.061375639797058665,0.009562068716768374,0.009562068716768374
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,EC LIII Stellate,13.234782334439368,-0.15214480083416443,-0.00410495098457326,0.008265742940648515,0.008265742940648515
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII Stellate,13.234782334439368,-0.15214480083416443,-0.0034747654995225894,0.006996799354249456,0.006996799354249456
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG AIPRIM,DG Hilar Ectopic Granule,7.271624687645919,-0.08883657395493363,-0.010254334713925395,0.006624158964932168,0.006624158964932168
with_self,E-I-I-E,CA3c Pyramidal,CA1 R Receiving Apical Targeting,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,17.01931877999047,-0.004867021535664659,-0.061375639797058665,0.005083952370692037,0.005083952370692037
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG AIPRIM,DG Mossy,7.271624687645919,-0.08883657395493363,-0.007804651040738215,0.005041697058071022,0.005041697058071022
