variant,inhibitory_cell,ii_chain_order,score,I_to_E_abs,E_to_I_abs,II_chain_participation,positive_disinhibitory_drive_to_E
with_self,CA1 Perforant Path Associated,1,2.2240973140283704,0.06303466972609585,30.5501335300396,0.11833805217180007,0.0005684021936165638
with_self,MEC LIII Superficial Multipolar Interneuron,1,1.4111233017756462,0.053689356386023644,18.713060966422848,0.33328410174479006,0.007100929133370229
with_self,DG AIPRIM,1,0.48264694729801894,0.0261314746729607,11.92923534737034,0.42854131080397717,0.0027764139325184103
with_self,CA1 Basket CCK+,1,0.20953299140434797,0.010882272286036016,13.295802479232623,0.3468656780779007,0.0007701493854902053
with_self,CA1 Back Projection,1,0.17032935634038393,0.01628668856988666,6.860132434424532,0.33053667447812146,0.0021496935695670344
with_self,CA1 Basket,1,0.11935478850138566,0.0064597512379295065,13.817848900781549,0.24692086396922427,0.00036159391342993966
with_self,CA1 Trilaminar,1,0.11667913261100611,0.0019157637941500513,50.768493171215574,0.1764831365991153,0.0004072047211416896
with_self,MEC LIII Superficial Trilayered Interneuron,1,0.08979385287006963,0.03704896312131458,1.2445699927787046,0.07978526330994215,0.003874147669404071
with_self,CA2 Wide Arbor Basket,1,0.08401559012486388,0.018270478007836398,2.485210231515241,0.3194137084791789,0.0016059229955132839
with_self,DG Total Molecular Layer,1,0.06901367915661824,0.018163604247536977,2.218016632141497,0.18071441451636047,0.0012591514159594852
with_self,CA3 Basket CCK+,1,0.06309459139663255,0.028008819170386286,0.6591864935177627,0.357694719103384,0.002238582178250234
with_self,CA3 Basket,1,0.06010169369129792,0.012308130192120105,2.5629192117455624,0.3705303407520791,0.0011601948543979467
with_self,DG MOLAX,1,0.033262478793675214,0.008166626458231052,2.607175154716607,0.12913192886732533,0.0005247138255065258
with_self,DG Basket,1,0.031746604726849495,0.007695462289682242,2.626909460077612,0.13743308362917642,0.00040027175969849384
with_self,CA1 Horizontal Basket,1,0.023493339340679285,0.0030362245828338867,5.26540564917235,0.2349849501322294,0.00028874684277181283
with_self,CA3 O LM,1,0.0194470286026768,0.010539972042236693,0.7057262532863912,0.08169409831443591,0.0006311705555992869
with_self,CA1 Bistratified,1,0.019261989331459704,0.001946493588041459,7.154943394909493,0.21346487481088414,0.0007886871953829323
with_self,CA2 Basket,1,0.019044379172738775,0.0022011239165810863,7.04473045704268,0.07550102731512315,0.0001818987442893823
with_self,DG HIPP,1,0.01813500032984957,0.010465214065917284,0.5959233293365476,0.08581897855965148,0.000639244797836262
with_self,DG Axo Axonic,1,0.016442204606321335,0.0009394688642062972,14.108448475528483,0.15839797346341988,0.0
no_self,CA1 Perforant Path Associated,1,7.2391075333291495,0.11135941024625044,53.9710109949381,0.18256325764655734,0.00029863256903837535
no_self,MEC LIII Superficial Multipolar Interneuron,1,3.6564701422002077,0.0948496294123228,33.05919491889191,0.13185818301093388,0.0004920461490979589
no_self,DG AIPRIM,1,1.5186982726007279,0.046164842634862306,21.074634304333085,0.49027570619331506,0.0025067869194803647
no_self,CA1 Basket CCK+,1,0.708309869951268,0.0192250301172022,23.488863022074625,0.5044842399177948,0.0013625909709696787
no_self,CA1 Back Projection,1,0.5906862020120057,0.02877267449623963,12.119367094778717,0.5648175538369947,0.006434130746680889
no_self,CA1 Basket,1,0.3979678495008232,0.011412038665691768,24.411129798080054,0.37233702102964916,0.0007640219586759451
no_self,CA1 Trilaminar,1,0.39442175564229326,0.003384460126699902,89.68952297527206,0.2850331829576185,0.0012256245047643
no_self,CA2 Wide Arbor Basket,1,0.2668029142939256,0.032277311275059256,4.390465547325805,0.5334405517175907,0.00451425845358772
no_self,MEC LIII Superficial Trilayered Interneuron,1,0.23696792568597166,0.06545208694441126,2.1987039990571993,0.13185818301093388,0.011793653089109927
no_self,DG Total Molecular Layer,1,0.20260447961425868,0.03208850408419972,3.9184313195409177,0.283727842659617,0.0033597851539171474
no_self,CA3 Basket,1,0.17911406019444143,0.021744004139060885,4.527749144541253,0.49019063773889343,0.0018335968938888595
no_self,CA3 Basket CCK+,1,0.16133430020369763,0.0494814297919107,1.1645435675225264,0.5063231051954675,0.003879352652692203
no_self,DG MOLAX,1,0.09763188192308207,0.014427468408128075,4.60593335222509,0.20712876369719457,0.0014861437161055398
no_self,DG Basket,1,0.09276395473211997,0.013595092127475669,4.640796715770424,0.20964142616254422,0.0010238922446373154
no_self,CA1 Horizontal Basket,1,0.07524400088746426,0.005363908153857966,9.302062981324118,0.36165268402231604,0.0007577488613161723
no_self,CA1 Bistratified,1,0.06393007517255976,0.003438748532423384,12.64019118787529,0.362963857013637,0.0024371678470320904
no_self,CA2 Basket,1,0.05686746074669186,0.0038885880150477054,12.445484880763889,0.08766570359136933,0.00047881967705208205
no_self,DG Axo Axonic,1,0.05506724503802115,0.001659700909314302,24.92451389927782,0.2798317971004648,0.0
no_self,CA3 O LM,1,0.047208359891185374,0.018620309676177036,1.2467624515645421,0.1284306031218985,0.0018219197033601598
no_self,DG HIPP,1,0.04370628386283232,0.018488239433082126,1.0527804904072784,0.1516110242484857,0.001995088124935275
