variant,motif,E_source,I_middle,E_receiver,E_to_I,I_to_E,signed_contribution,abs_contribution
with_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,29.51680665294874,-0.07220663505536314,-2.1313092859891842,2.1313092859891842
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,15.570332158163962,-0.015335705705200414,-0.23878203170982054,0.23878203170982054
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,15.570332158163962,-0.014714947928216553,-0.22911662693241838,0.22911662693241838
with_self,E-I-E,CA2 Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,2.2469368238165517,-0.07220663505536314,-0.16224374722977852,0.16224374722977852
with_self,E-I-E,EC LIII Pyramidal Stellate,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,2.2153148457706804,-0.07220663505536314,-0.1599604306012916,0.1599604306012916
with_self,E-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Pyramidal,13.314089769914585,-0.011929814372781955,-0.1588346194976362,0.1588346194976362
with_self,E-I-E,CA3 Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,1.7442361510996798,-0.07220663505536314,-0.1259454232128258,0.1259454232128258
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,15.570332158163962,-0.00796535851434445,-0.1240232778272025,0.1240232778272025
with_self,E-I-E,DG Granule,DG AIPRIM,DG Hilar Ectopic Granule,8.554852573701082,-0.012063923192853404,-0.10320508437531412,0.10320508437531412
with_self,E-I-E,CA3c Pyramidal,CA1 Basket,CA1 Pyramidal,13.448626436843563,-0.007188014515186289,-0.09666892203734959,0.09666892203734959
with_self,E-I-E,DG Granule,DG AIPRIM,DG Mossy,8.554852573701082,-0.009181942400868488,-0.07855016357964487,0.07855016357964487
with_self,E-I-E,DG Granule,DG AIPRIM,DG Granule,8.554852573701082,-0.008851225240131863,-0.07572092702595004,0.07572092702595004
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII Stellate,15.570332158163962,-0.004829354099497953,-0.07519464743857394,0.07519464743857394
with_self,E-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Pyramidal,46.8239729387239,-0.0015368790448314065,-0.07196278280527761,0.07196278280527761
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII Stellate,15.570332158163962,-0.004087959411203046,-0.0636508858815238,0.0636508858815238
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal,15.570332158163962,-0.002931561521548367,-0.045645386632600614,0.045645386632600614
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII Oblique Pyramidal,15.570332158163962,-0.0028001130666707678,-0.043598690528478964,0.043598690528478964
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal Stellate,15.570332158163962,-0.002583073714761275,-0.040219315727855524,0.040219315727855524
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LV Superficial Pyramidal,15.570332158163962,-0.0024461062266761518,-0.03808668644350079,0.03808668644350079
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LII III Pyramidal Tripolar,15.570332158163962,-0.0021276651254396144,-0.03312845272443639,0.03312845272443639
with_self,E-I-E,CA3 Pyramidal,CA1 Trilaminar,SUB CA1 Projecting Pyramidal,46.8239729387239,-0.0006863683346312562,-0.03213849232677093,0.03213849232677093
with_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA3 Pyramidal,6.237137836109077,-0.004481830131004376,-0.027953792285101094,0.027953792285101094
with_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,1.6789451712394614,-0.015335705705200414,-0.025747809041295693,0.025747809041295693
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LI II Multipolar Pyramidal,15.570332158163962,-0.001605295072249935,-0.024994977486795307,0.024994977486795307
with_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,1.6789451712394614,-0.014714947928216553,-0.0247055907691193,0.0247055907691193
with_self,E-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,1.5290396361113443,-0.015335705705200414,-0.023448901870990305,0.023448901870990305
with_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA3 Granule,6.237137836109077,-0.0037049711276814505,-0.023108415602153688,0.023108415602153688
with_self,E-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,1.5290396361113443,-0.014714947928216553,-0.022499738625557618,0.022499738625557618
with_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,CA1 Pyramidal,29.51680665294874,-0.0007597128115241464,-0.02242429616952632,0.02242429616952632
with_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA3c Pyramidal,6.237137836109077,-0.0034346898804730017,-0.02142263420879912,0.02142263420879912
with_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,DG Granule,29.51680665294874,-0.0006983350568499332,-0.020612620852015446,0.020612620852015446
with_self,E-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,1.333366542090602,-0.015335705705200414,-0.020448116886662194,0.020448116886662194
with_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Hilar Ectopic Granule,1.6744762111676674,-0.012063923192853404,-0.020200752399786918,0.020200752399786918
