variant,motif,E_source,I_first,I_second,E_receiver,E_to_I,I_to_I,I_to_E,signed_contribution,abs_contribution
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,15.570332158163962,-0.1789938833343111,-0.015335705705200414,0.04274052312619739,0.04274052312619739
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,15.570332158163962,-0.1789938833343111,-0.014714947928216553,0.04101047479109217,0.04101047479109217
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,15.570332158163962,-0.1789938833343111,-0.00796535851434445,0.022199408122141138,0.022199408122141138
with_self,E-I-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,29.51680665294874,-0.010379690017985164,-0.07220663505536314,0.022122329721021024,0.022122329721021024
with_self,E-I-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,46.8239729387239,-0.0046052129419029055,-0.07220663505536314,0.015570231983339504,0.015570231983339504
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,EC LIII Stellate,15.570332158163962,-0.1789938833343111,-0.004829354099497953,0.01345938195098476,0.01345938195098476
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII Stellate,15.570332158163962,-0.1789938833343111,-0.004087959411203046,0.01139311924160302,0.01139311924160302
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG AIPRIM,DG Hilar Ectopic Granule,8.554852573701082,-0.10451361641756898,-0.012063923192853404,0.010786336600744422,0.010786336600744422
with_self,E-I-I-E,CA3c Pyramidal,CA1 R Receiving Apical Targeting,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,20.02272797645938,-0.005725907689017246,-0.07220663505536314,0.008278367385616995,0.008278367385616995
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG AIPRIM,DG Mossy,8.554852573701082,-0.10451361641756898,-0.009181942400868488,0.0082095616659003,0.0082095616659003
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal,15.570332158163962,-0.1789938833343111,-0.002931561521548367,0.008170245009665239,0.008170245009665239
with_self,E-I-I-E,CA3 Pyramidal,CA1 Back Projection,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,6.237137836109077,-0.017851102740833014,-0.07220663505536314,0.008039471462444497,0.008039471462444497
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG AIPRIM,DG Granule,8.554852573701082,-0.10451361641756898,-0.008851225240131863,0.007913867921972876,0.007913867921972876
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII Oblique Pyramidal,15.570332158163962,-0.1789938833343111,-0.0028001130666707678,0.007803898925983299,0.007803898925983299
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal Stellate,15.570332158163962,-0.1789938833343111,-0.002583073714761275,0.007199011507177595,0.007199011507177595
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LV Superficial Pyramidal,15.570332158163962,-0.1789938833343111,-0.0024461062266761518,0.0068172839098584685,0.0068172839098584685
with_self,E-I-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Basket CCK+,CA1 Pyramidal,13.314089769914585,-0.042424805452523306,-0.011929814372781955,0.00673852783131278,0.00673852783131278
with_self,E-I-I-E,CA3c Pyramidal,CA1 Bistratified,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,7.417384403119963,-0.011761850280125082,-0.07220663505536314,0.006299463156571005,0.006299463156571005
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,EC LII III Pyramidal Tripolar,15.570332158163962,-0.1789938833343111,-0.0021276651254396144,0.005929790402004007,0.005929790402004007
with_self,E-I-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Basket,CA1 Pyramidal,13.314089769914585,-0.050900594505839274,-0.007188014515186289,0.004871282104923196,0.004871282104923196
