variant,cell,ei,response,abs_response,source_population
with_self,CA1 Trilaminar,i,149.2049252953886,149.2049252953886,E
with_self,MEC LIII Superficial Multipolar Interneuron,i,123.17718687167591,123.17718687167591,E
with_self,CA1 Perforant Path Associated QuadD,i,103.45208823078578,103.45208823078578,E
with_self,CA1 Perforant Path Associated,i,78.53257879348324,78.53257879348324,E
with_self,CA1 R Receiving Apical Targeting,i,51.76554583665647,51.76554583665647,E
with_self,DG Axo Axonic,i,50.86692948018386,50.86692948018386,E
with_self,DG AIPRIM,i,40.411084144901025,40.411084144901025,E
with_self,CA1 OR LM,i,36.22382495916558,36.22382495916558,E
with_self,CA1 LMR,i,30.81550543131599,30.81550543131599,E
with_self,CA1 Basket CCK+,i,30.696804110151415,30.696804110151415,E
with_self,CA1 Basket,i,30.253790231236714,30.253790231236714,E
with_self,CA1 Oriens Alveus,i,25.84187293870846,25.84187293870846,E
with_self,CA1 SO SO,i,22.93669098694654,22.93669098694654,E
with_self,CA2 Basket,i,22.237990414403665,22.237990414403665,E
with_self,CA1 Back Projection,i,19.775595795426106,19.775595795426106,E
no_self,CA1 Trilaminar,i,536.9654886724738,536.9654886724738,E
no_self,CA1 Perforant Path Associated QuadD,i,373.57729507878247,373.57729507878247,E
no_self,CA1 Perforant Path Associated,i,292.18923085476297,292.18923085476297,E
no_self,MEC LIII Superficial Multipolar Interneuron,i,256.66150981431434,256.66150981431434,E
no_self,CA1 R Receiving Apical Targeting,i,204.63170928538185,204.63170928538185,E
no_self,DG AIPRIM,i,192.18654773843747,192.18654773843747,E
no_self,DG Axo Axonic,i,188.97767220687012,188.97767220687012,E
no_self,CA1 OR LM,i,138.95059073049754,138.95059073049754,E
no_self,CA1 Basket CCK+,i,112.86180631622521,112.86180631622521,E
no_self,CA1 Basket,i,109.36270441345397,109.36270441345397,E
no_self,CA1 LMR,i,105.52496037578815,105.52496037578815,E
no_self,CA1 Oriens Alveus,i,93.84351201185098,93.84351201185098,E
no_self,CA2 Basket,i,84.88105336079148,84.88105336079148,E
no_self,CA1 SO SO,i,82.58908739447288,82.58908739447288,E
no_self,CA1 Back Projection,i,69.37499227902823,69.37499227902823,E
