variant,motif,description,motif_count,edges_removed,dominant_eigenvalue_before,dominant_real_before,dominant_imag_before,spectral_radius_before,dominant_eigenvalue_after,dominant_real_after,dominant_imag_after,spectral_radius_after,delta_dominant_real,delta_spectral_radius
with_self,all_excitatory_edges_E_to_E,All edges with excitatory source and excitatory receiver.,355,355,(0.9999999999999999+0j),0.9999999999999999,0.0,0.9999999999999999,(0.6629272176409784+0j),0.6629272176409784,0.0,0.6629272176409784,-0.3370727823590215,-0.3370727823590215
with_self,all_excitatory_E_E_E_chains,Two-step chains containing only excitatory nodes.,4472,355,(0.9999999999999999+0j),0.9999999999999999,0.0,0.9999999999999999,(0.6629272176409784+0j),0.6629272176409784,0.0,0.6629272176409784,-0.3370727823590215,-0.3370727823590215
with_self,all_inhibitory_edges_I_to_I,All edges with inhibitory source and inhibitory receiver.,692,692,(0.9999999999999999+0j),0.9999999999999999,0.0,0.9999999999999999,(0.9991863552330164+0j),0.9991863552330164,0.0,0.9991863552330164,-0.0008136447669835345,-0.0008136447669835345
with_self,all_inhibitory_I_I_I_chains,Two-step chains containing only inhibitory nodes.,9553,692,(0.9999999999999999+0j),0.9999999999999999,0.0,0.9999999999999999,(0.9991863552330164+0j),0.9991863552330164,0.0,0.9991863552330164,-0.0008136447669835345,-0.0008136447669835345
with_self,E_I_E_inhibitory_feedback,Expected-sign E->I->E inhibitory feedback paths.,1341,515,(0.9999999999999999+0j),0.9999999999999999,0.0,0.9999999999999999,(1.0419282697498582+0j),1.0419282697498582,0.0,1.0419282697498582,0.041928269749858305,0.041928269749858305
with_self,E_I_I_E_disinhibitory_feedback,Expected-sign E->I->I->E disinhibitory feedback paths.,12468,1202,(0.9999999999999999+0j),0.9999999999999999,0.0,0.9999999999999999,(1.0419282697498589+0j),1.0419282697498589,0.0,1.0419282697498589,0.04192826974985897,0.04192826974985897
no_self,all_excitatory_edges_E_to_E,All edges with excitatory source and excitatory receiver.,355,355,(0.9999999999999994+0j),0.9999999999999994,0.0,0.9999999999999994,(0.11695068327730752+0.02563673904139295j),0.11695068327730752,0.02563673904139295,0.645703979206485,-0.8830493167226919,-0.3542960207935144
no_self,all_excitatory_E_E_E_chains,Two-step chains containing only excitatory nodes.,4472,355,(0.9999999999999994+0j),0.9999999999999994,0.0,0.9999999999999994,(0.11695068327730752+0.02563673904139295j),0.11695068327730752,0.02563673904139295,0.645703979206485,-0.8830493167226919,-0.3542960207935144
no_self,all_inhibitory_edges_I_to_I,All edges with inhibitory source and inhibitory receiver.,692,692,(0.9999999999999994+0j),0.9999999999999994,0.0,0.9999999999999994,(0.9855191909677542+0j),0.9855191909677542,0.0,0.9855191909677542,-0.014480809032245245,-0.014480809032245245
no_self,all_inhibitory_I_I_I_chains,Two-step chains containing only inhibitory nodes.,9553,692,(0.9999999999999994+0j),0.9999999999999994,0.0,0.9999999999999994,(0.9855191909677542+0j),0.9855191909677542,0.0,0.9855191909677542,-0.014480809032245245,-0.014480809032245245
no_self,E_I_I_E_disinhibitory_feedback,Expected-sign E->I->I->E disinhibitory feedback paths.,11255,1159,(0.9999999999999994+0j),0.9999999999999994,0.0,0.9999999999999994,(1.1716432575833915+0j),1.1716432575833915,0.0,1.1716432575833915,0.17164325758339205,0.17164325758339205
no_self,E_I_E_inhibitory_feedback,Expected-sign E->I->E inhibitory feedback paths.,1341,515,(0.9999999999999994+0j),0.9999999999999994,0.0,0.9999999999999994,(1.171643257583395+0j),1.171643257583395,0.0,1.171643257583395,0.1716432575833956,0.1716432575833956
