ii_chain_order,motif_length,fro_norm,signed_sum,positive_sum,negative_sum,max_abs,spectral_bound,relative_contribution,cumulative_energy,passes_decay_rule,passes_cumulative_energy_rule,passes_spectral_radius_rule,null_mean_fro,null_sd_fro,null_z,passes_null_significance_rule
0,E->I->E,1.6142127251692633,-4.0273083540849495,0.0,-4.0273083540849495,1.5430090247928625,1.0,0.9629191748321642,0.9629191748321642,True,False,True,1.6142127251692648,1.5621425723676385e-15,-0.9949874371066199,False
1,E->I->I->E,0.055844917640194745,0.28159220904487314,0.28159220904487314,0.0,0.02736790079978501,0.13164354689060964,0.03331292163306905,0.9962320964652333,True,False,True,0.04933657211046264,0.025867232114041634,0.25160579612996736,False
2,E->I->I->I->E,0.005533721263873073,-0.028042440322338165,0.0,-0.028042440322338165,0.0030668613583448383,0.01733002343794014,0.0033010062614895574,0.9995331027267228,False,False,False,0.0032004198956460434,0.0019025294804337436,1.2264206112039207,False
3,E->I->I->I->I->E,0.000681831245551388,0.0031836134931181896,0.0031836134931181896,0.0,0.00040373252428076075,0.0022813857530678367,0.0004067297761342358,0.999939832502857,False,False,False,0.000230884847058009,0.00014526251168915107,3.1043549588235426,True
4,E->I->I->I->I->I->E,8.769578503359155e-05,-0.000381395976294443,0.0,-0.000381395976294443,5.314878149578527e-05,0.0003003297123595546,5.231277863451993e-05,0.9999921452814915,False,False,False,1.7699480316799017e-05,1.4062283623100285e-05,4.9775915912980695,True
5,E->I->I->I->I->I->I->E,1.1439944792860024e-05,4.7116527986958354e-05,4.7116527986958354e-05,0.0,6.99669410902028e-06,3.953646857164833e-05,6.824219651044566e-06,0.9999989695011425,False,False,False,1.3683910974166706e-06,1.4059611913736545e-06,7.163464935759164,True
6,E->I->I->I->I->I->I->I->E,1.5004155740375204e-06,-5.941882678964967e-06,0.0,-5.941882678964967e-06,9.210696290200637e-07,5.204720954300901e-06,8.950362637650749e-07,0.9999998645374063,False,False,False,1.1115977390153821e-07,1.4457710241991434e-07,9.609099759801406,True
7,E->I->I->I->I->I->I->I->I->E,1.9721132739343706e-07,7.599734373969571e-07,7.599734373969571e-07,0.0,1.2125287289741917e-07,6.851679270000493e-07,1.1764160056496382e-07,0.9999999821790069,False,False,False,9.416107924135247e-09,1.5135056310988432e-08,12.40796305019082,True
8,E->I->I->I->I->I->I->I->I->I->E,2.5943969577676236e-08,-9.813355148539604e-08,0.0,-9.813355148539604e-08,1.596215825889253e-08,9.019793612597278e-08,1.5476241382614063e-08,0.9999999976552483,False,False,False,8.304667378727267e-10,1.6103862156537924e-09,15.59470802450194,True
9,E->I->I->I->I->I->I->I->I->I->I->E,3.4143231319738915e-09,1.2753095624467667e-08,1.2753095624467667e-08,0.0,2.1013151292298514e-09,1.1873976233835712e-08,2.0367310711826572e-09,0.9999999996919794,False,False,False,7.591176248869048e-11,1.7415499530102853e-10,19.16919674749912,True
10,E->I->I->I->I->I->I->I->I->I->I->I->E,4.4941185906124044e-10,-1.6644391517782498e-09,0.0,-1.6644391517782498e-09,2.7662457674671737e-10,1.563132347116936e-09,2.6808566785499814e-10,0.9999999999600651,False,False,False,7.199575572410535e-12,1.9141245160538563e-11,23.102587098173277,True
11,E->I->I->I->I->I->I->I->I->I->I->I->I->E,5.9158425912204e-11,2.1784908067639568e-10,2.1784908067639568e-10,0.0,3.641584044005155e-11,2.0577628643391708e-10,3.528951406189415e-11,0.9999999999953546,False,False,False,7.070971328554512e-13,2.1381805954378574e-12,27.336946609684695,True
12,E->I->I->I->I->I->I->I->I->I->I->I->I->I->E,7.787595467632366e-12,-2.8567187801818883e-11,0.0,-2.8567187801818883e-11,4.7939103985308836e-12,2.7089120212138882e-11,4.6454998679513855e-12,1.0,False,False,False,7.171326634695821e-14,2.426117383320207e-13,31.803416662082583,True
