variant,motif,description,motif_count,edges_removed,dominant_eigenvalue_before,dominant_real_before,dominant_imag_before,spectral_radius_before,dominant_eigenvalue_after,dominant_real_after,dominant_imag_after,spectral_radius_after,delta_dominant_real,delta_spectral_radius
with_self,all_excitatory_edges_E_to_E,All edges with excitatory source and excitatory receiver.,355,355,(0.850000000000001+0j),0.850000000000001,0.0,0.850000000000001,(0.563488134994833+0j),0.563488134994833,0.0,0.563488134994833,-0.286511865005168,-0.286511865005168
with_self,all_excitatory_E_E_E_chains,Two-step chains containing only excitatory nodes.,4472,355,(0.850000000000001+0j),0.850000000000001,0.0,0.850000000000001,(0.563488134994833+0j),0.563488134994833,0.0,0.563488134994833,-0.286511865005168,-0.286511865005168
with_self,all_inhibitory_edges_I_to_I,All edges with inhibitory source and inhibitory receiver.,692,692,(0.850000000000001+0j),0.850000000000001,0.0,0.850000000000001,(0.8493084019480628+0j),0.8493084019480628,0.0,0.8493084019480628,-0.0006915980519381915,-0.0006915980519381915
with_self,all_inhibitory_I_I_I_chains,Two-step chains containing only inhibitory nodes.,9553,692,(0.850000000000001+0j),0.850000000000001,0.0,0.850000000000001,(0.8493084019480628+0j),0.8493084019480628,0.0,0.8493084019480628,-0.0006915980519381915,-0.0006915980519381915
with_self,E_I_E_inhibitory_feedback,Expected-sign E->I->E inhibitory feedback paths.,1341,515,(0.850000000000001+0j),0.850000000000001,0.0,0.850000000000001,(0.8856390292873788+0j),0.8856390292873788,0.0,0.8856390292873788,0.03563902928737783,0.03563902928737783
with_self,E_I_I_E_disinhibitory_feedback,Expected-sign E->I->I->E disinhibitory feedback paths.,12468,1202,(0.850000000000001+0j),0.850000000000001,0.0,0.850000000000001,(0.8856390292873791+0j),0.8856390292873791,0.0,0.8856390292873791,0.035639029287378166,0.035639029287378166
no_self,all_excitatory_edges_E_to_E,All edges with excitatory source and excitatory receiver.,355,355,(0.8500000000000013+0j),0.8500000000000013,0.0,0.8500000000000013,(0.09940808078571131+0.021791228185183902j),0.09940808078571131,0.021791228185183902,0.5488483823255119,-0.75059191921429,-0.3011516176744894
no_self,all_excitatory_E_E_E_chains,Two-step chains containing only excitatory nodes.,4472,355,(0.8500000000000013+0j),0.8500000000000013,0.0,0.8500000000000013,(0.09940808078571131+0.021791228185183902j),0.09940808078571131,0.021791228185183902,0.5488483823255119,-0.75059191921429,-0.3011516176744894
no_self,all_inhibitory_edges_I_to_I,All edges with inhibitory source and inhibitory receiver.,692,692,(0.8500000000000013+0j),0.8500000000000013,0.0,0.8500000000000013,(0.8376913123225904+0j),0.8376913123225904,0.0,0.8376913123225904,-0.01230868767741089,-0.01230868767741089
no_self,all_inhibitory_I_I_I_chains,Two-step chains containing only inhibitory nodes.,9553,692,(0.8500000000000013+0j),0.8500000000000013,0.0,0.8500000000000013,(0.8376913123225904+0j),0.8376913123225904,0.0,0.8376913123225904,-0.01230868767741089,-0.01230868767741089
no_self,E_I_E_inhibitory_feedback,Expected-sign E->I->E inhibitory feedback paths.,1341,515,(0.8500000000000013+0j),0.8500000000000013,0.0,0.8500000000000013,(0.9958967689458801+0j),0.9958967689458801,0.0,0.9958967689458801,0.14589676894587877,0.14589676894587877
no_self,E_I_I_E_disinhibitory_feedback,Expected-sign E->I->I->E disinhibitory feedback paths.,11255,1159,(0.8500000000000013+0j),0.8500000000000013,0.0,0.8500000000000013,(0.9958967689458849+0j),0.9958967689458849,0.0,0.9958967689458849,0.14589676894588355,0.14589676894588355
