variant,motif,E_source,I_middle,E_receiver,E_to_I,I_to_E,signed_contribution,abs_contribution
with_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,25.08928565500642,-0.061375639797058644,-1.5398709591271846,1.5398709591271846
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,13.234782334439362,-0.013035349849420346,-0.1725200179103452,0.1725200179103452
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,13.234782334439362,-0.012507705738984066,-0.16553676295867215,0.16553676295867215
with_self,E-I-E,CA2 Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,1.9098963002440683,-0.061375639797058644,-0.1172211073735149,0.1172211073735149
with_self,E-I-E,EC LIII Pyramidal Stellate,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,1.8830176189050778,-0.061375639797058644,-0.1155714111094331,0.1155714111094331
with_self,E-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Pyramidal,11.316976304427392,-0.010140342216864658,-0.11475801258704207,0.11475801258704207
with_self,E-I-E,CA3 Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,1.4826007284347273,-0.061375639797058644,-0.09099556827126659,0.09099556827126659
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,13.234782334439362,-0.006770554737192779,-0.08960681823015373,0.08960681823015373
with_self,E-I-E,DG Granule,DG AIPRIM,DG Hilar Ectopic Granule,7.271624687645916,-0.01025433471392539,-0.07456567346116438,0.07456567346116438
with_self,E-I-E,CA3c Pyramidal,CA1 Basket,CA1 Pyramidal,11.431332471317024,-0.006109812337908343,-0.06984329617198502,0.06984329617198502
with_self,E-I-E,DG Granule,DG AIPRIM,DG Mossy,7.271624687645916,-0.0078046510407382115,-0.05675249318629337,0.05675249318629337
