variant,motif,E_source,I_first,I_second,E_receiver,E_to_I,I_to_I,I_to_E,signed_contribution,abs_contribution
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,13.234782334439362,-0.15214480083416437,-0.013035349849420346,0.026248023764875943,0.026248023764875943
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,13.234782334439362,-0.15214480083416437,-0.012507705738984066,0.025185557831079453,0.025185557831079453
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,13.234782334439362,-0.15214480083416437,-0.006770554737192779,0.013633211513009908,0.013633211513009908
with_self,E-I-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,25.08928565500642,-0.008822736515287385,-0.061375639797058644,0.013585875739922018,0.013585875739922018
with_self,E-I-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,39.80037699791529,-0.003914431000617468,-0.061375639797058644,0.009562068716768362,0.009562068716768362
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,EC LIII Stellate,13.234782334439362,-0.15214480083416437,-0.004104950984573258,0.008265742940648505,0.008265742940648505
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII Stellate,13.234782334439362,-0.15214480083416437,-0.003474765499522588,0.006996799354249447,0.006996799354249447
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG AIPRIM,DG Hilar Ectopic Granule,7.271624687645916,-0.08883657395493359,-0.01025433471392539,0.006624158964932159,0.006624158964932159
with_self,E-I-I-E,CA3c Pyramidal,CA1 R Receiving Apical Targeting,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,17.019318779990463,-0.004867021535664658,-0.061375639797058644,0.005083952370692031,0.005083952370692031
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG AIPRIM,DG Mossy,7.271624687645916,-0.08883657395493359,-0.0078046510407382115,0.005041697058071016,0.005041697058071016
