variant,inhibitory_cell,ii_chain_order,score,I_to_E_abs,E_to_I_abs,II_chain_participation,positive_disinhibitory_drive_to_E
with_self,CA1 Perforant Path Associated,1,2.2240973140283686,0.06303466972609582,30.55013353003958,0.11833805217180002,0.0005684021936165634
with_self,MEC LIII Superficial Multipolar Interneuron,1,1.4111233017756448,0.05368935638602362,18.71306096642284,0.33328410174478995,0.007100929133370224
with_self,DG AIPRIM,1,0.48264694729801855,0.02613147467296069,11.929235347370337,0.428541310803977,0.0027764139325184086
with_self,CA1 Basket CCK+,1,0.2095329914043478,0.010882272286036013,13.295802479232618,0.3468656780779005,0.0007701493854902046
with_self,CA1 Back Projection,1,0.17032935634038376,0.016286688569886652,6.860132434424529,0.3305366744781213,0.0021496935695670327
with_self,CA1 Basket,1,0.11935478850138556,0.006459751237929504,13.817848900781543,0.24692086396922414,0.0003615939134299394
with_self,CA1 Trilaminar,1,0.11667913261100599,0.0019157637941500504,50.76849317121555,0.17648313659911524,0.0004072047211416893
with_self,MEC LIII Superficial Trilayered Interneuron,1,0.08979385287006957,0.03704896312131457,1.244569992778704,0.07978526330994212,0.003874147669404068
with_self,CA2 Wide Arbor Basket,1,0.08401559012486383,0.01827047800783639,2.4852102315152402,0.3194137084791787,0.0016059229955132823
with_self,DG Total Molecular Layer,1,0.0690136791566182,0.01816360424753697,2.218016632141496,0.1807144145163604,0.001259151415959484
with_self,CA3 Basket CCK+,1,0.06309459139663251,0.028008819170386272,0.6591864935177625,0.3576947191033838,0.002238582178250232
with_self,CA3 Basket,1,0.060101693691297864,0.012308130192120098,2.5629192117455615,0.3705303407520789,0.0011601948543979459
with_self,DG MOLAX,1,0.03326247879367519,0.008166626458231048,2.6071751547166055,0.1291319288673253,0.0005247138255065254
with_self,DG Basket,1,0.03174660472684946,0.007695462289682239,2.62690946007761,0.13743308362917633,0.00040027175969849346
with_self,CA1 Horizontal Basket,1,0.023493339340679265,0.003036224582833886,5.265405649172347,0.23498495013222928,0.00028874684277181267
with_self,CA3 O LM,1,0.019447028602676785,0.010539972042236688,0.7057262532863909,0.08169409831443586,0.0006311705555992862
with_self,CA1 Bistratified,1,0.019261989331459693,0.0019464935880414583,7.15494339490949,0.21346487481088405,0.0007886871953829316
with_self,CA2 Basket,1,0.01904437917273876,0.0022011239165810855,7.044730457042676,0.0755010273151231,0.0001818987442893822
with_self,DG HIPP,1,0.018135000329849556,0.010465214065917279,0.5959233293365473,0.08581897855965145,0.0006392447978362615
with_self,DG Axo Axonic,1,0.016442204606321318,0.0009394688642062969,14.108448475528478,0.1583979734634198,0.0
no_self,CA1 Perforant Path Associated,1,7.239107533329146,0.11135941024625041,53.97101099493809,0.1825632576465573,0.00029863256903837513
no_self,MEC LIII Superficial Multipolar Interneuron,1,3.656470142200206,0.09484962941232278,33.059194918891905,0.13185818301093385,0.0004920461490979586
no_self,DG AIPRIM,1,1.5186982726007274,0.0461648426348623,21.07463430433308,0.4902757061933149,0.0025067869194803634
no_self,CA1 Basket CCK+,1,0.7083098699512674,0.019225030117202193,23.488863022074618,0.5044842399177947,0.0013625909709696783
no_self,CA1 Back Projection,1,0.5906862020120054,0.028772674496239624,12.119367094778715,0.5648175538369945,0.006434130746680885
no_self,CA1 Basket,1,0.397967849500823,0.011412038665691763,24.41112979808005,0.3723370210296491,0.0007640219586759448
no_self,CA1 Trilaminar,1,0.39442175564229304,0.003384460126699901,89.68952297527204,0.28503318295761837,0.0012256245047642998
no_self,CA2 Wide Arbor Basket,1,0.2668029142939254,0.03227731127505924,4.390465547325804,0.5334405517175905,0.004514258453587718
no_self,MEC LIII Superficial Trilayered Interneuron,1,0.2369679256859715,0.06545208694441124,2.198703999057199,0.13185818301093385,0.011793653089109922
no_self,DG Total Molecular Layer,1,0.2026044796142586,0.032088504084199714,3.9184313195409173,0.28372784265961687,0.0033597851539171456
no_self,CA3 Basket,1,0.17911406019444137,0.021744004139060878,4.527749144541252,0.49019063773889326,0.0018335968938888586
no_self,CA3 Basket CCK+,1,0.16133430020369754,0.04948142979191068,1.164543567522526,0.5063231051954674,0.003879352652692201
no_self,DG MOLAX,1,0.09763188192308202,0.014427468408128068,4.605933352225089,0.20712876369719452,0.001486143716105539
no_self,DG Basket,1,0.0927639547321199,0.013595092127475665,4.640796715770422,0.20964142616254416,0.001023892244637315
no_self,CA1 Horizontal Basket,1,0.07524400088746425,0.005363908153857965,9.302062981324116,0.3616526840223159,0.000757748861316172
no_self,CA1 Bistratified,1,0.06393007517255973,0.0034387485324233833,12.640191187875288,0.362963857013637,0.0024371678470320895
no_self,CA2 Basket,1,0.05686746074669183,0.003888588015047704,12.445484880763885,0.08766570359136931,0.00047881967705208194
no_self,DG Axo Axonic,1,0.055067245038021115,0.0016597009093143019,24.924513899277816,0.2798317971004647,0.0
no_self,CA3 O LM,1,0.04720835989118534,0.018620309676177026,1.246762451564542,0.12843060312189847,0.001821919703360159
no_self,DG HIPP,1,0.043706283862832304,0.018488239433082122,1.0527804904072782,0.1516110242484856,0.001995088124935274
