variant,motif,E_source,I_middle,E_receiver,E_to_I,I_to_E,signed_contribution,abs_contribution
with_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,29.51680665294873,-0.07220663505536311,-2.131309285989183,2.131309285989183
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,15.570332158163957,-0.015335705705200408,-0.23878203170982037,0.23878203170982037
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,15.570332158163957,-0.014714947928216548,-0.22911662693241822,0.22911662693241822
with_self,E-I-E,CA2 Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,2.246936823816551,-0.07220663505536311,-0.16224374722977838,0.16224374722977838
with_self,E-I-E,EC LIII Pyramidal Stellate,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,2.21531484577068,-0.07220663505536311,-0.1599604306012915,0.1599604306012915
with_self,E-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Pyramidal,13.314089769914581,-0.011929814372781952,-0.1588346194976361,0.1588346194976361
with_self,E-I-E,CA3 Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,1.7442361510996793,-0.07220663505536311,-0.12594542321282573,0.12594542321282573
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,15.570332158163957,-0.007965358514344446,-0.1240232778272024,0.1240232778272024
with_self,E-I-E,DG Granule,DG AIPRIM,DG Hilar Ectopic Granule,8.554852573701078,-0.0120639231928534,-0.10320508437531405,0.10320508437531405
with_self,E-I-E,CA3c Pyramidal,CA1 Basket,CA1 Pyramidal,13.448626436843558,-0.007188014515186286,-0.09666892203734952,0.09666892203734952
with_self,E-I-E,DG Granule,DG AIPRIM,DG Mossy,8.554852573701078,-0.009181942400868484,-0.07855016357964481,0.07855016357964481
with_self,E-I-E,DG Granule,DG AIPRIM,DG Granule,8.554852573701078,-0.008851225240131861,-0.07572092702595,0.07572092702595
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII Stellate,15.570332158163957,-0.004829354099497952,-0.07519464743857389,0.07519464743857389
with_self,E-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Pyramidal,46.82397293872388,-0.001536879044831406,-0.07196278280527756,0.07196278280527756
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII Stellate,15.570332158163957,-0.004087959411203045,-0.06365088588152377,0.06365088588152377
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal,15.570332158163957,-0.002931561521548366,-0.045645386632600586,0.045645386632600586
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII Oblique Pyramidal,15.570332158163957,-0.002800113066670767,-0.04359869052847894,0.04359869052847894
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal Stellate,15.570332158163957,-0.002583073714761274,-0.0402193157278555,0.0402193157278555
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LV Superficial Pyramidal,15.570332158163957,-0.002446106226676151,-0.038086686443500765,0.038086686443500765
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LII III Pyramidal Tripolar,15.570332158163957,-0.002127665125439614,-0.03312845272443637,0.03312845272443637
with_self,E-I-E,CA3 Pyramidal,CA1 Trilaminar,SUB CA1 Projecting Pyramidal,46.82397293872388,-0.0006863683346312559,-0.0321384923267709,0.0321384923267709
with_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA3 Pyramidal,6.237137836109075,-0.004481830131004374,-0.027953792285101073,0.027953792285101073
with_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,1.6789451712394607,-0.015335705705200408,-0.025747809041295675,0.025747809041295675
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LI II Multipolar Pyramidal,15.570332158163957,-0.0016052950722499344,-0.024994977486795286,0.024994977486795286
with_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,1.6789451712394607,-0.014714947928216548,-0.02470559076911928,0.02470559076911928
with_self,E-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,1.5290396361113439,-0.015335705705200408,-0.02344890187099029,0.02344890187099029
with_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA3 Granule,6.237137836109075,-0.0037049711276814492,-0.023108415602153674,0.023108415602153674
with_self,E-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,1.5290396361113439,-0.014714947928216548,-0.022499738625557604,0.022499738625557604
with_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,CA1 Pyramidal,29.51680665294873,-0.0007597128115241461,-0.022424296169526303,0.022424296169526303
with_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA3c Pyramidal,6.237137836109075,-0.0034346898804730004,-0.021422634208799106,0.021422634208799106
with_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,DG Granule,29.51680665294873,-0.000698335056849933,-0.020612620852015432,0.020612620852015432
with_self,E-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,1.3333665420906016,-0.015335705705200408,-0.02044811688666218,0.02044811688666218
with_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Hilar Ectopic Granule,1.674476211167667,-0.0120639231928534,-0.020200752399786907,0.020200752399786907
with_self,E-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,1.3333665420906016,-0.014714947928216548,-0.01962041923608936,0.01962041923608936
with_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA1 Pyramidal,6.237137836109075,-0.0030499161753801953,-0.019022747574424896,0.019022747574424896
with_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,DG Mossy,6.237137836109075,-0.0026448284734727416,-0.016496159741915442,0.016496159741915442
with_self,E-I-E,CA3c Pyramidal,CA1 Bistratified,CA1 Pyramidal,7.417384403119961,-0.0022076793634634535,-0.016375206477643622,0.016375206477643622
with_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Mossy,1.674476211167667,-0.009181942400868484,-0.015374944122566011,0.015374944122566011
with_self,E-I-E,CA3 Pyramidal,CA1 Horizontal Basket,CA1 Pyramidal,4.548459376947169,-0.003260380321643853,-0.014829707446395009,0.014829707446395009
with_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Granule,1.674476211167667,-0.008851225240131861,-0.014821166104287622,0.014821166104287622
with_self,E-I-E,DG Granule,DG Total Molecular Layer,DG Hilar Ectopic Granule,1.7058338752319118,-0.008247490695680745,-0.014068849014352222,0.014068849014352222
with_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,1.6789451712394607,-0.007965358514344446,-0.013373400214849732,0.013373400214849732
with_self,E-I-E,CA3c Pyramidal,DG AIPRIM,DG Hilar Ectopic Granule,1.0317351496555043,-0.0120639231928534,-0.012446773600811112,0.012446773600811112
with_self,E-I-E,CA2 Pyramidal,DG AIPRIM,DG Hilar Ectopic Granule,1.0244936036277257,-0.0120639231928534,-0.012359412145734478,0.012359412145734478
with_self,E-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,1.5290396361113439,-0.007965358514344446,-0.012179348884269626,0.012179348884269626
with_self,E-I-E,DG Granule,DG Basket,DG Granule,1.32908568358777,-0.009053485046684987,-0.01203285736212497,0.01203285736212497
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII V Bipolar Pyramidal,15.570332158163957,-0.0007716612254250568,-0.012015021593443968,0.012015021593443968
with_self,E-I-E,EC LIII Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,0.16495408607704412,-0.07220663505536311,-0.011910779494256077,0.011910779494256077
with_self,E-I-E,DG Granule,DG Total Molecular Layer,DG Granule,1.7058338752319118,-0.0069609560400143745,-0.011874234617056703,0.011874234617056703
with_self,E-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Radiatum Giant,13.314089769914581,-0.0008728589049074749,-0.011621321816407456,0.011621321816407456
no_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,52.1454970020124,-0.12756294798674273,-6.651833321810556,6.651833321810556
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,27.50713240833472,-0.027092632522101895,-0.7452406300758122,0.7452406300758122
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,27.50713240833472,-0.025995978565619308,-0.7150748244887216,0.7150748244887216
no_self,E-I-E,CA2 Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,3.969522814160256,-0.12756294798674273,-0.5063640322749133,0.5063640322749133
no_self,E-I-E,EC LIII Pyramidal Stellate,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,3.9136582424680486,-0.12756294798674273,-0.4992377828218386,0.4992377828218386
no_self,E-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Pyramidal,23.52117003524997,-0.02107565723232866,-0.4957241173662482,0.4957241173662482
no_self,E-I-E,CA3 Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,3.0814329631719715,-0.12756294798674273,-0.3930766728057407,0.3930766728057407
