inhibitory_cell,ii_chain_order,score,I_to_E_abs,E_to_I_abs,II_chain_participation,positive_disinhibitory_drive_to_E
CA1 Perforant Path Associated,1,2.2240973140283753,0.06303466972609592,30.550133530039627,0.1183380521718002,0.0005684021936165652
MEC LIII Superficial Multipolar Interneuron,1,1.4111233017756493,0.05368935638602371,18.713060966422866,0.3332841017447904,0.007100929133370243
DG AIPRIM,1,0.4826469472980201,0.026131474672960727,11.929235347370355,0.42854131080397767,0.0027764139325184164
CA1 Basket CCK+,1,0.20953299140434847,0.010882272286036027,13.29580247923264,0.3468656780779011,0.000770149385490207
CA1 Back Projection,1,0.17032935634038426,0.016286688569886677,6.860132434424539,0.33053667447812185,0.002149693569567039
CA1 Basket,1,0.1193547885013859,0.0064597512379295135,13.817848900781563,0.2469208639692245,0.0003615939134299404
CA1 Trilaminar,1,0.11667913261100633,0.001915763794150053,50.768493171215624,0.1764831365991155,0.0004072047211416903
MEC LIII Superficial Trilayered Interneuron,1,0.08979385287006977,0.03704896312131462,1.244569992778706,0.07978526330994226,0.0038741476694040796
CA2 Wide Arbor Basket,1,0.08401559012486405,0.018270478007836415,2.485210231515244,0.31941370847917927,0.001605922995513287
DG Total Molecular Layer,1,0.06901367915661838,0.018163604247536998,2.218016632141499,0.1807144145163607,0.001259151415959488
CA3 Basket CCK+,1,0.06309459139663266,0.028008819170386313,0.6591864935177634,0.3576947191033843,0.002238582178250238
CA3 Basket,1,0.06010169369129804,0.012308130192120117,2.562919211745565,0.37053034075207947,0.0011601948543979493
DG MOLAX,1,0.033262478793675276,0.00816662645823106,2.607175154716609,0.1291319288673255,0.0005247138255065271
DG Basket,1,0.03174660472684956,0.0076954622896822505,2.6269094600776146,0.13743308362917658,0.0004002717596984947
CA1 Horizontal Basket,1,0.023493339340679334,0.0030362245828338902,5.265405649172355,0.23498495013222964,0.0002887468427718135
CA3 O LM,1,0.019447028602676834,0.010539972042236705,0.7057262532863919,0.08169409831443598,0.0006311705555992882
CA1 Bistratified,1,0.019261989331459745,0.0019464935880414609,7.154943394909501,0.21346487481088436,0.0007886871953829339
CA2 Basket,1,0.019044379172738816,0.0022011239165810885,7.044730457042688,0.0755010273151232,0.00018189874428938265
DG HIPP,1,0.018135000329849594,0.010465214065917295,0.5959233293365482,0.08581897855965157,0.0006392447978362634
DG Axo Axonic,1,0.016442204606321367,0.0009394688642062982,14.108448475528498,0.15839797346342008,0.0
