Neuron Type,E/I,rank,Population Size,Izh C,Izh k,Izh Vr,Izh Vt,Izh a,Izh b,Izh Vpeak,Izh Vmin,Izh d,Refractory Period,CARLsim_default,Vrest,Rin,tau_m,Vthresh,Fast AHP,APampl,APwidth,Max F.R.,Slow AHP,Sag ratio,K
CA1 Axo Axonic,i,2,762,234,9.825328921,-66.75901769,-65.78239061,0.002249737,14.46836874,3.182780355,-62.22075087,26,1,N,-65.1,73.9,7.7,22,17.6,64.1,0.39, ,7.7, ,0.444436
CA1 Basket,i,2,819,114,1.194057842,-57.62668762,-35.52987434,0.004606159,0.215666605,21.72459043,-48.69993294,2,1,N,-57,116,13,19,10,62,0.54,60,2,0.84,0.228963
CA1 Basket CCK+,i,2,963,59,1.062999345,-63.1830092,-38.18266358,0.023084662,-26.86555078,27.4430373,-53.31856204,294,1,N,-61.4,281.7,25.1,22.5,15.2,76.9,0.84,160,6.6,0.78,0.091758
CA1 Horizontal Axo Axonic,i,3,494,88,2.147703709,-56.44607825,-41.32222323,0.030161957,-47.84988426,23.89342893,-46.01289215,277,1,N,-57,219,24,25,9.9,80.8,0.9,87,6.1,0.74,0.260045
CA1 Horizontal Basket,i,4,811,46,0.828121327,-55.71667908,-27.7493779,0.0019183,0.257962229,20.27784287,-45.42231212,1,1,N,-55.4,157.5,20.5,24,11,71.4,0.77,50,5.3,0.47,0.449787
CA1 Ivy,i,2,1898,364,1.916038229,-70.43451358,-40.85892638,0.009151158,1.908337023,-6.919736716,-53.39985033,45,1,N,-71,72.8,7.6,30.1,13.6,44,0.8, ,3,0.98,0.046777
CA1 LMR,i,3,331,40,0.646086918,-53.95183827,-43.83060961,0.002634963,-12.11920917,25.1952116,-54.04927084,11,1,N,-53.1,352,32.9,36.9,19.5,86.9,0.8, ,0.2,0.92,0.374779
CA1 Neurogliaform,i,2,2716,254,2.35984164,-63.33385859,-47.61631265,0.008734647,17.55937833,10.70070768,-50.7816747,40,1,N,-63.1,215.3,12.4,32.4,20.4,73,0.9,60,9,0.99,0.116543
CA1 Neurogliaform Projecting,i,3,235,456,1.857338202,-63.35382853,-56.26411665,0.002891496,-2.718194966,17.06268357,-52.7704415,90,1,N,-63.1,215.3,12.4,44.4,20.4,46.5,0.9,52.8,9,0.99,0.093069
CA1 O LMR,i,4,1400,96,0.326413587,-56.4365831,-27.61761533,0.00631952,0.395234468,29.48367087,-51.29448022,48,1,N,-55.7,190,39.4,34,19.4,84.4, , ,5,0.68,0.088073
