Presynaptic Neuron Type,Postsynaptic Neuron Type,TPM g,TPM tau_d,TPM tau_r,TPM tau_f,TPM U,Connection Probability,Synaptic Delay,CARLsim_default
CA1 Basket,CA1 Pyramidal,6.067811614,4.408643738,637.3779263,11.57699627,0.282768383,0.01,1,Y
CA1 Basket,CA1 Radiatum Giant,3.847735348,5.000262941,582.3655427,18.25523608,0.25499346,0.01,1,Y
CA1 Basket,CA1 Basket,3.315200522,3.831414171,635.5365307,15.09543237,0.273852244,0.01,1,Y
CA1 Basket, CA1 Basket CCK+,3.102685857,4.229703968,576.2250426,27.30034173,0.262471938,0.01,1,Y
CA1 Basket,CA1 Horizontal Basket,2.622839694,5.032091575,634.2177509,31.52811229,0.225433517,0.01,1,Y
CA1 Basket,CA1 Radial Trilaminar,2.243019462,5.950048743,609.8539166,25.79888145,0.21836406,0.01,1,Y
CA1 Basket,CA1 OR LM,3.413987351,4.750653329,579.8318061,18.82520564,0.254071072,0.01,1,Y
CA1 Basket,CA1 Ivy,3.391835068,5.025261209,598.4298782,17.30237842,0.27646958,0.01,1,Y
CA1 Basket CCK+,CA1 Pyramidal,1.633849863,8.261691664,659.1560802,55.80256764,0.230934787,0.01,1,Y
CA1 Basket CCK+,CA1 Radiatum Giant,1.63141928,8.06440603,610.1639271,60.75646533,0.214470217,0.01,1,Y
CA1 Basket CCK+,CA1 Basket,1.236161794,6.961632328,752.2001856,53.15475426,0.226835913,0.01,1,Y
CA1 Basket CCK+, CA1 Basket CCK+,1.397935548,6.672410531,638.8350601,89.13915001,0.214495264,0.01,1,Y
CA1 Basket CCK+,CA1 Horizontal Basket,1.063373997,8.312285169,724.3767548,105.0119528,0.19229539,0.01,1,Y
CA1 Basket CCK+,CA1 Radial Trilaminar,1.080860029,9.690477409,681.5144712,58.70781498,0.180276311,0.01,1,Y
CA1 Basket CCK+,CA1 OR LM,1.444586588,7.718975365,607.4066683,65.75939251,0.211858413,0.01,1,Y
CA1 Basket CCK+,CA1 Ivy,1.58994451,8.3616028,653.4158889,39.16684388,0.231460691,0.01,1,Y
CA1 Horizontal Axo Axonic,CA1 Pyramidal,1.966121874,7.113627176,841.8282748,12.8674841,0.25257475,0.01,1,Y
CA1 Horizontal Axo Axonic,CA1 Radiatum Giant,2.11990416,6.482062063,584.6913802,19.26681022,0.223006322,0.01,1,Y
CA1 Horizontal Basket,CA1 Pyramidal,1.338253338,8.94097503,1117.693046,10.65209424,0.245250952,0.01,1,Y
CA1 Horizontal Basket,CA1 Radiatum Giant,1.577411699,9.308473463,695.0132307,18.66682287,0.227346225,0.01,1,Y
