,CA1 Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Horizontal Axo Axonic,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 O LMR,CA1 OR LM,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Pyramidal,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radial Trilaminar,CA1 Radiatum,CA1 Radiatum Giant,CA1 Recurrent O LM,CA1 SO SO,CA1 Schaffer Collateral Associated,CA1 Trilaminar,CA2 Basket,CA2 Bistratified,CA2 Pyramidal,CA2 SP SR,CA2 Wide Arbor Basket,CA3 Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 Granule,CA3 Horizontal Axo Axonic,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Pyramidal,CA3 Spiny Lucidum,CA3 Trilaminar,CA3c Pyramidal,DG AIPRIM,DG Axo Axonic,DG Basket,DG Granule,DG HICAP,DG HIPP,DG HIPROM,DG Hilar Ectopic Granule,DG MOLAX,DG MOPP,DG Mossy,DG Neurogliaform,DG Semilunar Granule,DG Total Molecular Layer,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,LEC LVI Multipolar Pyramidal,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,SUB CA1 Projecting Pyramidal
CA1 Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-223.86477262732654,0.0,0.0,0.0,0.0,-257.3165617746797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Back Projection,-2183.276690346115,-1013.2194899845979,-2223.0362502150397,-2763.5599751855684,-1744.7238414777596,-479.019837480756,-1447.7441526730624,-2138.6762283980806,-1463.1690085692965,-964.6518575944535,-859.5208828998793,-622.311153734942,-778.1301243206399,-861.7617151116364,-2494.558289313792,-486.67215066288003,-806.8093364377697,-3817.2207387600006,-2752.07743762848,-3135.9047046627306,-751.9608081356802,-3082.4085094400007,-487.5228731646,-1603.9442042325,-657.4649611467601,-799.181245767996,-902.1654360778016,-922.9596049618228,0.0,0.0,0.0,0.0,-340.05904038797587,-3560.2277174100004,-5943.780451808782,-2744.569457272499,-1318.475295467366,-2038.3606500817564,-2674.474094497919,-1778.6375863475082,-2063.991995595526,-3849.1907083944593,-2280.92930434824,-9551.4468621,-741.0652755645469,-1812.0424417804802,-5258.993736087001,-1195.606136325744,-738.8721308051722,-842.6493941943166,0.0,-873.1419572625749,-1262.3735508384002,-1840.9809325438443,-1788.7691255616,-1496.50108256298,0.0,-2390.6632042285205,0.0,0.0,-1396.6737349435314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Basket,-3684.1058786994054,0.0,-3937.416918485041,-4105.228870604433,-3377.598787123974,0.0,-4629.172014796329,-4705.464689871406,0.0,0.0,0.0,0.0,0.0,-2633.5779957736863,0.0,0.0,0.0,0.0,-6486.070905251755,0.0,0.0,-5058.244394227261,0.0,-5897.135275231494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Basket CCK+,-7911.277379999589,0.0,-8008.786956862002,-8908.811549156924,-8342.406396585975,0.0,-9651.142763438538,-11018.065182059323,0.0,0.0,0.0,0.0,0.0,-5586.5795707610505,0.0,0.0,0.0,0.0,-10764.811582513881,0.0,0.0,-12095.678105220019,0.0,-12502.931175701699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Bistratified,-1362.0617055252483,-652.3295734031999,-1572.0135945039365,-1932.4427412736516,-1628.674894961136,-428.2009709291999,-1452.3226773671297,-1938.1211922659331,-886.4325667671935,0.0,0.0,-600.8522971724657,-727.0325775072358,-1115.3461404132001,-1588.974931698739,-438.7577070042001,-531.5957651221993,-2756.534500482048,-1992.0890333808572,-2104.116245545348,-1189.7743170636718,-2197.3733461180796,-840.2772502139902,-1179.062196136104,-678.7481561783999,-800.3602600812,-738.4940233895467,-922.9641047094601,0.0,0.0,0.0,0.0,-101.74836997979133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Horizontal Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.54813712407984,0.0,0.0,0.0,0.0,-133.8797986962677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Horizontal Basket,-2745.978179093751,0.0,-2902.329525121335,-3348.933598973451,-3748.977590857872,0.0,-3478.5619646602577,-4893.405686188446,0.0,0.0,0.0,0.0,0.0,-1981.9765241485031,0.0,0.0,0.0,0.0,-2941.9887647126575,0.0,0.0,-5525.324154429722,0.0,-4464.090320450762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Ivy,-988.823342475332,-741.4329953608201,-1159.1158767621123,-1365.5618006518803,-1260.7673207337782,-469.6637354347499,-1660.8417874561694,-1533.389858211132,-227.8120530656106,0.0,0.0,-547.6707664724016,-687.9370462721065,-685.3316670086544,-1161.0757193639554,-473.47506144899995,-165.18339718783204,-2052.3086014285795,-1319.0943716717757,-1593.6225808973184,-448.904236379808,-1679.6468553724485,-273.0193758464928,-410.03974894291207,-633.4016482080001,-777.7708166619722,-266.4776559324284,-844.7123803179602,0.0,0.0,0.0,0.0,-198.30273016805094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 LMR,-118.96955400903843,0.0,-120.72038949427204,-147.6333370213984,-85.825820916864,0.0,0.0,-78.1434658984176,-204.87386449016637,-78.7826655366576,-79.92915441184078,0.0,0.0,-90.2086449378048,-134.26057765519357,0.0,-113.44000012800002,-313.88276127700794,-162.25474999552,-197.37262909977602,-155.514063224,-179.98520503807998,-112.44052054609924,-228.10518639360004,0.0,0.0,-136.1088971311808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Neurogliaform,-416.79829476322806,0.0,-338.97546169087997,-486.2117791790688,0.0,0.0,0.0,0.0,-661.6301293107439,-841.0328368815743,-967.0348573058878,0.0,0.0,0.0,-429.8353025026112,0.0,-372.38870030150065,-759.6526148639999,-498.7138342441787,-577.477069946952,0.0,-539.1641100552,0.0,-678.0620351275761,0.0,0.0,-336.9988757910745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
