1151,DG Granule,DG Semilunar Granule,DG Mossy,DG AIPRIM,DG Axo Axonic,DG Basket,DG HICAP,DG HIPP,DG HIPROM,DG MOLAX,DG MOPP,DG Neurogliaform,DG Total Molecular Layer,CA3 Pyramidal,CA3c Pyramidal,CA3 Granule,CA3 Axo Axonic,CA3 Basket,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated ORDEN,CA3 Trilaminar,CA2 Basket,CA2 Wide Arbor Basket,CA2 Bistratified,CA2 SP SR,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 Basket,CA1 Basket CCK+,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 Recurrent O LM,CA1 O LMR,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 OR LM,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Radiatum,CA1 R Receiving Apical Targeting,CA1 Schaffer Collateral Associated,CA1 SO SO,CA1 Trilaminar,CA1 Radial Trilaminar,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,EC LII III Pyramidal Tripolar,LEC LIII Multipolar Principal,EC LIII Pyramidal,LEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Bipolar Complex Pyramidal,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,LEC LVI Multipolar Pyramidal,MEC LIII Superficial Trilayered Interneuron
DG Granule,0,0,1548576.206,896639.199,708529.9461,381384.7396,418316.0675,826561.1954,1008478.407,627179.0249,0,0,601011.362,19094.65916,105286.8854,0,84424.968,93333.19129,31784.51386,30282.85445,176486.3056,57172.64004,0,520440.6142,228861.1305,234548.9368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG Semilunar Granule,10939.47786,10125.85885,177762.2689,175502.8501,128067.623,90708.45106,98020.43648,92711.44971,245668.8032,118054.7648,0,0,68942.98489,5221.038912,11545.9177,0,10268.82631,8954.535216,3374.756006,11783.98657,39516.72579,5552.233678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG Mossy,21695.05487,12630.59149,60388.29841,63309.34563,65354.97376,44703.71673,37769.10544,35791.76709,82589.59285,54425.65315,0,0,48730.41805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG AIPRIM,-5198.707572,-4221.690277,-8299.567273,-10954.13445,-7725.744949,-8921.306259,-8982.620821,-4647.590781,-21429.71714,-12163.42821,0,0,-9047.04745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG Axo Axonic,-39.86754258,0,-1589.322659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG Basket,-30832.19148,0,0,0,-16791.6531,-21608.0028,-21886.27747,-23172.68805,0,-28949.94488,0,0,-31424.09244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG HICAP,-125.9601445,-103.0100622,0,-70.6828635,-67.32888292,-74.92934952,-63.9550063,0,-198.4055371,-157.5078307,0,0,-86.26670516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG HIPP,-4519.965682,-4421.758813,0,-2244.483387,-3199.135215,-3295.452961,-2376.60981,0,0,-3142.627402,-5264.097257,-3892.431416,-2415.954003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5463.381349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG HIPROM,-7.197889979,-7.083911848,-10.87005829,-16.43796539,-12.12859923,-13.70280371,-13.40606855,-6.480757406,-24.63332235,-16.76995865,-3.530191984,-2.564272067,-12.9948577,-8.449511821,-7.819844383,-0.182094239,-4.732231259,-4.023225259,-1.405551099,-2.613670653,-13.41277192,-7.843745093,-3.543581723,0,-0.710758099,0,0,0,0,0,0,0,0,0,0,0,0,-3.580912371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG MOLAX,-3449.792253,-3165.375504,0,-1899.055877,-2035.04661,-2118.6821,-2023.699037,0,-1657.586868,-2898.418978,-1795.936044,-1340.953477,-1995.546035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1904.106606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG MOPP,-141.225297,-130.0950272,0,-76.56289324,-87.67444964,-89.7931889,-74.88297667,0,0,-119.1670812,-140.0976091,-119.8869153,-90.38432397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-184.7396436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG Neurogliaform,-48.70676802,-52.29438009,0,-16.48470015,-39.49972998,-19.15346085,-16.75227523,0,0,-42.37004596,-12.59870291,-6.54983736,-15.68517814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.1361705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG Total Molecular Layer,-4088.47068,-3909.870445,-5027.841134,-4666.196837,-3496.86551,-3556.482476,-3940.760581,-2498.027912,-6450.7415,-7452.518615,-1769.660126,-1405.900723,-4903.586445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2118.724267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,266540.7127,395693.8458,41592.49664,175688.468,229695.88,29902.14385,96208.96061,0,203028.4106,185716.6009,485909.8258,196409.1927,468952.7398,278151.1629,380827.9828,165936.0382,159502.0083,330795.0048,228141.6357,156057.7545,755237.5847,69076.63515,32725.76193,0,0,2081164.348,673425.8315,124756.4419,476142.3705,530494.5778,78833.56183,584453.5674,77702.49045,212463.5636,405597.7514,1082066.721,2030611.127,48612.11039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3c Pyramidal,160418.7567,87352.46675,33393.42822,108136.7762,143794.6172,96808.27901,82111.44265,18549.9662,164558.2794,108931.5881,0,0,72103.63782,31089.11555,37375.23771,5108.886819,19320.76491,25171.51724,4152.834731,12467.06147,0,19935.28605,40886.40713,1119782.669,541851.3914,1005433.811,636442.6318,2946974.519,2221043.972,2006266.478,52687.91822,2116029.98,2795834.075,111868.5427,1842331.582,826291.8396,0,0,274726.7905,115467.0882,1743888.309,81403.51345,2982732.151,1334059.612,2795497.155,1362763.212,2023667.388,0,154057.071,274426.1153,1107880.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 Granule,0,0,0,0,0,0,0,0,0,0,0,0,0,76.58690108,133.2249581,0,68.72718369,75.53845131,53.25509613,80.26403534,240.6769874,57.56240378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 Axo Axonic,0,0,0,0,0,0,0,0,0,0,0,0,0,-393.0578362,-1201.911623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 Basket,0,0,0,0,0,0,0,0,0,0,0,0,0,-13694.30406,-12332.37145,0,-5265.150496,-6212.436996,0,0,0,-9496.353522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 LMR Targeting,0,0,0,0,0,0,0,0,0,0,0,0,0,-6333.728912,-440.68837,-2862.115677,-2438.593873,-2658.769866,-4841.434197,-466.1186612,0,-377.582895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 Lucidum ORAX,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.745853616,-8.741902847,-0.504755192,-4.951628409,-4.693148994,-1.526711639,-3.854790117,-11.4227317,-8.659663626,-3.772921935,0,-0.800572704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
