pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,v_ij
1000,1002,DG Granule,DG Mossy,e,e,62.0
1000,1004,DG Granule,DG Total Molecular Layer,e,i,54.5
1000,1005,DG Granule,DG MOLAX,e,i,54.5
1000,1009,DG Granule,DG HICAP,e,i,60.5
1000,1010,DG Granule,DG Axo Axonic,e,i,65.1
1000,1013,DG Granule,DG HIPP,e,i,65.0
1000,1026,DG Granule,DG HIPROM,e,i,65.0
1000,1027,DG Granule,DG AIPRIM,e,i,64.0
1000,1035,DG Granule,DG Basket,e,i,62.0
1000,1041,DG Granule,DG Hilar Ectopic Granule,e,e,70.0
1000,2000,DG Granule,CA3 Pyramidal,e,e,60.5
1000,2004,DG Granule,CA3c Pyramidal,e,e,62.0
1000,2005,DG Granule,CA3 LMR Targeting,e,i,68.0
1000,2013,DG Granule,CA3 Lucidum ORAX,e,i,61.0
1000,2019,DG Granule,CA3 Spiny Lucidum,e,i,62.0
1000,2028,DG Granule,CA3 Axo Axonic,e,i,58.0
1000,2035,DG Granule,CA3 Mossy Fiber Associated ORDEN,e,i,57.0
1000,2036,DG Granule,CA3 Mossy Fiber Associated,e,i,57.0
1000,2043,DG Granule,CA3 Basket,e,i,58.0
1000,2044,DG Granule,CA3 Basket CCK+,e,i,60.0
1000,3000,DG Granule,CA2 Pyramidal,e,e,75.3
1000,3003,DG Granule,CA2 Bistratified,e,i,72.7
1000,3006,DG Granule,CA2 Basket,e,i,71.2
1000,3007,DG Granule,CA2 Wide Arbor Basket,e,i,74.9
1001,1000,DG Semilunar Granule,DG Granule,e,e,75.0
1001,1001,DG Semilunar Granule,DG Semilunar Granule,e,e,78.0
1001,1002,DG Semilunar Granule,DG Mossy,e,e,62.0
1001,1004,DG Semilunar Granule,DG Total Molecular Layer,e,i,54.5
1001,1005,DG Semilunar Granule,DG MOLAX,e,i,54.5
1001,1009,DG Semilunar Granule,DG HICAP,e,i,60.5
1001,1010,DG Semilunar Granule,DG Axo Axonic,e,i,65.1
1001,1013,DG Semilunar Granule,DG HIPP,e,i,65.0
1001,1026,DG Semilunar Granule,DG HIPROM,e,i,65.0
1001,1027,DG Semilunar Granule,DG AIPRIM,e,i,64.0
1001,1035,DG Semilunar Granule,DG Basket,e,i,62.0
1001,1041,DG Semilunar Granule,DG Hilar Ectopic Granule,e,e,70.0
1001,2000,DG Semilunar Granule,CA3 Pyramidal,e,e,60.5
1001,2004,DG Semilunar Granule,CA3c Pyramidal,e,e,62.0
1001,2005,DG Semilunar Granule,CA3 LMR Targeting,e,i,68.0
1001,2013,DG Semilunar Granule,CA3 Lucidum ORAX,e,i,61.0
1001,2019,DG Semilunar Granule,CA3 Spiny Lucidum,e,i,62.0
1001,2028,DG Semilunar Granule,CA3 Axo Axonic,e,i,58.0
1001,2035,DG Semilunar Granule,CA3 Mossy Fiber Associated ORDEN,e,i,57.0
1001,2036,DG Semilunar Granule,CA3 Mossy Fiber Associated,e,i,57.0
1001,2043,DG Semilunar Granule,CA3 Basket,e,i,58.0
1001,2044,DG Semilunar Granule,CA3 Basket CCK+,e,i,60.0
1002,1000,DG Mossy,DG Granule,e,e,75.0
1002,1001,DG Mossy,DG Semilunar Granule,e,e,78.0
1002,1002,DG Mossy,DG Mossy,e,e,62.0
1002,1004,DG Mossy,DG Total Molecular Layer,e,i,54.5
1002,1005,DG Mossy,DG MOLAX,e,i,54.5
1002,1009,DG Mossy,DG HICAP,e,i,60.5
1002,1010,DG Mossy,DG Axo Axonic,e,i,65.1
1002,1013,DG Mossy,DG HIPP,e,i,65.0
1002,1026,DG Mossy,DG HIPROM,e,i,65.0
1002,1027,DG Mossy,DG AIPRIM,e,i,64.0
1002,1035,DG Mossy,DG Basket,e,i,62.0
1002,1041,DG Mossy,DG Hilar Ectopic Granule,e,e,70.0
1004,1000,DG Total Molecular Layer,DG Granule,i,e,-20.6
1004,1001,DG Total Molecular Layer,DG Semilunar Granule,i,e,-29.0
1004,1002,DG Total Molecular Layer,DG Mossy,i,e,-31.700000000000003
1004,1004,DG Total Molecular Layer,DG Total Molecular Layer,i,i,-30.700000000000003
1004,1005,DG Total Molecular Layer,DG MOLAX,i,i,-30.700000000000003
1004,1007,DG Total Molecular Layer,DG Neurogliaform,i,i,-40.00000000000001
1004,1008,DG Total Molecular Layer,DG MOPP,i,i,-40.00000000000001
1004,1009,DG Total Molecular Layer,DG HICAP,i,i,-31.5
1004,1010,DG Total Molecular Layer,DG Axo Axonic,i,i,-17.900000000000006
1004,1013,DG Total Molecular Layer,DG HIPP,i,i,-24.0
1004,1026,DG Total Molecular Layer,DG HIPROM,i,i,-31.200000000000003
1004,1027,DG Total Molecular Layer,DG AIPRIM,i,i,-22.0
1004,1035,DG Total Molecular Layer,DG Basket,i,i,-26.299999999999997
1004,1041,DG Total Molecular Layer,DG Hilar Ectopic Granule,i,e,-30.0
1004,4011,DG Total Molecular Layer,CA1 Neurogliaform Projecting,i,i,-51.3
1005,1000,DG MOLAX,DG Granule,i,e,-20.6
1005,1001,DG MOLAX,DG Semilunar Granule,i,e,-29.0
1005,1004,DG MOLAX,DG Total Molecular Layer,i,i,-30.700000000000003
1005,1005,DG MOLAX,DG MOLAX,i,i,-30.700000000000003
1005,1007,DG MOLAX,DG Neurogliaform,i,i,-40.00000000000001
1005,1008,DG MOLAX,DG MOPP,i,i,-40.00000000000001
1005,1009,DG MOLAX,DG HICAP,i,i,-31.5
1005,1010,DG MOLAX,DG Axo Axonic,i,i,-17.900000000000006
1005,1026,DG MOLAX,DG HIPROM,i,i,-31.200000000000003
1005,1027,DG MOLAX,DG AIPRIM,i,i,-22.0
1005,1035,DG MOLAX,DG Basket,i,i,-26.299999999999997
1005,1041,DG MOLAX,DG Hilar Ectopic Granule,i,e,-30.0
1005,4011,DG MOLAX,CA1 Neurogliaform Projecting,i,i,-51.3
1007,1000,DG Neurogliaform,DG Granule,i,e,-20.6
1007,1001,DG Neurogliaform,DG Semilunar Granule,i,e,-29.0
1007,1004,DG Neurogliaform,DG Total Molecular Layer,i,i,-30.700000000000003
1007,1005,DG Neurogliaform,DG MOLAX,i,i,-30.700000000000003
1007,1007,DG Neurogliaform,DG Neurogliaform,i,i,-40.00000000000001
1007,1008,DG Neurogliaform,DG MOPP,i,i,-40.00000000000001
1007,1009,DG Neurogliaform,DG HICAP,i,i,-31.5
1007,1010,DG Neurogliaform,DG Axo Axonic,i,i,-17.900000000000006
1007,1027,DG Neurogliaform,DG AIPRIM,i,i,-22.0
1007,1035,DG Neurogliaform,DG Basket,i,i,-26.299999999999997
1007,1041,DG Neurogliaform,DG Hilar Ectopic Granule,i,e,-30.0
1007,4011,DG Neurogliaform,CA1 Neurogliaform Projecting,i,i,-51.3
1007,5005,DG Neurogliaform,SUB CA1 Projecting Pyramidal,i,e,-21.0
1008,1000,DG MOPP,DG Granule,i,e,-20.6
1008,1001,DG MOPP,DG Semilunar Granule,i,e,-29.0
1008,1004,DG MOPP,DG Total Molecular Layer,i,i,-30.700000000000003
1008,1005,DG MOPP,DG MOLAX,i,i,-30.700000000000003
1008,1007,DG MOPP,DG Neurogliaform,i,i,-40.00000000000001
1008,1008,DG MOPP,DG MOPP,i,i,-40.00000000000001
1008,1009,DG MOPP,DG HICAP,i,i,-31.5
1008,1010,DG MOPP,DG Axo Axonic,i,i,-17.900000000000006
1008,1027,DG MOPP,DG AIPRIM,i,i,-22.0
1008,1035,DG MOPP,DG Basket,i,i,-26.299999999999997
1008,1041,DG MOPP,DG Hilar Ectopic Granule,i,e,-30.0
1008,4011,DG MOPP,CA1 Neurogliaform Projecting,i,i,-51.3
1009,1000,DG HICAP,DG Granule,i,e,-20.6
1009,1001,DG HICAP,DG Semilunar Granule,i,e,-29.0
1009,1004,DG HICAP,DG Total Molecular Layer,i,i,-30.700000000000003
1009,1005,DG HICAP,DG MOLAX,i,i,-30.700000000000003
1009,1009,DG HICAP,DG HICAP,i,i,-31.5
1009,1010,DG HICAP,DG Axo Axonic,i,i,-17.900000000000006
1009,1026,DG HICAP,DG HIPROM,i,i,-31.200000000000003
1009,1027,DG HICAP,DG AIPRIM,i,i,-22.0
1009,1035,DG HICAP,DG Basket,i,i,-26.299999999999997
1009,1041,DG HICAP,DG Hilar Ectopic Granule,i,e,-30.0
1010,1000,DG Axo Axonic,DG Granule,i,e,-20.6
1010,1002,DG Axo Axonic,DG Mossy,i,e,-31.700000000000003
1010,1041,DG Axo Axonic,DG Hilar Ectopic Granule,i,e,-30.0
1013,1000,DG HIPP,DG Granule,i,e,-20.6
1013,1001,DG HIPP,DG Semilunar Granule,i,e,-29.0
1013,1004,DG HIPP,DG Total Molecular Layer,i,i,-30.700000000000003
1013,1005,DG HIPP,DG MOLAX,i,i,-30.700000000000003
1013,1007,DG HIPP,DG Neurogliaform,i,i,-40.00000000000001
1013,1008,DG HIPP,DG MOPP,i,i,-40.00000000000001
1013,1009,DG HIPP,DG HICAP,i,i,-31.5
1013,1010,DG HIPP,DG Axo Axonic,i,i,-17.900000000000006
1013,1027,DG HIPP,DG AIPRIM,i,i,-22.0
1013,1035,DG HIPP,DG Basket,i,i,-26.299999999999997
1013,1041,DG HIPP,DG Hilar Ectopic Granule,i,e,-30.0
1013,4011,DG HIPP,CA1 Neurogliaform Projecting,i,i,-51.3
1026,1000,DG HIPROM,DG Granule,i,e,-20.6
1026,1001,DG HIPROM,DG Semilunar Granule,i,e,-29.0
1026,1002,DG HIPROM,DG Mossy,i,e,-31.700000000000003
1026,1004,DG HIPROM,DG Total Molecular Layer,i,i,-30.700000000000003
1026,1005,DG HIPROM,DG MOLAX,i,i,-30.700000000000003
1026,1007,DG HIPROM,DG Neurogliaform,i,i,-40.00000000000001
1026,1008,DG HIPROM,DG MOPP,i,i,-40.00000000000001
1026,1009,DG HIPROM,DG HICAP,i,i,-31.5
