pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,w_ij
1000,1002,DG Granule,DG Mossy,e,e,1548576.2061576212
1000,1004,DG Granule,DG Total Molecular Layer,e,i,601011.3620444787
1000,1005,DG Granule,DG MOLAX,e,i,627179.024910298
1000,1009,DG Granule,DG HICAP,e,i,418316.0675269433
1000,1010,DG Granule,DG Axo Axonic,e,i,708529.9461439403
1000,1013,DG Granule,DG HIPP,e,i,895441.2950256229
1000,1026,DG Granule,DG HIPROM,e,i,1008478.4073152255
1000,1027,DG Granule,DG AIPRIM,e,i,896639.1990388761
1000,1035,DG Granule,DG Basket,e,i,381384.7396357308
1000,1041,DG Granule,DG Hilar Ectopic Granule,e,e,989157.7112523052
1000,2000,DG Granule,CA3 Pyramidal,e,e,19094.65915724406
1000,2004,DG Granule,CA3c Pyramidal,e,e,105286.88541901702
1000,2005,DG Granule,CA3 LMR Targeting,e,i,31784.513863372915
1000,2013,DG Granule,CA3 Lucidum ORAX,e,i,30282.85444549081
1000,2019,DG Granule,CA3 Spiny Lucidum,e,i,53212.60849785681
1000,2028,DG Granule,CA3 Axo Axonic,e,i,84424.96800175622
1000,2035,DG Granule,CA3 Mossy Fiber Associated ORDEN,e,i,57172.640039631064
1000,2036,DG Granule,CA3 Mossy Fiber Associated,e,i,154426.1818540976
1000,2043,DG Granule,CA3 Basket,e,i,72274.03331240187
1000,2044,DG Granule,CA3 Basket CCK+,e,i,17751.839032304833
1000,3000,DG Granule,CA2 Pyramidal,e,e,228776.9384270294
1000,3003,DG Granule,CA2 Bistratified,e,i,234548.93684897735
1000,3006,DG Granule,CA2 Basket,e,i,520440.6141559855
1000,3007,DG Granule,CA2 Wide Arbor Basket,e,i,228861.13048572556
1001,1000,DG Semilunar Granule,DG Granule,e,e,10939.477860675
1001,1001,DG Semilunar Granule,DG Semilunar Granule,e,e,10125.8588480868
1001,1002,DG Semilunar Granule,DG Mossy,e,e,177762.26892369404
1001,1004,DG Semilunar Granule,DG Total Molecular Layer,e,i,68942.98489200667
1001,1005,DG Semilunar Granule,DG MOLAX,e,i,118054.76483116006
1001,1009,DG Semilunar Granule,DG HICAP,e,i,98020.43648096238
1001,1010,DG Semilunar Granule,DG Axo Axonic,e,i,128067.62295686032
1001,1013,DG Semilunar Granule,DG HIPP,e,i,100437.40385577992
1001,1026,DG Semilunar Granule,DG HIPROM,e,i,245668.80320107125
1001,1027,DG Semilunar Granule,DG AIPRIM,e,i,175502.85009078524
1001,1035,DG Semilunar Granule,DG Basket,e,i,90708.45105852399
