Neuron,DG Granule,DG Hilar Ectopic Granule,DG Semilunar Granule,DG Mossy,DG AIPRIM,DG Axo Axonic,DG Basket,DG HICAP,DG HIPP,DG HIPROM,DG MOLAX,DG Total Molecular Layer,DG MOPP,DG Neurogliaform,CA3 Pyramidal,CA3c Pyramidal,CA3 Granule,CA3 Axo Axonic,CA3 Horizontal Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Trilaminar,CA2 Pyramidal,CA2 Basket,CA2 Wide Arbor Basket,CA2 Bistratified,CA2 SP SR,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Horizontal Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 Recurrent O LM,CA1 O LMR,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 OR LM,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radiatum,CA1 Schaffer Collateral Associated,CA1 SO SO,CA1 Trilaminar,CA1 Radial Trilaminar,SUB CA1 Projecting Pyramidal,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LII III Pyramidal Multiform,EC LII III Pyramidal Tripolar,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Bipolar Complex Pyramidal,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,EC LV Deep Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,LEC LVI Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron
DG Granule,0,989157.7113,0,1548576.206,896639.199,708529.9461,381384.7396,418316.0675,895441.295,1008478.407,627179.0249,601011.362,0,0,19094.65916,105286.8854,0,84424.968,0,72274.03331,17751.83903,31784.51386,30282.85445,53212.6085,154426.1819,57172.64004,0,0,228776.9384,520440.6142,228861.1305,234548.9368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG Hilar Ectopic Granule,0,36.28913273,0,55.65027212,32.25808269,20.7031743,13.97108333,13.0512691,33.08262276,36.74013136,21.07017792,20.13919053,0,0,1.081588498,3.215933879,0,5.947252494,0,5.892007635,0.986437486,0.693689628,4.774658693,5.232342807,1.771053864,3.103115051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG Semilunar Granule,10939.47786,180734.2434,10125.85885,177762.2689,175502.8501,128067.623,90708.45106,98020.43648,100437.4039,245668.8032,118054.7648,68942.98489,0,0,5221.038912,11545.9177,0,10268.82631,0,6934.086015,1994.552386,3374.756006,11783.98657,12892.18471,5612.7041,5552.233678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG Mossy,21695.05487,83487.76252,12630.59149,60388.29841,63309.34563,65354.97376,44703.71673,37769.10544,38774.41434,82589.59285,54425.65315,48730.41805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG AIPRIM,-5198.707572,-12455.02908,-4221.690277,-8299.567273,-10954.13445,-7725.744949,-8921.306259,-9756.984685,-3846.282026,-21429.71714,-12163.42821,-9047.04745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG Axo Axonic,-290.3527657,-279.3366989,0,-307.6364004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG Basket,-5317.503508,0,0,0,0,-2895.988575,-3726.644952,-4100.037676,-3307.448188,0,-4992.880042,-5419.586277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG HICAP,-125.9601445,-122.7818758,-103.0100622,0,-70.6828635,-67.32888292,-74.92934952,-69.46836891,0,-198.4055371,-157.5078307,-86.26670516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG HIPP,-4519.965682,-4067.710539,-4421.758813,0,-2244.483387,-3199.135215,-3295.452961,-2581.489966,0,0,-3142.627402,-2415.954003,-5264.097257,-3892.431416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5463.381349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG HIPROM,-7.197889979,-17.3306264,-7.083911848,-10.87005829,-16.43796539,-12.12859923,-13.70280371,-14.56176412,-5.363385439,-24.63332235,-16.76995865,-12.9948577,-3.530191984,-2.564272067,-8.449511821,-7.819844383,-0.182094239,-4.732231259,-2.384173536,-7.307887428,-3.499549972,-1.405551099,-2.613670653,-4.800530428,-5.001931573,-7.843745093,-3.056961247,-3.543581723,0,0,-0.710758099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.580912371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG MOLAX,-3449.792253,-3355.376855,-3165.375504,0,-1899.055877,-2035.04661,-2118.6821,-2198.15585,0,-1657.586868,-2898.418978,-1995.546035,-1795.936044,-1340.953477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1904.106606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG Total Molecular Layer,-4088.47068,-8514.869901,-3909.870445,-5027.841134,-4666.196837,-3496.86551,-3556.482476,-4280.48132,-2067.333444,-6450.7415,-7452.518615,-4903.586445,-1769.660126,-1405.900723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2118.724267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG MOPP,-141.225297,-132.6651916,-130.0950272,0,-76.56289324,-87.67444964,-89.7931889,-81.33840569,0,0,-119.1670812,-90.38432397,-140.0976091,-119.8869153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-184.7396436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG Neurogliaform,-48.70676802,-55.48440426,-52.29438009,0,-16.48470015,-39.49972998,-19.15346085,-18.19643689,0,0,-42.37004596,-15.68517814,-12.59870291,-6.547511973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.1361705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-285.5469312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266540.7127,395693.8458,41592.49664,175688.468,101282.428,177868.6387,109382.1413,29902.14385,96208.96061,0,106324.9876,203028.4106,86845.92435,185716.6009,848693.1288,485909.8258,196409.1927,468952.7398,278151.1629,380827.9828,165936.0382,159502.0083,330795.0048,843714.0349,228141.6357,755237.5847,156057.7545,139888.4109,69076.63515,32725.76193,0,0,1000047.206,2081164.348,673425.8315,124756.4419,476142.3705,530494.5778,78833.56183,584453.5674,135430.7047,212463.5636,77702.49045,127083.0953,1082066.721,2030611.127,48612.11039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3c Pyramidal,160418.7567,180998.3853,87352.46675,33393.42822,108136.7762,143794.6172,96808.27901,82111.44265,20095.79671,164558.2794,108931.5822,72103.63782,0,0,31089.11555,37375.23771,5108.886819,19320.76491,16555.03187,19491.96261,8301.174242,4152.834731,12467.06147,0,9490.240454,19935.28605,15971.37309,40886.40713,1662664.113,1119782.669,541851.3914,1005433.811,636442.6318,2946974.519,2221043.972,2006266.478,52687.91822,126018.4816,2116029.98,111868.5427,2795834.075,2179251.99,1842331.582,826291.8396,0,0,144040.2729,274726.7905,115467.0882,1743888.309,81403.51345,2982732.151,1334059.612,2795497.155,1908198.678,2023667.388,1362763.212,2069167.28,154057.071,274426.1153,1107880.821,52188.35537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 Granule,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.58690108,133.2249581,0,68.72718369,0,58.49439487,21.86879861,53.25509613,80.26403534,72.92673556,62.42631802,57.56240378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 Axo Axonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50.17163438,-36.81966276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 Horizontal Axo Axonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-363.5447053,-301.2173643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 Basket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13694.30406,-12332.37145,0,-5265.150496,0,-11284.42662,-8714.271657,0,0,0,0,-9496.353522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
