cell_type,region,ei_type,in_matrix,in_netlist,n_outgoing,outgoing_summed_strength,outgoing_summed_abs_strength,n_incoming,incoming_summed_strength,incoming_summed_abs_strength,self_connection_strength
CA1 Pyramidal,CA1,E,True,True,30,282155.3904817298,282155.3904817298,36,109704.62451134232,112113.43210664732,2793.7555172355333
CA1 Radiatum Giant,CA1,E,True,True,20,3436.103602037109,3436.103602037109,30,4835.6632015663745,4988.036077639755,0.0
CA1 Axo Axonic,CA1,I,True,True,2,-6.974160952871499,6.974160952871499,35,189182.62101016834,193836.3540401766,0.0
CA1 Back Projection,CA1,I,True,True,53,-11538.569999467925,11538.569999467925,19,210603.5185754738,212515.4088368581,-196.3416727692154
CA1 Basket,CA1,I,True,True,10,-3832.3882691894796,3832.3882691894796,35,420802.92259664234,431453.7155851254,-655.9736586196078
CA1 Basket CCK+,CA1,I,True,True,10,-8311.926643604671,8311.926643604671,35,405420.5848748398,414637.29853700544,-1112.0869456812588
CA1 Bistratified,CA1,I,True,True,27,-5055.54641605557,5055.54641605557,27,217901.89964763937,223400.3643958985,-145.31037412843256
CA1 Horizontal Axo Axonic,CA1,I,True,True,2,-3.5145234150686893,3.5145234150686893,18,146990.00923687566,148818.6172742468,0.0
CA1 Horizontal Basket,CA1,I,True,True,10,-3228.62343116136,3228.62343116136,22,156989.1870659426,167770.2562778835,-549.1605773609149
CA1 Ivy,CA1,I,True,True,27,-3610.6717177874075,3610.6717177874075,27,88514.4764717846,92016.61279096849,-67.16247578964757
CA1 LMR,CA1,I,True,True,19,-455.56615038585915,455.56615038585915,27,400845.5817839283,407254.5141799735,-85.05543358173746
CA1 Neurogliaform,CA1,I,True,True,14,-1186.1105063033826,1186.1105063033826,15,32031.319235954477,32682.35760941464,-59.55353517958427
CA1 Neurogliaform Projecting,CA1,I,True,True,25,-109.05342943633528,109.05342943633528,26,4088.516469629913,4756.095001914741,-1.5863058824702536
CA1 O LM,CA1,I,True,True,14,-634.9530034103882,634.9530034103882,18,61183.0065323937,61528.020516943834,0.0
CA1 O LMR,CA1,I,True,True,19,-1050.3691104831546,1050.3691104831546,18,59174.297072472225,59751.77144748253,0.0
CA1 OR LM,CA1,I,True,True,14,-562.9945694044486,562.9945694044486,27,460443.0196293521,465205.2740175608,0.0
CA1 Oriens Alveus,CA1,I,True,True,21,-1121.2756864672435,1121.2756864672435,31,323054.0727906713,326802.5288097686,-52.55578248142694
CA1 Oriens Bistratified,CA1,I,True,True,25,-680.1355728006129,680.1355728006129,18,11553.363644687171,11654.513897367022,-0.7661769853824949
CA1 Perforant Path Associated,CA1,I,True,True,26,-3684.485225320779,3684.485225320779,27,939581.9734736633,944687.7334300646,-272.08416505614923
CA1 Perforant Path Associated QuadD,CA1,I,True,True,12,-89.90399861014436,89.90399861014436,31,1280689.3689250718,1294472.1518093906,-16.14389456564704
CA1 Quadrilaminar,CA1,I,True,True,28,-35.92304366855627,35.92304366855627,31,169051.71814464073,171416.57233614818,-1.2191589321889449
CA1 R Receiving Apical Targeting,CA1,I,True,True,19,-971.5598493304745,971.5598493304745,18,649401.7951400792,652169.2744456214,-83.34571454602052
CA1 Radial Trilaminar,CA1,I,True,True,27,-397.81324111265815,397.81324111265815,35,152322.81746769472,163941.79056540836,-18.6196386319667
