,CA1 Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Horizontal Axo Axonic,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 O LMR,CA1 OR LM,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Pyramidal,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radial Trilaminar,CA1 Radiatum,CA1 Radiatum Giant,CA1 Recurrent O LM,CA1 SO SO,CA1 Schaffer Collateral Associated,CA1 Trilaminar,CA2 Basket,CA2 Bistratified,CA2 Pyramidal,CA2 SP SR,CA2 Wide Arbor Basket,CA3 Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 Granule,CA3 Horizontal Axo Axonic,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Pyramidal,CA3 Spiny Lucidum,CA3 Trilaminar,CA3c Pyramidal,DG AIPRIM,DG Axo Axonic,DG Basket,DG Granule,DG HICAP,DG HIPP,DG HIPROM,DG Hilar Ectopic Granule,DG MOLAX,DG MOPP,DG Mossy,DG Neurogliaform,DG Semilunar Granule,DG Total Molecular Layer,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,LEC LVI Multipolar Pyramidal,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,SUB CA1 Projecting Pyramidal
CA1 Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.503271644823836,0.0,0.0,0.0,0.0,-0.4708893080476639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Back Projection,-165.9508612332082,0.0,-370.3578392858256,-344.9751917024145,-155.6642611366457,-161.94223645711918,-228.5553693824964,-93.67401880383592,-607.4492455976291,-68.30699803626325,-19.65724259192024,-29.982951386949505,-52.18140613694211,-103.18734776746734,-387.6543581593633,-8.813632648504758,-467.9332789471777,-1291.8238424111594,-79.94784956310734,-234.753826191052,-195.02855519807,-384.5921097228289,-52.3453308916831,-2.935217893745475,-21.37418588688117,-133.10363648265974,-39.686257533062495,-557.8829332191739,0.0,0.0,0.0,0.0,-22.3112736398551,-412.59479017064496,-889.189555590594,-236.6642243006076,-97.1188902641262,-159.54248808189908,-182.15843057625327,-551.4132245194545,-224.04633112189435,-476.568301606318,-406.0966533461606,-117.48279640383,-26.589422087255947,-18.41035120848968,-90.03397276180945,-299.0210946950686,-200.00529708765205,-76.97602215965082,0.0,-187.5246981612832,-19.95812583875511,-58.764111366799504,-45.41684809800903,-111.3396805426857,0.0,-69.3292329226271,0.0,0.0,-103.91252587979872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Basket,-280.0288878399418,0.0,0.0,-512.4557199175513,-301.34936378720096,0.0,-730.8073859758965,-206.0993534163676,0.0,0.0,0.0,0.0,0.0,-315.3446292139412,0.0,0.0,0.0,0.0,-188.4203597975635,0.0,0.0,-631.1171530677354,0.0,-10.791757553673635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Basket CCK+,-601.3361936537688,0.0,-1334.2639070132095,0.0,-744.3094987034007,0.0,-1523.625908064042,-482.5912549741983,0.0,0.0,0.0,0.0,0.0,-668.9370378029282,0.0,0.0,0.0,0.0,-312.7177764720282,0.0,0.0,-1509.1777571883017,0.0,-22.88036405153411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Bistratified,-103.53031023697412,-126.40842473407209,-261.8974648443558,-241.22682739318992,0.0,-144.7619022420346,-229.2781810759488,-84.88970822124787,-368.01134441906805,0.0,0.0,-28.9490636777694,-48.75480464763523,-133.5515468530766,-246.92670438598407,-7.945902073846064,-308.31491185557314,-932.8664056531346,-57.8701864197139,-157.51414214152476,-308.5798668736339,-274.1662723951528,-90.22056835547612,-2.1576838189290704,-22.066102557359777,-133.30000131652386,-32.48635208890616,-557.8856530916332,0.0,0.0,0.0,0.0,-6.67571055437411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Horizontal Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.269523383454519,0.0,0.0,0.0,0.0,-0.2450000316141699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Horizontal Basket,-208.721801392916,0.0,-483.5280988852144,-418.0473811598559,-334.4837806563393,0.0,0.0,-214.33116905505395,0.0,0.0,0.0,0.0,0.0,-237.32186900154176,0.0,0.0,0.0,0.0,-85.4647736149027,0.0,0.0,-689.3946947481963,0.0,-8.169285286424895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Ivy,-75.16046226154998,-143.67488584101972,-193.1087050685679,-170.46307957537422,-112.48566035586768,-158.7792190384259,-262.19709298570547,0.0,-94.57845195071889,0.0,0.0,-26.386777528640312,-46.13305832300746,-82.06161380761628,-180.43116678915868,-8.57463336284139,-95.80306670099884,-694.5422768954598,-38.31969149706508,-119.29858640597324,-116.427802747467,-209.5695381448204,-29.31409038463793,-0.750372740565529,-20.59188758324208,-129.53772951505147,-11.722352084467524,-510.5863982831911,0.0,0.0,0.0,0.0,-13.010642126325823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 LMR,-9.04287580022701,0.0,-20.11201688974572,-18.42906946038116,-7.657379742202606,0.0,0.0,-3.422683806350691,0.0,-5.5786005466507245,-1.827979761398799,0.0,0.0,-10.801583144852748,-20.86409376761708,0.0,-65.79293127423746,-106.22420407136504,-4.713500487369856,-14.775315014409232,-40.33412743777664,-22.45675403260124,-12.072738691034674,-0.4174324911002881,0.0,0.0,-5.9874303848006445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Neurogliaform,-31.680838384952963,0.0,-56.4733119177006,-60.693816394923154,0.0,0.0,0.0,0.0,-274.6823644846484,0.0,-22.116087186585656,0.0,0.0,0.0,-66.79640600890579,0.0,-215.97799840086435,-257.08163792227487,-14.48763688479339,-43.22993345622883,0.0,-67.2715060115873,0.0,-1.2408535242834644,0.0,0.0,-14.824580546049368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
