,CA1 Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Horizontal Axo Axonic,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 O LMR,CA1 OR LM,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Pyramidal,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radial Trilaminar,CA1 Radiatum,CA1 Radiatum Giant,CA1 Recurrent O LM,CA1 SO SO,CA1 Schaffer Collateral Associated,CA1 Trilaminar,CA2 Basket,CA2 Bistratified,CA2 Pyramidal,CA2 SP SR,CA2 Wide Arbor Basket,CA3 Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 Granule,CA3 Horizontal Axo Axonic,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Pyramidal,CA3 Spiny Lucidum,CA3 Trilaminar,CA3c Pyramidal,DG AIPRIM,DG Axo Axonic,DG Basket,DG Granule,DG HICAP,DG HIPP,DG HIPROM,DG Hilar Ectopic Granule,DG MOLAX,DG MOPP,DG Mossy,DG Neurogliaform,DG Semilunar Granule,DG Total Molecular Layer,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,LEC LVI Multipolar Pyramidal,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,SUB CA1 Projecting Pyramidal
CA1 Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8752506697225186,0.0,0.0,0.0,0.0,-0.16757999107361346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Back Projection,-2.2225886637489713,0.0,-2.569792596213488,-2.539044958639544,-2.1949699348132805,-2.212033672906993,-2.3608874555246806,-1.9762308128127963,-2.784224356968386,-1.8407770882206278,-1.3150723497569272,-1.4911227855992508,-1.725759816061389,-2.0178149826065406,-2.5895635420117897,-0.991829797101871,-2.671111054556444,-3.1115393528148863,-1.908205315902472,-2.3724587498936764,-2.2923193390180225,-2.586128138459798,-1.7270964133253217,-0.594968784326954,-1.349747241920127,-2.127440554756442,-1.6094477437365657,-2.747320847633606,0.0,0.0,0.0,0.0,-1.3675660023772962,-2.6165750595481905,-2.949482494489324,-2.3759638121102435,-1.991752627641851,-2.205589989373693,-2.2628269135464594,-2.7422640668419267,-2.352271937130067,-2.6790354929656974,-2.609697532152749,-2.0736552957530296,-1.4407426034532915,-1.2880333935299983,-1.9592034959431406,-2.4771517913449594,-2.3032075025230996,-1.8919610764767785,0.0,-2.2753682541307567,-1.3213524436609927,-1.77644046635915,-1.6666756466731814,-2.050533184550395,0.0,-1.8471358806113731,0.0,0.0,-2.020827343252842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Basket,-2.4487509646902974,0.0,0.0,-2.7105029962786547,-2.480509059087161,0.0,-2.8643967884143056,-2.316178742987407,0.0,0.0,0.0,0.0,0.0,-2.500160465561253,0.0,0.0,0.0,0.0,-2.2774266572043165,0.0,0.0,-2.8007975754592134,0.0,-1.0715785412252765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Basket CCK+,-2.779838960185097,0.0,-3.125567109919695,0.0,-2.8723366561936006,0.0,-3.183163295490191,-2.6844784386924783,0.0,0.0,0.0,0.0,0.0,-2.8260339886416497,0.0,0.0,0.0,0.0,-2.4965391282131306,0.0,0.0,-3.179028069427225,0.0,-1.3780409432432295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Bistratified,-2.019242239346449,-2.1051981461669054,-2.4197863981664023,-2.384222240968926,0.0,-2.163644027355516,-2.362252790386196,-1.9339411273877016,-2.567039717765751,0.0,0.0,-1.4763832492316902,-1.6968350254074296,-2.128888694934362,-2.3943233074973955,-0.9516241398660303,-2.4904008575411125,-2.9702847526354077,-1.769895411061445,-2.2000680146928224,-2.490772709149111,-2.4395952006015045,-1.9600927738123748,-0.49936864164158656,-1.3629742186725764,-2.1280760169260424,-1.5248678392702857,-2.747322961175917,0.0,0.0,0.0,0.0,-0.8851185894339105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Horizontal Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6303793964562311,0.0,0.0,0.0,0.0,-0.09516936245975462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Horizontal Basket,-2.32164357940428,0.0,-2.685318967840745,-2.622263130872975,-2.525671528553525,0.0,0.0,-2.33310689823438,0.0,0.0,0.0,0.0,0.0,-2.377163896106087,0.0,0.0,0.0,0.0,-1.9368392087292285,0.0,0.0,-2.8390974454382714,0.0,-0.9623354852601367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Ivy,-1.8817295713668472,-2.160393148345868,-2.2880450123511147,-2.234170619639059,-2.054940989090789,-2.203520294103026,-2.4202810881818912,0.0,-1.9803599921326194,0.0,0.0,-1.4375409339019094,-1.6733256207423053,-1.9194003647817328,-2.2587118935393673,-0.9811221527144526,-1.9858891158850964,-2.8423235326952763,-1.594610101691942,-2.080260524100506,-2.0697709346481994,-2.323395544567997,-1.4816445411720338,-0.24313054121974756,-1.3342906104283818,-2.115736054601265,-1.10456741028041,-2.7089189892290526,0.0,0.0,0.0,0.0,-1.1464580400344797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 LMR,-1.0018580918262894,0.0,-1.3245297246504375,-1.2884520009137714,-0.9373864675722866,0.0,0.0,-0.6456858911973714,0.0,-0.8181335167890176,-0.451476297082332,0.0,0.0,-1.0719402704379173,-1.3397314812290315,0.0,-1.8247305033283612,-2.0302928311414945,-0.7569022687625766,-1.1979780403506368,-1.616308774116724,-1.370267913863764,-1.1163665802207878,-0.1515023836560879,0.0,0.0,-0.8443174940755112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Neurogliaform,-1.514293189270672,0.0,-1.7594662242111028,-1.7902416366403162,0.0,0.0,0.0,0.0,-2.4404089849959716,0.0,-1.3639143238191611,0.0,0.0,0.0,-1.831206671863066,0.0,-2.3364156985603763,-2.4117571063156102,-1.1899851578375638,-1.645716285975655,0.0,-1.834239483125708,0.0,-0.3504134693532391,0.0,0.0,-1.1993322072233297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
