,CA1 Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Horizontal Axo Axonic,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 O LMR,CA1 OR LM,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Pyramidal,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radial Trilaminar,CA1 Radiatum,CA1 Radiatum Giant,CA1 Recurrent O LM,CA1 SO SO,CA1 Schaffer Collateral Associated,CA1 Trilaminar,CA2 Basket,CA2 Bistratified,CA2 Pyramidal,CA2 SP SR,CA2 Wide Arbor Basket,CA3 Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 Granule,CA3 Horizontal Axo Axonic,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Pyramidal,CA3 Spiny Lucidum,CA3 Trilaminar,CA3c Pyramidal,DG AIPRIM,DG Axo Axonic,DG Basket,DG Granule,DG HICAP,DG HIPP,DG HIPROM,DG Hilar Ectopic Granule,DG MOLAX,DG MOPP,DG Mossy,DG Neurogliaform,DG Semilunar Granule,DG Total Molecular Layer,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,LEC LVI Multipolar Pyramidal,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,SUB CA1 Projecting Pyramidal
CA1 Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.932480865980906,0.0,0.0,0.0,0.0,-0.06751913401909411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Back Projection,-0.014631239687052763,0.0,-0.03265300509019313,-0.030415116127610498,-0.013724310307721838,-0.014277814887214002,-0.02015083480946113,-0.00825887260471866,-0.05355642895741586,-0.006022361397493117,-0.0017331023521761281,-0.0026434797927997983,-0.004600630901964053,-0.00909762568653044,-0.03417797164661688,-0.0007770635887974644,-0.04125585074369379,-0.1138950658725771,-0.007048689839448605,-0.020697328552138215,-0.017194906466394103,-0.03390798515469218,-0.004615083507750089,-0.00025878670479910937,-0.0018844785408320536,-0.01173522809176256,-0.0034989824212623352,-0.04918636066477004,0.0,0.0,0.0,0.0,-0.0019670979103229764,-0.03637687218828327,-0.07839637238632483,-0.020865760896694233,-0.008562593475174187,-0.014066238439791295,-0.01606019781381642,-0.048615951701613286,-0.01975329050593233,-0.04201716698688863,-0.0358039568283281,-0.01035799959407313,-0.002344285560242739,-0.001623168805829201,-0.00793794395320685,-0.02636352276485182,-0.017633686373325373,-0.006786675417074382,0.0,-0.016533320680898734,-0.0017596300536266987,-0.005181002328129247,-0.00400422622343983,-0.009816385046719691,0.0,-0.006112487857384388,0.0,0.0,-0.009161561810142443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Basket,-0.0881587960551858,0.0,0.0,-0.1613314956467893,-0.09487091602728043,0.0,-0.23007304636619347,-0.06488427320871436,0.0,0.0,0.0,0.0,0.0,-0.09927691056595601,0.0,0.0,0.0,0.0,-0.059318566024275876,0.0,0.0,-0.1986885310776569,0.0,-0.0033974650279478204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Basket CCK+,-0.08352077530659564,0.0,-0.1853185574948342,0.0,-0.10337862090430644,0.0,-0.21161942098564895,-0.0670280555153732,0.0,0.0,0.0,0.0,0.0,-0.09290999048157475,0.0,0.0,0.0,0.0,-0.0434339915320924,0.0,0.0,-0.20961268868577462,0.0,-0.0031778990937997268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Bistratified,-0.021084589285109236,-0.02574385908430995,-0.05333704176501624,-0.049127338346552224,0.0,-0.02948165852027337,-0.04669392247505135,-0.017288315163751455,-0.07494779095683418,0.0,0.0,-0.005895656223159417,-0.009929218113209128,-0.027198600171706028,-0.05028815361981496,-0.0016182322002441876,-0.06279024251033107,-0.1899840247368249,-0.011785622101580556,-0.032078731204886156,-0.06284420224175709,-0.05583566045585658,-0.018373977866869905,-0.000439425681475434,-0.0044938985354152985,-0.027147371364291302,-0.006616046929620948,-0.11361687062047587,0.0,0.0,0.0,0.0,-0.0013595498255831444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Horizontal Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9302892589749948,0.0,0.0,0.0,0.0,-0.0697107410250051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Horizontal Basket,-0.0778968818682719,0.0,-0.180457101019108,-0.1560190993381057,-0.12483240071118008,0.0,0.0,-0.07999034909219024,0.0,0.0,0.0,0.0,0.0,-0.08857068821272655,0.0,0.0,0.0,0.0,-0.031896233789426416,0.0,0.0,-0.25728839411615123,0.0,-0.0030488518528397957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Ivy,-0.02121074255169037,-0.04054593230297847,-0.05449645870253101,-0.048105724561133226,-0.0317441419434398,-0.04480846759381086,-0.07399362470348292,0.0,-0.02669061811093159,0.0,0.0,-0.007446510147597067,-0.013019031466388546,-0.023158289764005687,-0.05091877979339915,-0.0024198140253776173,-0.027036211890049136,-0.1960040822424639,-0.010814051517884908,-0.033666791380714746,-0.03285663865852578,-0.05914180656310897,-0.00827261575536663,-0.000211759780861326,-0.005811156731069448,-0.03655634024592544,-0.0033081195176617333,-0.14409060719574493,0.0,0.0,0.0,0.0,-0.0036716828538566706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 LMR,-0.024406516168350725,0.0,-0.05428187627937998,-0.049739639434300306,-0.020667093811083587,0.0,0.0,-0.00923774576852568,0.0,-0.01505651602946743,-0.004933675811502098,0.0,0.0,-0.02915322730209511,-0.05631171467206798,0.0,-0.17757362551275485,-0.28669671146792425,-0.012721630640070659,-0.03987823926350966,-0.10886089283916754,-0.06061026851343002,-0.032584047217768294,-0.0011266408019203738,0.0,0.0,-0.016159938466681456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Neurogliaform,-0.028121825346613144,0.0,-0.05012912206416474,-0.053875496713120474,0.0,0.0,0.0,0.0,-0.2438246547004531,0.0,-0.01963157457054633,0.0,0.0,0.0,-0.05929252378800954,0.0,-0.19171511422579474,-0.22820118690120283,-0.012860101402897742,-0.03837349957819244,0.0,-0.05971425124153333,0.0,-0.0011014565229183655,0.0,0.0,-0.013159192944553075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
