,CA1 Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Horizontal Axo Axonic,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 O LMR,CA1 OR LM,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Pyramidal,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radial Trilaminar,CA1 Radiatum,CA1 Radiatum Giant,CA1 Recurrent O LM,CA1 SO SO,CA1 Schaffer Collateral Associated,CA1 Trilaminar,CA2 Basket,CA2 Bistratified,CA2 Pyramidal,CA2 SP SR,CA2 Wide Arbor Basket,CA3 Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 Granule,CA3 Horizontal Axo Axonic,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Pyramidal,CA3 Spiny Lucidum,CA3 Trilaminar,CA3c Pyramidal,DG AIPRIM,DG Axo Axonic,DG Basket,DG Granule,DG HICAP,DG HIPP,DG HIPROM,DG Hilar Ectopic Granule,DG MOLAX,DG MOPP,DG Mossy,DG Neurogliaform,DG Semilunar Granule,DG Total Molecular Layer,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,LEC LVI Multipolar Pyramidal,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,SUB CA1 Projecting Pyramidal
CA1 Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004382888802206909,0.0,0.0,0.0,0.0,-3.173564919379855e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Back Projection,-0.011184280945645836,0.0,-0.024960317133721117,-0.02324965013502295,-0.010491014127983546,-0.01091411913167096,-0.015403520318086646,-0.006313173284093585,-0.040939124825855294,-0.004603559456781961,-0.001324802547760186,-0.0020207051014941085,-0.003516772989531329,-0.006954325388197954,-0.026126018384234423,-0.0005939959754355783,-0.031536427209063675,-0.08706264419746756,-0.005388096234447816,-0.01582126616080882,-0.013143976099607753,-0.025919637732847292,-0.003527820720753361,-0.00019781941061579133,-0.001440516175492437,-0.008970537749829319,-0.0026746607437443276,-0.03759859643714601,0.0,0.0,0.0,0.0,-0.0015036713325196492,-0.02780688220408506,-0.059927051476302305,-0.015950017702177893,-0.006545340866396037,-0.010752387762349522,-0.01227659229390643,-0.03716256953619209,-0.015099633069014944,-0.03211838573988519,-0.027368939385782068,-0.007917769100420975,-0.0017919977311134448,-0.001240768132769143,-0.006067851884213055,-0.02015256749432876,-0.013479384298597633,-0.005187809520927731,0.0,-0.01263825263031255,-0.0013450806152521663,-0.0039604153070583,-0.0030608746771132005,-0.007503752968403806,0.0,-0.004672453116486849,0.0,0.0,-0.007003198866067704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Basket,-0.018872585120829316,0.0,0.0,-0.03453702319572039,-0.020309481507609348,0.0,-0.04925286353543709,-0.01389009405672998,0.0,0.0,0.0,0.0,0.0,-0.02125269433144388,0.0,0.0,0.0,0.0,-0.012698615868550393,0.0,0.0,-0.04253422668054967,0.0,-0.0007273119734399356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Basket CCK+,-0.040527134855647295,0.0,-0.08992289814452996,0.0,-0.050162840265789654,0.0,-0.10268497605388152,-0.03252430350426626,0.0,0.0,0.0,0.0,0.0,-0.04508310297481559,0.0,0.0,0.0,0.0,-0.02107565723232869,0.0,0.0,-0.10171124095339129,0.0,-0.0015420252584974533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Bistratified,-0.006977439390645858,-0.008519313040115016,-0.01765061539304343,-0.01625751496041268,0.0,-0.009756248162073686,-0.015452234310833023,-0.005721153473293021,-0.02480217479187179,0.0,0.0,-0.0019510260982048713,-0.0032858367144172136,-0.009000724730384789,-0.01664165894839384,-0.0005355151549084023,-0.02077892557049732,-0.06287065874829971,-0.0039001691132257953,-0.010615687110822159,-0.020796782250106744,-0.018477473352661637,-0.006080427519719127,-0.00014541739550760278,-0.0014871479939482248,-0.008983771784612033,-0.0021894221335248374,-0.03759877974332168,0.0,0.0,0.0,0.0,-0.0004499104240683051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Horizontal Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022034997472852196,0.0,0.0,0.0,0.0,-1.6511810573940307e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Horizontal Basket,-0.014066834296082163,0.0,-0.03258744222753144,-0.028174360318099383,-0.02254258005546089,0.0,0.0,-0.014444878395368928,0.0,0.0,0.0,0.0,0.0,-0.015994339756567996,0.0,0.0,0.0,0.0,-0.005759910083996689,0.0,0.0,-0.04646184955717883,0.0,-0.0005505700970126897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Ivy,-0.0050654496137653784,-0.009682988543346004,-0.013014587538064155,-0.011488382516748634,-0.007580986434343187,-0.010700947140975935,-0.01767080887252991,0.0,-0.006374127679485837,0.0,0.0,-0.001778340473423901,-0.003109143762992001,-0.0055305536642422095,-0.01216018311519805,-0.0005778885859541136,-0.006456660757744861,-0.046808771558655406,-0.0025825608392075613,-0.008040144515476676,-0.007846667658940315,-0.01412396763019559,-0.001975627122941612,-5.0571473278740086e-05,-0.0013877930745324109,-0.00873021296298943,-0.0007900295188719781,-0.03441104000900419,0.0,0.0,0.0,0.0,-0.0008768540020988103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 LMR,-0.0006094458489383374,0.0,-0.001355452123640309,-0.0012420296519104717,-0.0005160701529830522,0.0,0.0,-0.00023067224233650667,0.0,-0.0003759705453386935,-0.00012319694554467102,0.0,0.0,-0.0007279741704986771,-0.0014061384474853959,0.0,-0.004434123584176921,-0.007158994733339928,-0.00031766700875448,-0.000995784372274796,-0.0027183240244088923,-0.0015134760034473235,-0.0008136438720504856,-2.813291971860031e-05,0.0,0.0,-0.0004035236880874136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Neurogliaform,-0.0021351344274916644,0.0,-0.0038060265654846835,-0.004090468040839723,0.0,0.0,0.0,0.0,-0.018512255449481447,0.0,-0.0014905167148579678,0.0,0.0,0.0,-0.004501752900897467,0.0,-0.014555866683927398,-0.017326052080253704,-0.0009763962654603334,-0.002913487266309443,0.0,-0.004533772330430888,0.0,-8.362749264963691e-05,0.0,0.0,-0.0009991046295045887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
