,CA1 Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Horizontal Axo Axonic,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 O LMR,CA1 OR LM,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Pyramidal,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radial Trilaminar,CA1 Radiatum,CA1 Radiatum Giant,CA1 Recurrent O LM,CA1 SO SO,CA1 Schaffer Collateral Associated,CA1 Trilaminar,CA2 Basket,CA2 Bistratified,CA2 Pyramidal,CA2 SP SR,CA2 Wide Arbor Basket,CA3 Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 Granule,CA3 Horizontal Axo Axonic,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Pyramidal,CA3 Spiny Lucidum,CA3 Trilaminar,CA3c Pyramidal,DG AIPRIM,DG Axo Axonic,DG Basket,DG Granule,DG HICAP,DG HIPP,DG HIPROM,DG Hilar Ectopic Granule,DG MOLAX,DG MOPP,DG Mossy,DG Neurogliaform,DG Semilunar Granule,DG Total Molecular Layer,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,LEC LVI Multipolar Pyramidal,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,SUB CA1 Projecting Pyramidal
CA1 Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.932480865980906,0.0,0.0,0.0,0.0,-0.06751913401909411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Back Projection,-0.01438227278084378,-0.017016118355937453,-0.03209737769090137,-0.029897568911773486,-0.013490775819172027,-0.014034861899229,-0.01980794581937239,-0.008118338650990155,-0.0526451064235551,-0.0059198841831711434,-0.001703611677428545,-0.0025984980277739874,-0.004522346022024248,-0.00894281941109042,-0.033596395235912166,-0.000763840982800397,-0.040553836304564196,-0.111957013951532,-0.006928748498886252,-0.020345140359843302,-0.016902315902842663,-0.03333100286608856,-0.004536552700559677,-0.0002543831596013046,-0.0018524120309420307,-0.011535540061619203,-0.00343944332225679,-0.04834939973020047,0.0,0.0,0.0,0.0,-0.0019336255394632029,-0.03575787902570862,-0.07706237043512296,-0.02051070663968939,-0.008416891371166843,-0.013826885661676966,-0.01578691558699675,-0.04778869691347208,-0.019417166176764165,-0.04130219790045853,-0.03519471246132638,-0.010181746647049628,-0.002304394919689533,-0.0015955487733175452,-0.007802870959396281,-0.025914917941205644,-0.01733362947894538,-0.006671192544934111,0.0,-0.01625198773937589,-0.0017296879803715217,-0.005092841779311411,-0.0039360898360978275,-0.009649348276937251,0.0,-0.006008477040553903,0.0,0.0,-0.00900566759005582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Basket,-0.07306902854578608,0.0,-0.17116576206364947,-0.1337170672495383,-0.07863226338779448,0.0,-0.19069241805461865,-0.05377830713899874,0.0,0.0,0.0,0.0,0.0,-0.08228410251360939,0.0,0.0,0.0,0.0,-0.0491652584662078,0.0,0.0,-0.1646798572424427,0.0,-0.0028159353373545344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Basket CCK+,-0.07234618632209013,0.0,-0.1605240233971282,-0.1337941241982587,-0.08954716885959096,0.0,-0.18330598589153144,-0.058060095530981584,0.0,0.0,0.0,0.0,0.0,-0.08047917967582391,0.0,0.0,0.0,0.0,-0.037622778674621514,0.0,0.0,-0.18156774258221914,0.0,-0.002752714867754352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Bistratified,-0.020478559925427478,-0.025003909435510285,-0.05180398779696953,-0.04771528288754186,-0.02874276332761007,-0.028634274186919738,-0.045351810112513186,-0.016791401212666618,-0.07279358433943471,0.0,0.0,-0.005726198771676195,-0.00964382494695294,-0.02641683724412839,-0.04884273312213812,-0.0015717197351034513,-0.060985477430573386,-0.18452335887778754,-0.011446870754846175,-0.031156699826014093,-0.0610378862102098,-0.054230789282133096,-0.01784585896965572,-0.00042679537311271184,-0.004364731473393563,-0.026367080894200742,-0.006425883458558493,-0.11035120779820785,0.0,0.0,0.0,0.0,-0.0013204726067143147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Horizontal Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9302892589749948,0.0,0.0,0.0,0.0,-0.0697107410250051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Horizontal Basket,-0.06464730429024892,0.0,-0.14976292813166064,-0.12948161656916463,-0.10359950232289028,0.0,-0.17009124447919208,-0.06638469106877459,0.0,0.0,0.0,0.0,0.0,-0.07350558963024538,0.0,0.0,0.0,0.0,-0.02647096368998362,0.0,0.0,-0.21352589097088223,0.0,-0.0025302688469575844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Ivy,-0.020816199349080605,-0.039791733248200865,-0.053482764472119734,-0.04721090503343592,-0.03115366589593973,-0.04397498068191163,-0.0726172616840331,-0.018601102797239134,-0.0261941431797283,0.0,0.0,-0.00730799684686093,-0.012776863123761762,-0.02272752003549717,-0.04997163433615215,-0.0023748028159413675,-0.026533308533434392,-0.1923581901599933,-0.010612898233946092,-0.03304055193338887,-0.03224546894526681,-0.05804170373961415,-0.008118735979298995,-0.00020782081540920364,-0.005703062807343957,-0.03587635200312013,-0.003246584846448154,-0.14141036299918028,0.0,0.0,0.0,0.0,-0.0036033855036532226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 LMR,-0.019849753526612553,0.0,-0.04414730302659907,-0.04045311409719963,-0.01680849144677869,0.0,0.0,-0.007513033625197392,-0.1867027071912532,-0.012245423725897363,-0.004012545181090654,0.0,0.0,-0.023710240841432,-0.045798165096211485,0.0,-0.14442014890375776,-0.2331696592940332,-0.010346467759682274,-0.03243286403499188,-0.08853626943883806,-0.049294167298383866,-0.026500517390963332,-0.0009162939141697156,0.0,0.0,-0.01314283420690796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Neurogliaform,-0.026709853944122862,0.0,-0.04761218420845511,-0.051170456776477566,0.0,0.0,0.0,0.0,-0.23158243943114554,-0.05020909507427609,-0.01864589097647603,0.0,0.0,0.0,-0.056315499823943606,0.0,-0.18208927182845616,-0.21674341181201773,-0.012214407348894821,-0.03644680088953829,0.0,-0.056716052723657984,0.0,-0.001046153387638976,0.0,0.0,-0.012498481774899269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
