,CA1 Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Horizontal Axo Axonic,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 O LMR,CA1 OR LM,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Pyramidal,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radial Trilaminar,CA1 Radiatum,CA1 Radiatum Giant,CA1 Recurrent O LM,CA1 SO SO,CA1 Schaffer Collateral Associated,CA1 Trilaminar,CA2 Basket,CA2 Bistratified,CA2 Pyramidal,CA2 SP SR,CA2 Wide Arbor Basket,CA3 Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 Granule,CA3 Horizontal Axo Axonic,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Pyramidal,CA3 Spiny Lucidum,CA3 Trilaminar,CA3c Pyramidal,DG AIPRIM,DG Axo Axonic,DG Basket,DG Granule,DG HICAP,DG HIPP,DG HIPROM,DG Hilar Ectopic Granule,DG MOLAX,DG MOPP,DG Mossy,DG Neurogliaform,DG Semilunar Granule,DG Total Molecular Layer,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,LEC LVI Multipolar Pyramidal,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,SUB CA1 Projecting Pyramidal
CA1 Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024809214370154117,0.0,0.0,0.0,0.0,-1.796387176486227e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Back Projection,-0.006330829644065848,-0.0074902032631578115,-0.014128714792072986,-0.013160396721459808,-0.005938407981749481,-0.006177905336377333,-0.008719117798152059,-0.0035735533441355522,-0.02317347233221443,-0.0026058314181173297,-0.0007499006223694102,-0.0011438142354099525,-0.0019906591046644504,-0.003936475624677812,-0.01478855658867479,-0.00033622969129788966,-0.01785110274083304,-0.0492815560924071,-0.003049916175380201,-0.008955581615329365,-0.007440109376426674,-0.014671735422243707,-0.0019969126407353003,-0.00011197510103549788,-0.0008153999842175162,-0.005077746757777983,-0.0015139839214167751,-0.02128257597035958,0.0,0.0,0.0,0.0,-0.0008511487768512676,-0.01574000465673239,-0.03392153289169069,-0.009028461050205848,-0.003704971127681456,-0.006086357765974594,-0.006949129300317767,-0.021035764213431753,-0.00854710330618548,-0.018180518671678036,-0.015492108400371117,-0.004481830131004383,-0.0010143550947411069,-0.0007023331865966041,-0.003434689880473007,-0.011407302115993752,-0.0076299662102586735,-0.002936544464724174,0.0,-0.007153846080049061,-0.0007613789633934325,-0.0022417815459560607,-0.0017325991931723382,-0.004247477505705195,0.0,-0.0026448284734727464,0.0,0.0,-0.003964140314433918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Basket,-0.0106827718226818,0.0,-0.0250246214623701,-0.019549581356893452,-0.011496122836044852,0.0,-0.02787943990683341,-0.007862447272253421,0.0,0.0,0.0,0.0,0.0,-0.012030025706941476,0.0,0.0,0.0,0.0,-0.0071880145151863,0.0,0.0,-0.02407637508976139,0.0,-0.0004116928235543077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Basket CCK+,-0.02294026660990414,0.0,-0.05090059450583935,-0.04242480545252337,-0.02839452958384737,0.0,-0.05812453152432555,-0.018410287239571266,0.0,0.0,0.0,0.0,0.0,-0.025519159090021823,0.0,0.0,0.0,0.0,-0.011929814372781974,0.0,0.0,-0.05757335160765411,0.0,-0.0008728589049074765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Bistratified,-0.0039495592384211865,-0.004822332325479906,-0.009991079418457127,-0.009202518977341489,-0.00554341940310758,-0.005522495847474656,-0.008746692211818737,-0.0032384422550717894,-0.014039198780214262,0.0,0.0,-0.0011043726386066998,-0.0018599382989651116,-0.0050948340101721395,-0.009419962562541089,-0.000303126793221382,-0.011761850280125101,-0.035587753211853874,-0.0022076793634634574,-0.0060089787604526105,-0.011771958001592878,-0.010459119957462066,-0.0034418082823123135,-8.231309305590936e-05,-0.0008417957891933856,-0.005085237844609596,-0.001239316019836673,-0.021282679730286257,0.0,0.0,0.0,0.0,-0.00025467048473730805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Horizontal Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001247284612090843,0.0,0.0,0.0,0.0,-9.34646226849275e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Horizontal Basket,-0.00796249056980897,0.0,-0.018446026729921898,-0.01594801457252881,-0.012760161762960649,0.0,-0.020949828380963476,-0.008176481330785032,0.0,0.0,0.0,0.0,0.0,-0.009053549419961796,0.0,0.0,0.0,0.0,-0.003260380321643859,0.0,0.0,-0.02629959457601324,0.0,-0.00031164859933718983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Ivy,-0.0028672829957684834,-0.005481027453734535,-0.007366869358136348,-0.006502965452393705,-0.004291195284081761,-0.0060572399521174715,-0.010002509878687081,-0.0025621692441863066,-0.0036080564020577167,0.0,0.0,-0.0010066244438161343,-0.0017599217686028526,-0.0031305537884679592,-0.0068832362238661,-0.00032711215041051863,-0.0036547740105474834,-0.026495968764197558,-0.0014618510387852822,-0.0045511003781579205,-0.004441583367207126,-0.007994830727126855,-0.0011182979769842544,-2.862583511028246e-05,-0.0007855562265269734,-0.004941711612369542,-0.0004471939074195873,-0.019478268941102668,0.0,0.0,0.0,0.0,-0.0004963406531884444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 LMR,-0.0003449750471811763,0.0,-0.000767249725499323,-0.0007030472658311383,-0.0002921200065342281,0.0,0.0,-0.00013057135071482863,-0.0032447644821284277,-0.00021281703180502134,-6.973527209330414e-05,0.0,0.0,-0.00041206765827010825,-0.0007959405714380709,0.0,-0.00250992273607785,-0.004052328111194685,-0.0001798144847879138,-0.0005636608427249007,-0.001538699394224708,-0.0008566986822641315,-0.00046056074323625536,-1.592455724191886e-05,0.0,0.0,-0.00022841340798231008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Neurogliaform,-0.0012085866220029262,0.0,-0.0021543902485973523,-0.002315397517006553,0.0,0.0,0.0,0.0,-0.010478808262029857,-0.002271897133417135,-0.0008437026438496331,0.0,0.0,0.0,-0.0025482041137706232,0.0,-0.008239305928161016,-0.009807361300862329,-0.0005526862613495018,-0.0016491709786976476,0.0,-0.002566328618569939,0.0,-4.73370985670146e-05,0.0,0.0,-0.0005655402646563105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
