region,ei_type,neuron_type_count,region_excitatory_type_count,region_inhibitory_type_count,n_in_matrix,n_in_netlist,total_n_outgoing,total_outgoing_summed_strength,total_outgoing_summed_abs_strength,mean_n_outgoing,mean_outgoing_summed_strength,mean_outgoing_summed_abs_strength,total_n_incoming,total_incoming_summed_strength,total_incoming_summed_abs_strength,mean_n_incoming,mean_incoming_summed_strength,mean_incoming_summed_abs_strength,total_self_connection_strength,mean_self_connection_strength
CA1,E,2,2,26,2,2,50,285591.49408376694,285591.49408376694,25.0,142795.74704188347,142795.74704188347,66,114540.2877129087,117101.46818428708,33.0,57270.14385645435,58550.73409214354,2793.7555172355333,1396.8777586177666
CA1,I,26,2,26,26,26,522,-55004.01604229655,55004.01604229655,20.076923076923077,-2115.539078549867,2115.539078549867,639,8535179.55986305,8645986.803302674,24.576923076923077,328276.1369178096,332537.95397317974,-3683.000235287556,-141.65385520336753
CA2,E,1,1,4,1,1,55,648346.9702172731,648346.9702172731,55.0,648346.9702172731,648346.9702172731,9,48309.225614886745,48613.25414157074,9.0,48309.225614886745,48613.25414157074,2163.138288508038,2163.138288508038
CA2,I,4,1,4,4,4,62,-13517.433449601269,13517.433449601269,15.5,-3379.358362400317,3379.358362400317,47,493660.779063398,501510.9799574636,11.75,123415.1947658495,125377.7449893659,-922.0275269853757,-230.50688174634394
CA3,E,3,3,11,3,3,111,8424336.451875012,8424336.451875012,37.0,2808112.150625004,2808112.150625004,55,41818.63150796699,46932.593018856816,18.333333333333332,13939.543835988996,15644.197672952272,3918.314835243309,1306.104945081103
CA3,I,11,3,11,11,11,162,-25196.337921385697,25196.337921385697,14.727272727272727,-2290.576174671427,2290.576174671427,164,313387.1863124469,366523.6816340031,14.909090909090908,28489.744210222445,33320.33469400028,-3542.419340539087,-322.0381218671897
DG,E,4,4,10,4,4,78,1107972.3432577457,1107972.3432577457,19.5,276993.08581443643,276993.08581443643,76,131387.50224730102,136279.96809316575,19.0,32846.875561825254,34069.99202329144,1792.7867290938664,448.1966822734666
DG,I,10,4,10,10,10,127,-25092.542209287436,25092.542209287436,12.7,-2509.2542209287435,2509.2542209287435,204,1253561.307809919,1302682.6335161182,20.4,125356.1307809919,130268.26335161182,-3678.2568728379174,-367.82568728379175
EC,E,9,9,0,9,9,199,1321035.2387369222,1321035.2387369222,22.11111111111111,146781.69319299134,146781.69319299134,168,207045.32105824325,208497.19368738736,18.666666666666668,23005.03567313814,23166.354854154153,24221.890956200154,2691.3212173555726
LEC,E,3,3,0,3,3,34,8997.348608932602,8997.348608932602,11.333333333333334,2999.1162029775337,2999.1162029775337,32,57538.413887695584,57538.413887695584,10.666666666666666,19179.47129589853,19179.47129589853,1453.261686229121,484.4205620763737
MEC,E,9,9,2,9,9,185,345358.8736106905,345358.8736106905,20.555555555555557,38373.208178965615,38373.208178965615,134,210499.47606741457,214644.1572646199,14.88888888888889,23388.830674157172,23849.350807179988,4145.366147860946,460.5962386512162
MEC,I,2,9,2,2,2,34,-10291.592494587248,10291.592494587248,17.0,-5145.796247293624,5145.796247293624,34,607979.598816987,622966.229979812,17.0,303989.7994084935,311483.114989906,-4785.365350629512,-2392.682675314756
SUB,E,1,1,0,1,1,22,9670.056637881,9670.056637881,22.0,9670.056637881,9670.056637881,13,7299.564948849745,11133.322477729545,13.0,7299.564948849745,11133.322477729545,960.2428463623708,960.2428463623708
