seed_mode,eigenvalue,timestep,loading_rank,cell_type,initial_mode_loading,signal_real,signal_imag,signal_magnitude
0,(0.9499999999999997+5.421010862427522e-20j),0,1,MEC LIII Superficial Multipolar Interneuron,(0.6703921326931581+4.626631465745246e-05j),0.6703921326931581,4.626631465745246e-05,0.6703921342896654
0,(0.9499999999999997+5.421010862427522e-20j),0,2,CA1 Trilaminar,(0.49278939781567266+3.400927341972845e-05j),0.49278939781567266,3.400927341972845e-05,0.49278939898922736
0,(0.9499999999999997+5.421010862427522e-20j),0,3,CA1 Perforant Path Associated QuadD,(0.2874237007986321+1.98362044132841e-05j),0.2874237007986321,1.98362044132841e-05,0.2874237014831181
0,(0.9499999999999997+5.421010862427522e-20j),0,4,CA1 Perforant Path Associated,(0.2274032947156595+1.5693967566698285e-05j),0.2274032947156595,1.5693967566698285e-05,0.22740329525720973
0,(0.9499999999999997+5.421010862427522e-20j),0,5,DG Axo Axonic,(0.19408939572586015+1.3394848501955073e-05j),0.19408939572586015,1.3394848501955073e-05,0.1940893961880749
0,(0.9499999999999997+5.421010862427522e-20j),1,1,MEC LIII Superficial Multipolar Interneuron,(0.6703921326931581+4.626631465745246e-05j),0.6368725260585,4.3952998924579856e-05,0.6368725275751819
0,(0.9499999999999997+5.421010862427522e-20j),1,2,CA1 Trilaminar,(0.49278939781567266+3.400927341972845e-05j),0.4681499279248889,3.230880974874204e-05,0.4681499290397659
0,(0.9499999999999997+5.421010862427522e-20j),1,3,CA1 Perforant Path Associated QuadD,(0.2874237007986321+1.98362044132841e-05j),0.27305251575870043,1.884439419261991e-05,0.2730525164089621
0,(0.9499999999999997+5.421010862427522e-20j),1,4,CA1 Perforant Path Associated,(0.2274032947156595+1.5693967566698285e-05j),0.21603312997987648,1.4909269188363378e-05,0.2160331304943492
0,(0.9499999999999997+5.421010862427522e-20j),1,5,DG Axo Axonic,(0.19408939572586015+1.3394848501955073e-05j),0.1843849259395671,1.2725106076857326e-05,0.1843849263786711
0,(0.9499999999999997+5.421010862427522e-20j),2,1,MEC LIII Superficial Multipolar Interneuron,(0.6703921326931581+4.626631465745246e-05j),0.6050288997555748,4.175534897835089e-05,0.6050289011964226
0,(0.9499999999999997+5.421010862427522e-20j),2,2,CA1 Trilaminar,(0.49278939781567266+3.400927341972845e-05j),0.44474243152864434,3.0693369261304957e-05,0.44474243258777746
0,(0.9499999999999997+5.421010862427522e-20j),2,3,CA1 Perforant Path Associated QuadD,(0.2874237007986321+1.98362044132841e-05j),0.25939988997076535,1.7902174482988922e-05,0.2593998905885139
0,(0.9499999999999997+5.421010862427522e-20j),2,4,CA1 Perforant Path Associated,(0.2274032947156595+1.5693967566698285e-05j),0.2052314734808826,1.4163805728945218e-05,0.20523147396963168
0,(0.9499999999999997+5.421010862427522e-20j),2,5,DG Axo Axonic,(0.19408939572586015+1.3394848501955073e-05j),0.1751656796425887,1.2088850773014467e-05,0.17516568005973748
0,(0.9499999999999997+5.421010862427522e-20j),3,1,MEC LIII Superficial Multipolar Interneuron,(0.6703921326931581+4.626631465745246e-05j),0.574777454767796,3.966758152943337e-05,0.5747774561366014
0,(0.9499999999999997+5.421010862427522e-20j),3,2,CA1 Trilaminar,(0.49278939781567266+3.400927341972845e-05j),0.422505309952212,2.9158700798239725e-05,0.4225053109583885
0,(0.9499999999999997+5.421010862427522e-20j),3,3,CA1 Perforant Path Associated QuadD,(0.2874237007986321+1.98362044132841e-05j),0.24642989547222702,1.7007065758839483e-05,0.2464298960590882
0,(0.9499999999999997+5.421010862427522e-20j),3,4,CA1 Perforant Path Associated,(0.2274032947156595+1.5693967566698285e-05j),0.19496989980683843,1.3455615442497965e-05,0.19496990027115005
0,(0.9499999999999997+5.421010862427522e-20j),3,5,DG Axo Axonic,(0.19408939572586015+1.3394848501955073e-05j),0.1664073956604592,1.148440823436375e-05,0.16640739605675056
0,(0.9499999999999997+5.421010862427522e-20j),4,1,MEC LIII Superficial Multipolar Interneuron,(0.6703921326931581+4.626631465745246e-05j),0.546038582029406,3.768420245296172e-05,0.5460385833297712
0,(0.9499999999999997+5.421010862427522e-20j),4,2,CA1 Trilaminar,(0.49278939781567266+3.400927341972845e-05j),0.4013800444546013,2.7700765758327756e-05,0.40138004541046896
0,(0.9499999999999997+5.421010862427522e-20j),4,3,CA1 Perforant Path Associated QuadD,(0.2874237007986321+1.98362044132841e-05j),0.23410840069861558,1.615671247089752e-05,0.2341084012561337
0,(0.9499999999999997+5.421010862427522e-20j),4,4,CA1 Perforant Path Associated,(0.2274032947156595+1.5693967566698285e-05j),0.18522140481649643,1.2782834670373073e-05,0.18522140525759248
0,(0.9499999999999997+5.421010862427522e-20j),4,5,DG Axo Axonic,(0.19408939572586015+1.3394848501955073e-05j),0.1580870258774362,1.0910187822645568e-05,0.158087026253913
0,(0.9499999999999997+5.421010862427522e-20j),5,1,MEC LIII Superficial Multipolar Interneuron,(0.6703921326931581+4.626631465745246e-05j),0.5187366529279356,3.579999233031365e-05,0.5187366541632824
0,(0.9499999999999997+5.421010862427522e-20j),5,2,CA1 Trilaminar,(0.49278939781567266+3.400927341972845e-05j),0.38131104223187107,2.631572747041138e-05,0.3813110431399453
0,(0.9499999999999997+5.421010862427522e-20j),5,3,CA1 Perforant Path Associated QuadD,(0.2874237007986321+1.98362044132841e-05j),0.22240298066368472,1.534887684735265e-05,0.2224029811933269
0,(0.9499999999999997+5.421010862427522e-20j),5,4,CA1 Perforant Path Associated,(0.2274032947156595+1.5693967566698285e-05j),0.17596033457567156,1.2143692936854425e-05,0.1759603349947128
0,(0.9499999999999997+5.421010862427522e-20j),5,5,DG Axo Axonic,(0.19408939572586015+1.3394848501955073e-05j),0.15018267458356435,1.0364678431513294e-05,0.15018267494121731
0,(0.9499999999999997+5.421010862427522e-20j),6,1,MEC LIII Superficial Multipolar Interneuron,(0.6703921326931581+4.626631465745246e-05j),0.49279982028153857,3.4009992713797984e-05,0.4927998214551181
0,(0.9499999999999997+5.421010862427522e-20j),6,2,CA1 Trilaminar,(0.49278939781567266+3.400927341972845e-05j),0.3622454901202774,2.4999941096890825e-05,0.36224549098294795
0,(0.9499999999999997+5.421010862427522e-20j),6,3,CA1 Perforant Path Associated QuadD,(0.2874237007986321+1.98362044132841e-05j),0.21128283163050043,1.4581433004985025e-05,0.21128283213366053
0,(0.9499999999999997+5.421010862427522e-20j),6,4,CA1 Perforant Path Associated,(0.2274032947156595+1.5693967566698285e-05j),0.16716231784688793,1.153650829001171e-05,0.1671623182449771
0,(0.9499999999999997+5.421010862427522e-20j),6,5,DG Axo Axonic,(0.19408939572586015+1.3394848501955073e-05j),0.14267354085438608,9.846444509937636e-06,0.14267354119415637
0,(0.9499999999999997+5.421010862427522e-20j),7,1,MEC LIII Superficial Multipolar Interneuron,(0.6703921326931581+4.626631465745246e-05j),0.46815982926746147,3.230949307810811e-05,0.46815983038236203
0,(0.9499999999999997+5.421010862427522e-20j),7,2,CA1 Trilaminar,(0.49278939781567266+3.400927341972845e-05j),0.3441332156142634,2.3749944042046293e-05,0.3441332164338004
0,(0.9499999999999997+5.421010862427522e-20j),7,3,CA1 Perforant Path Associated QuadD,(0.2874237007986321+1.98362044132841e-05j),0.20071869004897533,1.385236135473578e-05,0.2007186905269774
0,(0.9499999999999997+5.421010862427522e-20j),7,4,CA1 Perforant Path Associated,(0.2274032947156595+1.5693967566698285e-05j),0.15880420195454348,1.0959682875511129e-05,0.15880420233272818
0,(0.9499999999999997+5.421010862427522e-20j),7,5,DG Axo Axonic,(0.19408939572586015+1.3394848501955073e-05j),0.13553986381166672,9.354122284440758e-06,0.13553986413444852
0,(0.9499999999999997+5.421010862427522e-20j),8,1,MEC LIII Superficial Multipolar Interneuron,(0.6703921326931581+4.626631465745246e-05j),0.44475183780408833,3.0694018424202716e-05,0.4447518388632439
0,(0.9499999999999997+5.421010862427522e-20j),8,2,CA1 Trilaminar,(0.49278939781567266+3.400927341972845e-05j),0.32692655483355015,2.256244683994399e-05,0.3269265556121103
0,(0.9499999999999997+5.421010862427522e-20j),8,3,CA1 Perforant Path Associated QuadD,(0.2874237007986321+1.98362044132841e-05j),0.19068275554652653,1.3159743286999e-05,0.1906827560006285
0,(0.9499999999999997+5.421010862427522e-20j),8,4,CA1 Perforant Path Associated,(0.2274032947156595+1.5693967566698285e-05j),0.15086399185681626,1.041169873173558e-05,0.15086399221609173
0,(0.9499999999999997+5.421010862427522e-20j),8,5,DG Axo Axonic,(0.19408939572586015+1.3394848501955073e-05j),0.12876287062108335,8.886416170218725e-06,0.12876287092772606
0,(0.9499999999999997+5.421010862427522e-20j),9,1,MEC LIII Superficial Multipolar Interneuron,(0.6703921326931581+4.626631465745246e-05j),0.4225142459138838,2.9159317502992596e-05,0.42251424692008155
0,(0.9499999999999997+5.421010862427522e-20j),9,2,CA1 Trilaminar,(0.49278939781567266+3.400927341972845e-05j),0.3105802270918726,2.1434324497946805e-05,0.31058022783150474
0,(0.9499999999999997+5.421010862427522e-20j),9,3,CA1 Perforant Path Associated QuadD,(0.2874237007986321+1.98362044132841e-05j),0.18114861776920016,1.2501756122649057e-05,0.18114861820059705
0,(0.9499999999999997+5.421010862427522e-20j),9,4,CA1 Perforant Path Associated,(0.2274032947156595+1.5693967566698285e-05j),0.14332079226397543,9.891113795148806e-06,0.14332079260528713
0,(0.9499999999999997+5.421010862427522e-20j),9,5,DG Axo Axonic,(0.19408939572586015+1.3394848501955073e-05j),0.12232472709002916,8.442095361707793e-06,0.12232472738133972
0,(0.9499999999999997+5.421010862427522e-20j),10,1,MEC LIII Superficial Multipolar Interneuron,(0.6703921326931581+4.626631465745246e-05j),0.40138853361818955,2.7701351627842984e-05,0.4013885345740774
0,(0.9499999999999997+5.421010862427522e-20j),10,2,CA1 Trilaminar,(0.49278939781567266+3.400927341972845e-05j),0.2950512157372789,2.036260827304948e-05,0.29505121643992943
0,(0.9499999999999997+5.421010862427522e-20j),10,3,CA1 Perforant Path Associated QuadD,(0.2874237007986321+1.98362044132841e-05j),0.1720911868807401,1.1876668316516612e-05,0.17209118729056713
0,(0.9499999999999997+5.421010862427522e-20j),10,4,CA1 Perforant Path Associated,(0.2274032947156595+1.5693967566698285e-05j),0.13615475265077662,9.396558105391372e-06,0.13615475297502275
0,(0.9499999999999997+5.421010862427522e-20j),10,5,DG Axo Axonic,(0.19408939572586015+1.3394848501955073e-05j),0.11620849073552768,8.019990593622408e-06,0.11620849101227272
1,(0.37005968990180305+0j),0,1,MEC LIII Superficial Multipolar Interneuron,(-0.04230089712519237+0.6401166362400346j),-0.04230089712519237,0.6401166362400346,0.6415128010327251
1,(0.37005968990180305+0j),0,2,CA1 Perforant Path Associated QuadD,(0.02264346794584977-0.34265137430558645j),0.02264346794584977,-0.34265137430558645,0.34339873464257525
1,(0.37005968990180305+0j),0,3,DG AIPRIM,(0.019340307997449742-0.2926664383153424j),0.019340307997449742,-0.2926664383153424,0.2933047760088886
1,(0.37005968990180305+0j),0,4,CA1 Perforant Path Associated,(0.017694531257716296-0.26776178753400354j),0.017694531257716296,-0.26776178753400354,0.2683458054448311
1,(0.37005968990180305+0j),0,5,DG Axo Axonic,(0.016566173339728797-0.25068695640691574j),0.016566173339728797,-0.25068695640691574,0.2512337322329245
1,(0.37005968990180305+0j),1,1,MEC LIII Superficial Multipolar Interneuron,(-0.04230089712519237+0.6401166362400346j),-0.039202037912191914,0.5932232729684095,0.5945171581778115
1,(0.37005968990180305+0j),1,2,CA1 Perforant Path Associated QuadD,(0.02264346794584977-0.34265137430558645j),-0.0017166046085044708,0.025976450676636287,0.026033108172818252
1,(0.37005968990180305+0j),1,3,DG AIPRIM,(0.019340307997449742-0.2926664383153424j),0.0023188710899302127,-0.035090224152158234,0.0351667597907516
