variant,cell,diagonal_energy,row_abs_spread
with_self,CA1 Trilaminar,2961.5204623022582,12851.01743945895
with_self,CA1 Perforant Path Associated QuadD,1580.8863847657872,12069.22378428826
with_self,MEC LIII Superficial Multipolar Interneuron,1573.14313054094,8374.61903472258
with_self,CA1 Perforant Path Associated,1011.4116331908534,9289.697356896053
with_self,CA1 R Receiving Apical Targeting,466.33958351605446,6211.084167689311
with_self,CA1 OR LM,219.30996131124056,4334.463348089843
with_self,CA1 Basket,193.83550131012268,3892.857385071098
with_self,CA1 Basket CCK+,191.49420271775074,3875.4338554494893
with_self,CA1 LMR,188.17524138767615,3854.1728102961865
with_self,DG Axo Axonic,178.31009824836093,3030.590651414103
with_self,DG AIPRIM,143.85037688745848,2326.922556663847
with_self,CA1 Oriens Alveus,119.31467377110826,3136.304791725755
with_self,CA1 SO SO,67.68729788778755,1951.4816700507367
with_self,CA1 Bistratified,57.74937296416888,2022.3162458594313
with_self,CA1 Back Projection,53.44876971788738,1710.8371949688928
with_self,CA1 Axo Axonic,39.89657766220718,1831.1732803390692
with_self,CA2 Basket,38.566149557364525,2008.006320191113
with_self,CA1 Radiatum,34.16974357445728,1571.8748348875183
with_self,CA1 Quadrilaminar,33.375528109946465,1626.5647874723331
with_self,CA1 Radial Trilaminar,28.364637694392133,1287.2999802470176
no_self,CA1 Trilaminar,20064.230674798022,109444.37499049945
no_self,CA1 Perforant Path Associated QuadD,9604.481454948836,84385.12256134917
no_self,CA1 Perforant Path Associated,6288.23882632559,66021.12301884603
no_self,MEC LIII Superficial Multipolar Interneuron,4159.349095159143,44656.72546704825
no_self,CA1 R Receiving Apical Targeting,3029.2869461660016,46588.26890416405
no_self,DG AIPRIM,2036.1250193560086,33836.36903477875
no_self,DG Axo Axonic,1800.4773403388394,32848.94422600001
no_self,CA1 OR LM,1379.5174972318052,31686.944231804657
no_self,CA1 Basket CCK+,1053.1201042163068,26073.46171864906
no_self,CA1 Basket,1031.249998594215,25655.487950945593
no_self,CA1 LMR,1000.6693107225321,24557.07359491922
no_self,CA1 Oriens Alveus,673.5293460220126,21447.729088686545
no_self,CA1 SO SO,471.7368188343352,16761.657838111136
no_self,CA2 Basket,360.1436062793922,17179.516629841422
no_self,CA1 Back Projection,348.31066031236304,14135.354665853423
no_self,CA1 Bistratified,292.56403508292624,13349.155642879532
no_self,CA1 Axo Axonic,218.11607703947158,12011.440049145014
no_self,DG HICAP,210.80081003345927,9956.718597931595
no_self,CA1 Radiatum,189.33804863062,10976.643052179206
no_self,CA1 Horizontal Axo Axonic,180.8736582950258,10213.900696070094
