pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA2 Pyramidal,CA1 O LMR,e,i,51643.53244749384,0.06706,3463.2152859289367
CA2 Pyramidal,CA1 O LM,e,i,70443.3946383042,0.04818,3393.9627536734965
CA2 Pyramidal,CA1 Oriens Bistratified,e,i,28221.857504341024,0.01811,511.097839403616
CA2 Pyramidal,CA3 Trilaminar,e,i,34566.71573536322,0.01016,351.1978318712904
CA2 Pyramidal,CA1 Radiatum Giant,e,e,143751.09639017002,0.00183,263.0645063940111
CA1 Radiatum Giant,CA1 O LMR,e,i,846.0242332026314,0.06706,56.73438507856846
CA1 Radiatum Giant,CA1 O LM,e,i,990.0511658999995,0.04818,47.70066517306199
CA3 Trilaminar,CA1 O LMR,i,i,-497.6728460594099,0.06706,-33.37394105674402
CA3 Trilaminar,CA1 O LM,i,i,-419.9716123386839,0.04818,-20.23423228247779
CA1 Radiatum Giant,CA1 Oriens Bistratified,e,i,666.6998045368321,0.01811,12.07393346016203
CA3 Trilaminar,CA1 Oriens Bistratified,i,i,-342.3900395412,0.01811,-6.2006836160911325
CA1 Oriens Bistratified,CA1 O LMR,i,i,-59.366465733770994,0.06706,-3.9811151921066825
CA1 Oriens Bistratified,CA1 O LM,i,i,-67.33758303295198,0.04818,-3.2443247505276265
CA1 O LMR,CA1 Radiatum Giant,i,e,-550.7607959531999,0.00183,-1.007892256594356
CA1 O LM,CA1 Radiatum Giant,i,e,-361.24886881422,0.00183,-0.6610854299300226
CA3 Trilaminar,CA1 Radiatum Giant,i,e,-313.61632727039995,0.00183,-0.5739178789048319
