mode,eigenvalue_real,eigenvalue_imag,eigenvalue_magnitude,dominant_cell_type,dominant_region,dominant_ei,dominant_loading_magnitude,n_tree_edges,n_components,roots
0,0.9499999999999992,0.0,0.9499999999999992,MEC LIII Superficial Multipolar Interneuron,MEC,I,0.670392134289665,5,2,MEC LIII Superficial Multipolar Interneuron; CA1 Trilaminar
1,0.37005968990180027,-1.1102230246251565e-16,0.37005968990180027,MEC LIII Superficial Multipolar Interneuron,MEC,I,0.6415128010327205,4,3,MEC LIII Superficial Multipolar Interneuron; CA1 Perforant Path Associated QuadD; CA1 R Receiving Apical Targeting
2,0.028285916622448098,-0.3099216246023409,0.3112097467550244,DG AIPRIM,DG,I,0.5207316545758364,4,3,DG AIPRIM; CA1 Trilaminar; MEC LIII Superficial Multipolar Interneuron
3,0.028285916622447234,0.3099216246023407,0.31120974675502405,CA1 Trilaminar,CA1,I,0.5842996933265726,6,1,CA1 Trilaminar
4,-0.31028634658103277,-2.395079655221962e-16,0.31028634658103277,DG HICAP,DG,I,0.34536738697611313,5,2,DG HICAP; CA1 Perforant Path Associated QuadD
5,-0.18176645895590482,2.043758882357623e-16,0.18176645895590482,CA1 Perforant Path Associated,CA1,I,0.37041510016760093,4,3,CA1 Perforant Path Associated; MEC LV VI Pyramidal Polymorphic; LEC LVI Multipolar Pyramidal
6,0.1593224468342064,1.6523856797471768e-17,0.1593224468342064,DG Axo Axonic,DG,I,0.44409050442590814,1,6,DG Axo Axonic; DG HICAP; MEC LV VI Pyramidal Polymorphic; CA1 R Receiving Apical Targeting; CA2 Basket; LEC LVI Multipolar Pyramidal
7,-0.04263048720538559,0.10592150613141801,0.11417847389292156,CA1 R Receiving Apical Targeting,CA1,I,0.443260774455535,6,1,CA1 R Receiving Apical Targeting
8,-0.06096474812142096,0.08636199672526104,0.10571232185456102,CA1 R Receiving Apical Targeting,CA1,I,0.4287152120896085,6,1,CA1 R Receiving Apical Targeting
9,-0.0426304872053855,-0.10592150613141822,0.11417847389292171,CA3 Basket,CA3,I,0.35143803279837404,4,3,CA3 Basket; CA3 Granule; SUB CA1 Projecting Pyramidal
10,-0.060964748121421095,-0.08636199672526117,0.1057123218545612,CA1 Neurogliaform,CA1,I,0.3518350267015342,5,2,CA1 Neurogliaform; CA3 Basket
11,0.09253098931466543,-3.478800218211284e-18,0.09253098931466543,CA1 Perforant Path Associated QuadD,CA1,I,0.3055966480429951,4,3,CA1 Perforant Path Associated QuadD; DG AIPRIM; CA3 Granule
12,-0.10153476660806988,-8.708959173227436e-18,0.10153476660806988,EC LII III Pyramidal Tripolar,EC,E,0.3774466170234552,6,1,EC LII III Pyramidal Tripolar
13,0.0068183841380089864,0.0642835935660075,0.06464418584848211,CA1 Perforant Path Associated QuadD,CA1,I,0.41036407291098903,2,5,CA1 Perforant Path Associated QuadD; SUB CA1 Projecting Pyramidal; CA3 Mossy Fiber Associated ORDEN; MEC LV VI Pyramidal Polymorphic; CA3 Granule
14,0.006818384138008895,-0.06428359356600744,0.06464418584848203,SUB CA1 Projecting Pyramidal,SUB,E,0.43079988212591874,3,4,SUB CA1 Projecting Pyramidal; CA3 Mossy Fiber Associated ORDEN; MEC LV VI Pyramidal Polymorphic; CA3 Granule
15,0.04867709863781556,0.013037140705466042,0.05039272734799879,CA1 LMR,CA1,I,0.3697185043333407,1,6,CA1 LMR; CA1 Horizontal Basket; SUB CA1 Projecting Pyramidal; CA2 Bistratified; CA3 Lucidum ORAX; DG HICAP
16,0.04867709863781557,-0.013037140705466051,0.0503927273479988,CA2 Bistratified,CA2,I,0.33417815663359385,2,5,CA2 Bistratified; MEC LV VI Pyramidal Polymorphic; SUB CA1 Projecting Pyramidal; DG HICAP; CA3 Mossy Fiber Associated ORDEN
17,0.045909068872212216,-2.7657568721611365e-18,0.045909068872212216,MEC LV VI Pyramidal Polymorphic,MEC,E,0.6381222387037429,3,4,MEC LV VI Pyramidal Polymorphic; LEC LVI Multipolar Pyramidal; DG Granule; MEC LIII Complex Pyramidal
18,-0.04521910487323839,-4.6412792773123034e-18,0.04521910487323839,DG Total Molecular Layer,DG,I,0.34880015749845833,3,4,DG Total Molecular Layer; CA3 Lucidum ORAX; CA2 Basket; MEC LII Stellate
19,-0.011791845007181594,0.016600180837202595,0.020362063070848733,CA2 Bistratified,CA2,I,0.3920150898638058,5,2,CA2 Bistratified; CA3 Lucidum ORAX
20,-0.011791845007181546,-0.016600180837202577,0.02036206307084869,CA2 Bistratified,CA2,I,0.4209826317377644,5,2,CA2 Bistratified; CA3 Mossy Fiber Associated ORDEN
