mode,dominant_region,dominant_cell_type,dominant_loading,eigenvalue_real,eigenvalue_imag,eigenvalue_magnitude,n_high_loading_cells,n_high_loading_inhibitory,high_loading_inhibitory_cells
3,CA1,CA1 Trilaminar (I),0.5842996933265726,0.028285916622447234,0.3099216246023407,0.31120974675502405,31,24,"CA1 Trilaminar (I), CA1 Perforant Path Associated QuadD (I), CA1 Perforant Path Associated (I), DG AIPRIM (I), DG Axo Axonic (I), DG HICAP (I), CA1 LMR (I), MEC LIII Superficial Multipolar Interneuron (I), CA1 R Receiving Apical Targeting (I), CA1 Basket CCK+ (I), CA1 Basket (I), CA1 Radial Trilaminar (I), CA1 SO SO (I), CA1 Oriens Alveus (I), DG MOLAX (I), DG Basket (I), CA1 Back Projection (E), CA1 Axo Axonic (I), CA1 Horizontal Axo Axonic (I), CA1 OR LM (I), DG HIPROM (I), DG Total Molecular Layer (E), CA1 Bistratified (I), CA1 Quadrilaminar (I)"
5,CA1,CA1 Perforant Path Associated (I),0.37041510016760093,-0.18176645895590482,2.043758882357623e-16,0.18176645895590482,31,20,"CA1 Perforant Path Associated (I), CA1 Radial Trilaminar (I), DG HICAP (I), CA1 Neurogliaform (I), DG Axo Axonic (I), CA1 Trilaminar (I), CA1 Basket (I), CA1 Horizontal Basket (I), CA3 Basket (I), CA1 Oriens Alveus (I), CA2 Basket (I), CA1 R Receiving Apical Targeting (I), CA3 Lucidum ORAX (I), CA3 Axo Axonic (I), DG MOLAX (I), CA1 Bistratified (I), CA3 O LM (I), CA1 Ivy (I), DG Basket (I), DG AIPRIM (I)"
7,CA1,CA1 R Receiving Apical Targeting (I),0.443260774455535,-0.04263048720538559,0.10592150613141801,0.11417847389292156,34,26,"CA1 R Receiving Apical Targeting (I), CA1 Perforant Path Associated (I), CA1 LMR (I), CA1 Radial Trilaminar (I), CA1 Neurogliaform (I), CA1 Horizontal Basket (I), CA1 Basket CCK+ (I), DG HICAP (I), CA1 Trilaminar (I), CA1 OR LM (I), CA1 Basket (I), CA1 Oriens Alveus (I), MEC LIII Superficial Multipolar Interneuron (I), DG Axo Axonic (I), CA1 Bistratified (I), CA1 Perforant Path Associated QuadD (I), CA2 Basket (I), CA1 Ivy (I), CA1 Quadrilaminar (I), CA1 Axo Axonic (I), CA3 Basket (I), CA1 Horizontal Axo Axonic (I), CA1 Back Projection (E), DG MOLAX (I), CA3 LMR Targeting (I), CA3 Axo Axonic (I)"
10,CA1,CA1 Neurogliaform (I),0.3518350267015342,-0.060964748121421095,-0.08636199672526117,0.1057123218545612,42,30,"CA1 Neurogliaform (I), CA1 Oriens Alveus (I), CA3 Basket (I), CA1 Horizontal Basket (I), CA1 Radial Trilaminar (I), CA1 Perforant Path Associated (I), CA3 Mossy Fiber Associated ORDEN (I), DG Axo Axonic (I), DG AIPRIM (I), CA2 Basket (I), CA1 Bistratified (I), CA3 Axo Axonic (I), CA1 Quadrilaminar (I), CA1 LMR (I), CA1 R Receiving Apical Targeting (I), CA1 OR LM (I), CA1 Radiatum (I), CA3 Lucidum ORAX (I), DG HICAP (I), CA3 LMR Targeting (I), MEC LIII Superficial Multipolar Interneuron (I), CA1 Axo Axonic (I), CA1 Horizontal Axo Axonic (I), CA3 O LM (I), CA1 Perforant Path Associated QuadD (I), CA3 Basket CCK+ (I), DG Basket (I), DG MOLAX (I), CA1 Basket (I), CA1 SO SO (I)"
8,CA1,CA1 R Receiving Apical Targeting (I),0.4287152120896085,-0.06096474812142096,0.08636199672526104,0.10571232185456102,38,30,"CA1 R Receiving Apical Targeting (I), DG Axo Axonic (I), CA1 Neurogliaform (I), CA1 Perforant Path Associated (I), DG HICAP (I), DG AIPRIM (I), CA1 Perforant Path Associated QuadD (I), CA1 Radial Trilaminar (I), CA1 OR LM (I), CA1 Basket CCK+ (I), CA3 Basket (I), CA1 Horizontal Basket (I), CA1 Bistratified (I), CA1 Trilaminar (I), CA1 Basket (I), CA1 Oriens Alveus (I), MEC LIII Superficial Multipolar Interneuron (I), DG MOLAX (I), CA1 LMR (I), CA3 Axo Axonic (I), CA1 Back Projection (E), CA1 Axo Axonic (I), DG Total Molecular Layer (E), CA1 Quadrilaminar (I), CA1 Radiatum (I), CA1 Ivy (I), CA1 Horizontal Axo Axonic (I), DG HIPROM (I), CA2 Bistratified (I), CA3 LMR Targeting (I)"
11,CA1,CA1 Perforant Path Associated QuadD (I),0.3055966480429951,0.09253098931466543,-3.478800218211284e-18,0.09253098931466543,43,30,"CA1 Perforant Path Associated QuadD (I), DG AIPRIM (I), CA1 LMR (I), CA3 Mossy Fiber Associated ORDEN (I), DG HICAP (I), DG Axo Axonic (I), CA2 Basket (I), CA1 Back Projection (E), CA3 LMR Targeting (I), CA1 Oriens Alveus (I), CA1 Radial Trilaminar (I), CA1 Basket (I), CA1 Horizontal Basket (I), CA1 Perforant Path Associated (I), DG Basket (I), CA1 Neurogliaform (I), CA1 R Receiving Apical Targeting (I), CA2 Bistratified (I), DG MOLAX (I), CA1 Quadrilaminar (I), CA1 Basket CCK+ (I), CA3 Axo Axonic (I), CA1 Horizontal Axo Axonic (I), CA1 OR LM (I), CA1 Trilaminar (I), DG Total Molecular Layer (E), DG HIPROM (I), CA1 Bistratified (I), CA1 Axo Axonic (I), CA1 SO SO (I)"
13,CA1,CA1 Perforant Path Associated QuadD (I),0.41036407291098903,0.0068183841380089864,0.0642835935660075,0.06464418584848211,51,32,"CA1 Perforant Path Associated QuadD (I), CA3 Mossy Fiber Associated ORDEN (I), CA1 Oriens Alveus (I), CA3 Basket (I), CA1 Basket CCK+ (I), CA1 Perforant Path Associated (I), DG HICAP (I), CA1 Neurogliaform (I), CA1 Back Projection (E), DG Axo Axonic (I), CA1 Basket (I), CA1 OR LM (I), CA1 LMR (I), CA3 LMR Targeting (I), CA1 Axo Axonic (I), CA2 Wide Arbor Basket (I), CA1 Bistratified (I), CA1 Horizontal Basket (I), CA3 Axo Axonic (I), CA3 Lucidum ORAX (I), DG AIPRIM (I), CA1 Radial Trilaminar (I), CA2 Bistratified (I), DG HIPROM (I), CA3 Basket CCK+ (I), CA2 Basket (I), CA1 Horizontal Axo Axonic (I), CA3 O LM (I), CA1 R Receiving Apical Targeting (I), CA1 SO SO (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 Ivy (I)"
15,CA1,CA1 LMR (I),0.3697185043333407,0.04867709863781556,0.013037140705466042,0.05039272734799879,45,31,"CA1 LMR (I), CA1 Horizontal Basket (I), CA1 OR LM (I), CA2 Bistratified (I), CA3 Lucidum ORAX (I), DG HICAP (I), CA1 Oriens Alveus (I), CA1 R Receiving Apical Targeting (I), CA3 Mossy Fiber Associated ORDEN (I), CA2 Basket (I), CA3 O LM (I), CA2 Wide Arbor Basket (I), DG HIPROM (I), CA1 Neurogliaform (I), CA1 Perforant Path Associated (I), CA1 Horizontal Axo Axonic (I), DG Basket (I), CA1 Back Projection (E), CA3 Basket (I), CA1 Axo Axonic (I), CA1 Bistratified (I), DG Total Molecular Layer (E), CA1 Basket CCK+ (I), CA1 SO SO (I), CA3 Mossy Fiber Associated (I), CA1 Quadrilaminar (I), DG AIPRIM (I), CA3 Basket CCK+ (I), CA3 Horizontal Axo Axonic (I), CA1 Basket (I), CA1 Radiatum (I)"
23,CA1,CA1 LMR (I),0.32838124382370987,-0.003721543303265257,0.013161049671450013,0.013677101776781986,53,32,"CA1 LMR (I), CA1 Oriens Alveus (I), DG Total Molecular Layer (E), CA3 LMR Targeting (I), CA3 Mossy Fiber Associated (I), CA3 Basket CCK+ (I), CA1 Radial Trilaminar (I), CA1 Neurogliaform Projecting (I), CA1 Horizontal Axo Axonic (I), CA1 OR LM (I), CA1 Horizontal Basket (I), CA1 R Receiving Apical Targeting (I), CA1 Basket (I), CA1 Radiatum (I), DG AIPRIM (I), CA3 Mossy Fiber Associated ORDEN (I), DG HICAP (I), DG Axo Axonic (I), CA1 Bistratified (I), DG HIPROM (I), CA1 Neurogliaform (I), CA1 Basket CCK+ (I), CA1 Perforant Path Associated (I), DG MOLAX (I), CA1 Axo Axonic (I), CA2 Wide Arbor Basket (I), DG Basket (I), CA3 Axo Axonic (I), CA1 Quadrilaminar (I), DG HIPP (I), DG MOPP (I), MEC LIII Superficial Trilayered Interneuron (I)"
27,CA1,CA1 Radial Trilaminar (I),0.5124604506881291,-0.008309595060104062,-3.1689758977820917e-18,0.008309595060104062,40,26,"CA1 Radial Trilaminar (I), CA1 Horizontal Basket (I), CA1 Bistratified (I), CA3 Lucidum ORAX (I), CA1 Horizontal Axo Axonic (I), CA1 Basket (I), CA1 Neurogliaform (I), DG Total Molecular Layer (E), CA1 Ivy (I), DG HIPROM (I), CA1 Oriens Alveus (I), CA3 O LM (I), CA1 SO SO (I), CA1 R Receiving Apical Targeting (I), CA2 Bistratified (I), DG AIPRIM (I), CA3 Axo Axonic (I), CA1 Trilaminar (I), CA1 LMR (I), CA1 Quadrilaminar (I), CA1 Perforant Path Associated (I), CA1 Recurrent O LM (I), CA1 O LMR (I), DG MOLAX (I), CA2 Basket (I), CA3 LMR Targeting (I)"
38,CA1,CA1 Pyramidal (E),0.35770901911126834,0.0005340480940415902,-0.0025601155270182983,0.0026152244413108474,47,31,"CA1 Back Projection (E), CA1 OR LM (I), CA3 Basket CCK+ (I), CA1 Axo Axonic (I), CA1 Radiatum (I), CA2 Wide Arbor Basket (I), CA3 O LM (I), CA1 Perforant Path Associated (I), CA1 Basket CCK+ (I), CA1 Basket (I), CA1 Horizontal Axo Axonic (I), DG MOLAX (I), CA3 Basket (I), DG HIPROM (I), CA1 Perforant Path Associated QuadD (I), CA1 Ivy (I), CA1 Neurogliaform Projecting (I), CA3 Axo Axonic (I), CA3 LMR Targeting (I), CA1 Radial Trilaminar (I), CA1 R Receiving Apical Targeting (I), CA1 Neurogliaform (I), CA1 Schaffer Collateral Associated (I), MEC LIII Superficial Trilayered Interneuron (I), CA2 Bistratified (I), DG Basket (I), CA1 LMR (I), CA1 O LMR (I), CA3 Horizontal Axo Axonic (I), DG Total Molecular Layer (E), CA3 Lucidum ORAX (I)"
37,CA1,CA1 Back Projection (E),0.532853503145889,0.00053404809404159,0.0025601155270182953,0.0026152244413108444,50,32,"CA1 Back Projection (E), CA1 OR LM (I), CA3 Basket CCK+ (I), CA3 O LM (I), CA2 Wide Arbor Basket (I), CA1 Horizontal Axo Axonic (I), CA1 Perforant Path Associated QuadD (I), CA1 Axo Axonic (I), CA1 Perforant Path Associated (I), DG HIPROM (I), CA1 Basket (I), CA1 Ivy (I), CA3 LMR Targeting (I), CA3 Axo Axonic (I), CA1 Schaffer Collateral Associated (I), CA1 Radiatum (I), CA1 R Receiving Apical Targeting (I), CA1 Neurogliaform (I), CA1 Basket CCK+ (I), CA3 Horizontal Axo Axonic (I), CA1 Neurogliaform Projecting (I), CA1 O LMR (I), DG Total Molecular Layer (E), CA3 Lucidum ORAX (I), CA2 Bistratified (I), DG MOPP (I), DG MOLAX (I), CA3 Basket (I), CA1 Radial Trilaminar (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 SO SO (I), CA1 Oriens Alveus (I)"
39,CA1,CA1 Schaffer Collateral Associated (I),0.32164620676424,0.0024934509924521126,-2.6947472751242437e-19,0.0024934509924521126,39,23,"CA1 Schaffer Collateral Associated (I), CA1 Neurogliaform (I), CA1 Axo Axonic (I), CA1 O LMR (I), CA2 Wide Arbor Basket (I), CA1 OR LM (I), CA1 Radiatum (I), CA1 Recurrent O LM (I), CA1 Basket CCK+ (I), CA1 Perforant Path Associated (I), CA1 Horizontal Axo Axonic (I), CA3 Basket CCK+ (I), CA1 Bistratified (I), CA1 Neurogliaform Projecting (I), CA3 Basket (I), CA3 LMR Targeting (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 SO SO (I), CA1 O LM (I), CA3 Mossy Fiber Associated ORDEN (I), CA1 Basket (I), CA2 Basket (I), DG Basket (I)"
42,CA1,CA1 Pyramidal (E),0.398932717026918,-0.00019280450224685202,-0.001580248273538381,0.0015919667653904368,50,30,"CA1 Schaffer Collateral Associated (I), CA1 Axo Axonic (I), CA2 Wide Arbor Basket (I), CA1 SO SO (I), CA1 Horizontal Axo Axonic (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 Back Projection (E), CA1 Radial Trilaminar (I), CA3 Mossy Fiber Associated (I), CA1 Radiatum (I), DG MOLAX (I), DG Basket (I), DG HIPROM (I), CA1 Ivy (I), CA1 Basket CCK+ (I), CA1 O LMR (I), CA1 Oriens Alveus (I), CA3 Basket CCK+ (I), CA2 Bistratified (I), CA1 Neurogliaform (I), CA1 Bistratified (I), DG Total Molecular Layer (E), CA1 Quadrilaminar (I), CA2 SP SR (I), CA1 Perforant Path Associated (I), CA1 LMR (I), CA3 Lucidum ORAX (I), CA2 Basket (I), DG HIPP (I), CA3 Basket (I)"
