variant,seed_mode,eigenvalue,timestep,loading_rank,cell_type,initial_mode_loading,signal_real,signal_imag,signal_magnitude
with_self,0,(0.9499999999999992+0j),0,1,MEC LIII Superficial Multipolar Interneuron (I),(0.6703921326931578+4.6266314297536504e-05j),0.6703921326931578,4.6266314297536504e-05,0.670392134289665
with_self,0,(0.9499999999999992+0j),0,2,CA1 Trilaminar (I),(0.4927893978156722+3.4009273155162734e-05j),0.4927893978156722,3.4009273155162734e-05,0.4927893989892269
with_self,0,(0.9499999999999992+0j),0,3,CA1 Perforant Path Associated QuadD (I),(0.2874237007986318+1.983620425897386e-05j),0.2874237007986318,1.983620425897386e-05,0.28742370148311774
with_self,0,(0.9499999999999992+0j),0,4,CA1 Perforant Path Associated (I),(0.22740329471565918+1.56939674446114e-05j),0.22740329471565918,1.56939674446114e-05,0.2274032952572094
with_self,0,(0.9499999999999992+0j),0,5,DG Axo Axonic (I),(0.19408939572586037+1.3394848397753649e-05j),0.19408939572586037,1.3394848397753649e-05,0.1940893961880751
with_self,0,(0.9499999999999992+0j),1,1,MEC LIII Superficial Multipolar Interneuron (I),(0.6703921326931578+4.6266314297536504e-05j),0.6368725260584993,4.395299858265964e-05,0.6368725275751812
with_self,0,(0.9499999999999992+0j),1,2,CA1 Trilaminar (I),(0.4927893978156722+3.4009273155162734e-05j),0.4681499279248882,3.230880949740457e-05,0.46814992903976516
with_self,0,(0.9499999999999992+0j),1,3,CA1 Perforant Path Associated QuadD (I),(0.2874237007986318+1.983620425897386e-05j),0.27305251575869993,1.8844394046025154e-05,0.2730525164089616
with_self,0,(0.9499999999999992+0j),1,4,CA1 Perforant Path Associated (I),(0.22740329471565918+1.56939674446114e-05j),0.21603312997987603,1.4909269072380819e-05,0.21603313049434875
with_self,0,(0.9499999999999992+0j),1,5,DG Axo Axonic (I),(0.19408939572586037+1.3394848397753649e-05j),0.18438492593956718,1.2725105977865956e-05,0.18438492637867118
with_self,0,(0.9499999999999992+0j),2,1,MEC LIII Superficial Multipolar Interneuron (I),(0.6703921326931578+4.6266314297536504e-05j),0.6050288997555738,4.175534865352662e-05,0.6050289011964216
with_self,0,(0.9499999999999992+0j),2,2,CA1 Trilaminar (I),(0.4927893978156722+3.4009273155162734e-05j),0.4447424315286434,3.069336902253431e-05,0.4447424325877765
with_self,0,(0.9499999999999992+0j),2,3,CA1 Perforant Path Associated QuadD (I),(0.2874237007986318+1.983620425897386e-05j),0.25939988997076474,1.7902174343723878e-05,0.2593998905885133
with_self,0,(0.9499999999999992+0j),2,4,CA1 Perforant Path Associated (I),(0.22740329471565918+1.56939674446114e-05j),0.20523147348088205,1.4163805618761764e-05,0.20523147396963112
with_self,0,(0.9499999999999992+0j),2,5,DG Axo Axonic (I),(0.19408939572586037+1.3394848397753649e-05j),0.17516567964258867,1.2088850678972646e-05,0.17516568005973746
with_self,0,(0.9499999999999992+0j),3,1,MEC LIII Superficial Multipolar Interneuron (I),(0.6703921326931578+4.6266314297536504e-05j),0.5747774547677946,3.9667581220850255e-05,0.5747774561366
with_self,0,(0.9499999999999992+0j),3,2,CA1 Trilaminar (I),(0.4927893978156722+3.4009273155162734e-05j),0.42250530995221086,2.915870057140757e-05,0.42250531095838734
with_self,0,(0.9499999999999992+0j),3,3,CA1 Perforant Path Associated QuadD (I),(0.2874237007986318+1.983620425897386e-05j),0.24642989547222627,1.700706562653767e-05,0.24642989605908744
with_self,0,(0.9499999999999992+0j),3,4,CA1 Perforant Path Associated (I),(0.22740329471565918+1.56939674446114e-05j),0.1949698998068378,1.3455615337823665e-05,0.1949699002711494
with_self,0,(0.9499999999999992+0j),3,5,DG Axo Axonic (I),(0.19408939572586037+1.3394848397753649e-05j),0.1664073956604591,1.1484408145024004e-05,0.16640739605675045
with_self,0,(0.9499999999999992+0j),4,1,MEC LIII Superficial Multipolar Interneuron (I),(0.6703921326931578+4.6266314297536504e-05j),0.5460385820294045,3.7684202159807714e-05,0.5460385833297696
with_self,0,(0.9499999999999992+0j),4,2,CA1 Trilaminar (I),(0.4927893978156722+3.4009273155162734e-05j),0.4013800444546,2.770076554283717e-05,0.4013800454104677
with_self,0,(0.9499999999999992+0j),4,3,CA1 Perforant Path Associated QuadD (I),(0.2874237007986318+1.983620425897386e-05j),0.23410840069861477,1.6156712345210775e-05,0.2341084012561329
with_self,0,(0.9499999999999992+0j),4,4,CA1 Perforant Path Associated (I),(0.22740329471565918+1.56939674446114e-05j),0.18522140481649574,1.2782834570932472e-05,0.1852214052575918
with_self,0,(0.9499999999999992+0j),4,5,DG Axo Axonic (I),(0.19408939572586037+1.3394848397753649e-05j),0.158087025877436,1.0910187737772796e-05,0.1580870262539128
with_self,0,(0.9499999999999992+0j),5,1,MEC LIII Superficial Multipolar Interneuron (I),(0.6703921326931578+4.6266314297536504e-05j),0.5187366529279338,3.5799992051817296e-05,0.5187366541632806
with_self,0,(0.9499999999999992+0j),5,2,CA1 Trilaminar (I),(0.4927893978156722+3.4009273155162734e-05j),0.3813110422318696,2.631572726569529e-05,0.38131104313994385
with_self,0,(0.9499999999999992+0j),5,3,CA1 Perforant Path Associated QuadD (I),(0.2874237007986318+1.983620425897386e-05j),0.22240298066368383,1.534887672795022e-05,0.22240298119332602
with_self,0,(0.9499999999999992+0j),5,4,CA1 Perforant Path Associated (I),(0.22740329471565918+1.56939674446114e-05j),0.17596033457567078,1.2143692842385837e-05,0.17596033499471203
with_self,0,(0.9499999999999992+0j),5,5,DG Axo Axonic (I),(0.19408939572586037+1.3394848397753649e-05j),0.15018267458356407,1.0364678350884146e-05,0.15018267494121704
with_self,0,(0.9499999999999992+0j),6,1,MEC LIII Superficial Multipolar Interneuron (I),(0.6703921326931578+4.6266314297536504e-05j),0.4927998202815366,3.4009992449226396e-05,0.49279982145511614
with_self,0,(0.9499999999999992+0j),6,2,CA1 Trilaminar (I),(0.4927893978156722+3.4009273155162734e-05j),0.36224549012027585,2.49999409024105e-05,0.3622454909829464
with_self,0,(0.9499999999999992+0j),6,3,CA1 Perforant Path Associated QuadD (I),(0.2874237007986318+1.983620425897386e-05j),0.21128283163049943,1.4581432891552696e-05,0.21128283213365953
with_self,0,(0.9499999999999992+0j),6,4,CA1 Perforant Path Associated (I),(0.22740329471565918+1.56939674446114e-05j),0.1671623178468871,1.1536508200266535e-05,0.16716231824497627
with_self,0,(0.9499999999999992+0j),6,5,DG Axo Axonic (I),(0.19408939572586037+1.3394848397753649e-05j),0.14267354085438574,9.84644443333993e-06,0.14267354119415604
with_self,0,(0.9499999999999992+0j),7,1,MEC LIII Superficial Multipolar Interneuron (I),(0.6703921326931578+4.6266314297536504e-05j),0.4681598292674594,3.230949282676505e-05,0.46815983038236
with_self,0,(0.9499999999999992+0j),7,2,CA1 Trilaminar (I),(0.4927893978156722+3.4009273155162734e-05j),0.34413321561426174,2.3749943857289956e-05,0.34413321643379874
with_self,0,(0.9499999999999992+0j),7,3,CA1 Perforant Path Associated QuadD (I),(0.2874237007986318+1.983620425897386e-05j),0.2007186900489743,1.385236124697505e-05,0.20071869052697638
