position,modified_tarjan,optimized_min_backward_edges,optimized_min_backward_weight,pagerank,tarjan_dfs
0,CA1 Ivy,MEC LV Pyramidal,EC LI II Pyramidal Fan,CA3 Trilaminar,CA1 Axo Axonic
1,CA1 Back Projection,MEC LII Stellate,EC LI II Multipolar Pyramidal,DG Neurogliaform,CA1 Pyramidal
2,CA1 O LMR,EC LI II Multipolar Pyramidal,EC LII III Pyramidal Tripolar,EC LI II Pyramidal Fan,EC LIII V Bipolar Pyramidal
3,CA1 Neurogliaform Projecting,EC LI II Pyramidal Fan,MEC LII Stellate,CA1 Oriens Bistratified,EC LII III Pyramidal Tripolar
4,CA1 Oriens Bistratified,MEC LII Oblique Pyramidal,CA3 Pyramidal,DG Semilunar Granule,EC LI II Multipolar Pyramidal
5,CA1 Neurogliaform,EC LIII Pyramidal,CA3c Pyramidal,DG MOPP,EC LI II Pyramidal Fan
6,CA1 Bistratified,LEC LIII Complex Pyramidal,CA2 Pyramidal,CA3 Horizontal Axo Axonic,EC LIII Pyramidal
7,CA1 O LM,MEC LII III Pyramidal Multiform,CA3 Trilaminar,CA2 SP SR,EC LIII Pyramidal Stellate
8,CA1 Horizontal Axo Axonic,MEC LIII Bipolar Complex Pyramidal,EC LIII Pyramidal Stellate,CA3 Spiny Lucidum,EC LIII Stellate
9,CA1 Horizontal Basket,MEC LV Multipolar Pyramidal,CA1 Radiatum Giant,CA2 Pyramidal,LEC LIII Complex Pyramidal
10,CA1 LMR,EC LIV VI Deep Multipolar Principal,CA1 Pyramidal,CA3 Granule,EC LIV VI Deep Multipolar Principal
11,CA1 Oriens Alveus,MEC LIII Complex Pyramidal,EC LIV VI Deep Multipolar Principal,CA1 O LM,EC LV Deep Pyramidal
12,CA1 Basket CCK+,MEC LIII Superficial Multipolar Interneuron,EC LIII V Bipolar Pyramidal,CA3 O LM,MEC LV Multipolar Pyramidal
13,CA1 Basket,MEC LIII Superficial Trilayered Interneuron,LEC LIII Complex Pyramidal,DG HIPP,MEC LII III Pyramidal Multiform
14,CA1 OR LM,LEC LVI Multipolar Pyramidal,MEC LII III Pyramidal Multiform,CA1 Recurrent O LM,MEC LII Oblique Pyramidal
15,CA1 Perforant Path Associated,EC LIII Stellate,EC LV Deep Pyramidal,CA3 LMR Targeting,MEC LIII Bipolar Complex Pyramidal
16,CA1 Pyramidal,EC LIII Pyramidal Stellate,LEC LVI Multipolar Pyramidal,CA1 Radiatum Giant,MEC LII Stellate
17,CA2 Bistratified,EC LII III Pyramidal Tripolar,LEC LIII Multipolar Principal,CA1 O LMR,MEC LIII Complex Pyramidal
18,CA2 Pyramidal,DG Granule,MEC LV Pyramidal,MEC LV Pyramidal,MEC LIII Superficial Multipolar Interneuron
19,CA1 Radial Trilaminar,CA2 Pyramidal,MEC LV Superficial Pyramidal,MEC LV Multipolar Pyramidal,MEC LIII Superficial Trilayered Interneuron
20,CA1 Radiatum,CA1 Back Projection,MEC LV Multipolar Pyramidal,LEC LIII Complex Pyramidal,MEC LV Pyramidal
21,CA1 Quadrilaminar,DG HIPROM,MEC LIII Bipolar Complex Pyramidal,MEC LII Oblique Pyramidal,MEC LV Superficial Pyramidal
22,CA1 R Receiving Apical Targeting,CA3 Trilaminar,MEC LIII Complex Pyramidal,CA1 Neurogliaform Projecting,MEC LV VI Pyramidal Polymorphic
23,CA1 Radiatum Giant,CA3 O LM,MEC LIII Superficial Trilayered Interneuron,MEC LV Superficial Pyramidal,LEC LIII Multipolar Principal
24,CA3 Granule,CA3 Granule,MEC LII Oblique Pyramidal,EC LII III Pyramidal Tripolar,LEC LVI Multipolar Pyramidal
25,CA3 Horizontal Axo Axonic,CA3 Spiny Lucidum,EC LIII Stellate,CA1 Schaffer Collateral Associated,CA1 Back Projection
26,CA3 LMR Targeting,CA3 Pyramidal,EC LIII Pyramidal,EC LI II Multipolar Pyramidal,CA1 Basket
27,CA2 SP SR,CA3 Mossy Fiber Associated ORDEN,SUB CA1 Projecting Pyramidal,EC LIII V Bipolar Pyramidal,CA1 Basket CCK+
